epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,115.867,2.2585,4.47001,0.00887,0.48833,0.46024,0.44659,0.20715,1.63564,3.10845,0.01127,0.00996063,0.00332021,0.00996063,0.00332021,0.00996063,0.00332021,0.00996063,0.00332021
2,231.788,1.67779,2.26949,0.00614,0.60879,0.54172,0.5876,0.31973,1.51177,1.86976,0.01092,0.0196783,0.00655944,0.0196783,0.00655944,0.0196783,0.00655944,0.0196783,0.00655944
3,338.287,1.60149,1.74373,0.00582,0.58332,0.54273,0.57262,0.3287,1.45379,1.99709,0.01087,0.0291132,0.00970439,0.0291132,0.00970439,0.0291132,0.00970439,0.0291132,0.00970439
4,446.225,1.57128,1.64504,0.00558,0.60476,0.5657,0.60357,0.34417,1.43589,1.81466,0.01046,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,553.28,1.51718,1.55742,0.00537,0.63328,0.57879,0.63043,0.37498,1.3811,1.40969,0.00974,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,664.99,1.47175,1.46594,0.00509,0.63731,0.5816,0.63475,0.37696,1.39221,1.5444,0.00994,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,779.411,1.44944,1.42624,0.00495,0.65661,0.60248,0.66009,0.41084,1.26758,1.29708,0.00851,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,885.996,1.42211,1.37021,0.00489,0.68991,0.61824,0.68508,0.42666,1.28315,1.26046,0.00893,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,991.827,1.39949,1.33089,0.0047,0.70054,0.61601,0.69584,0.44394,1.25159,1.1876,0.00845,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,1096.69,1.38763,1.30347,0.00465,0.69773,0.62695,0.69625,0.44026,1.23895,1.22647,0.00826,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,1197.98,1.36626,1.25957,0.00455,0.70021,0.62594,0.69712,0.44125,1.24011,1.20506,0.00817,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,1300.38,1.35133,1.24361,0.00444,0.70939,0.65435,0.72054,0.46107,1.21586,1.12552,0.00782,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,1402.07,1.34625,1.22408,0.00451,0.72461,0.64352,0.72369,0.46818,1.18664,1.12695,0.00791,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,1504.58,1.32148,1.18892,0.00437,0.72824,0.65204,0.72969,0.4719,1.21912,1.08101,0.00794,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,1611.5,1.31716,1.16734,0.00432,0.74344,0.66709,0.74452,0.48407,1.18951,1.05108,0.00747,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,1715.39,1.30894,1.15195,0.00429,0.74929,0.64437,0.74044,0.48088,1.17657,1.07334,0.00719,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,1822.3,1.2951,1.13183,0.00422,0.74504,0.64445,0.73148,0.47666,1.18297,1.09416,0.00751,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,1929.7,1.28306,1.11571,0.0042,0.73323,0.6671,0.74695,0.49275,1.15221,1.0515,0.00693,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
19,2035.77,1.27973,1.09111,0.00414,0.74191,0.67077,0.74757,0.48884,1.16099,1.05737,0.00712,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
20,2142.62,1.27089,1.07178,0.00405,0.73519,0.67988,0.75763,0.50121,1.15317,1.0378,0.00721,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
21,2249.99,1.26153,1.06258,0.00405,0.75523,0.67511,0.75607,0.50054,1.14699,1.01868,0.00704,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
22,2355.4,1.24689,1.03501,0.004,0.75738,0.68519,0.76628,0.50874,1.13733,1.02547,0.00711,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
23,2463.65,1.24401,1.02337,0.00398,0.76501,0.69127,0.77405,0.51173,1.13312,0.98926,0.00674,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
24,2572.32,1.24106,1.00499,0.00392,0.76289,0.68479,0.7668,0.50644,1.14264,1.0103,0.00687,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714
25,2680.07,1.23317,0.99714,0.00394,0.78333,0.69072,0.78279,0.52062,1.11895,0.96878,0.00663,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
26,2788.73,1.22285,0.97094,0.00393,0.785,0.69425,0.78338,0.52162,1.11596,0.96609,0.00643,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429
27,2897.63,1.21585,0.96988,0.00386,0.78016,0.69133,0.77631,0.51908,1.11418,0.97784,0.00637,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286
28,3006.75,1.20579,0.95047,0.00384,0.78389,0.69668,0.78074,0.52236,1.10805,0.9675,0.00637,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143
29,3115.34,1.19932,0.93,0.00383,0.78962,0.69987,0.78742,0.52803,1.0987,0.96965,0.00635,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
30,3224.23,1.1956,0.93508,0.00376,0.77417,0.70989,0.79205,0.53455,1.09649,0.94694,0.00635,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857
31,3332.65,1.18705,0.91229,0.00367,0.76737,0.71033,0.7819,0.51886,1.11521,0.97024,0.00646,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
32,3440.1,1.18172,0.89154,0.00367,0.76184,0.70706,0.77813,0.52006,1.10734,0.99187,0.00654,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571
33,3543.58,1.17141,0.88986,0.00364,0.79255,0.70692,0.79242,0.53193,1.10276,0.94106,0.00642,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
34,3644.41,1.16597,0.87245,0.00362,0.79327,0.7099,0.78987,0.53251,1.09235,0.95095,0.00621,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286
35,3752.85,1.15927,0.85538,0.00361,0.79206,0.71967,0.79578,0.53668,1.10079,0.92427,0.00633,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
36,3860.32,1.15339,0.84771,0.00361,0.7928,0.71016,0.79193,0.53652,1.09514,0.9336,0.00641,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
37,3968.8,1.14642,0.83493,0.00358,0.7981,0.71223,0.79905,0.54379,1.08532,0.91149,0.00614,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
38,4077.43,1.13522,0.82283,0.00352,0.79131,0.71563,0.79754,0.53787,1.09249,0.9249,0.00622,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714
39,4185.87,1.13835,0.81473,0.00353,0.7877,0.71847,0.79559,0.53873,1.09368,0.93621,0.00609,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
40,4294.12,1.12889,0.79386,0.00347,0.791,0.71478,0.79615,0.53611,1.09441,0.92321,0.00632,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429
41,4402.31,1.11748,0.78862,0.00345,0.78324,0.71784,0.79405,0.53871,1.08186,0.93454,0.00609,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
42,4506.42,1.11687,0.7727,0.00341,0.79293,0.72491,0.79833,0.53925,1.09494,0.93435,0.00625,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143
43,4607.65,1.10712,0.75573,0.00337,0.80119,0.72055,0.79653,0.53819,1.09336,0.92652,0.00617,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
44,4713.65,1.10225,0.75274,0.0034,0.79421,0.72418,0.79794,0.53981,1.08369,0.92886,0.00606,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857
45,4821.88,1.09388,0.7402,0.00335,0.80428,0.72107,0.80192,0.54209,1.08492,0.92119,0.0061,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714
