epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0114,1.31359,2.97666,0.00586,0.6172,0.55531,0.60578,0.37045,1.23801,1.59904,0.0111,0.00047208,0.00047208,0.00047208
2,91.0748,1.34803,1.53309,0.00649,0.61576,0.54242,0.58252,0.3411,1.36838,1.65434,0.0134,0.000935,0.000935,0.000935
3,136.408,1.40629,1.48967,0.00728,0.61338,0.54556,0.58252,0.35134,1.34393,1.51961,0.01289,0.00138445,0.00138445,0.00138445
4,181.758,1.41597,1.45303,0.00739,0.60361,0.54886,0.58654,0.34109,1.42579,1.6161,0.01419,0.00136837,0.00136837,0.00136837
5,227.042,1.38519,1.41048,0.00706,0.61411,0.59491,0.62114,0.38109,1.27572,1.35163,0.01203,0.00134816,0.00134816,0.00134816
6,272.831,1.37496,1.36165,0.00714,0.67555,0.58228,0.65195,0.39686,1.29535,1.27099,0.01224,0.00132795,0.00132795,0.00132795
7,318.405,1.35277,1.33673,0.00688,0.65176,0.57978,0.64272,0.39791,1.30019,1.29286,0.01334,0.00130774,0.00130774,0.00130774
8,364.155,1.33861,1.29717,0.00672,0.65706,0.62022,0.66771,0.41953,1.21834,1.27744,0.01184,0.00128753,0.00128753,0.00128753
9,410.018,1.31912,1.27155,0.00662,0.6918,0.63539,0.69631,0.44309,1.19601,1.15538,0.01067,0.00126732,0.00126732,0.00126732
10,455.714,1.30458,1.25185,0.00646,0.69626,0.62544,0.6926,0.43154,1.25918,1.2329,0.01311,0.00124711,0.00124711,0.00124711
11,501.128,1.28449,1.21151,0.00624,0.72643,0.62121,0.7074,0.45099,1.1999,1.14627,0.01082,0.0012269,0.0012269,0.0012269
12,546.834,1.29202,1.21395,0.0063,0.71502,0.62964,0.71265,0.46175,1.15544,1.14046,0.01012,0.00120669,0.00120669,0.00120669
13,592.454,1.27078,1.18853,0.00631,0.691,0.63968,0.70913,0.45657,1.16538,1.14747,0.01095,0.00118648,0.00118648,0.00118648
14,637.876,1.26342,1.17995,0.00625,0.71871,0.63802,0.7173,0.45749,1.1869,1.13045,0.01107,0.00116627,0.00116627,0.00116627
15,683.009,1.24805,1.14809,0.00621,0.72858,0.6556,0.72725,0.46631,1.16729,1.09024,0.01106,0.00114606,0.00114606,0.00114606
16,728.563,1.24946,1.13678,0.00608,0.73272,0.63558,0.72645,0.47012,1.17483,1.10709,0.01109,0.00112585,0.00112585,0.00112585
17,773.931,1.24044,1.12389,0.00603,0.73735,0.6511,0.73678,0.47627,1.14327,1.09354,0.00978,0.00110564,0.00110564,0.00110564
18,819.378,1.22663,1.11001,0.00608,0.72194,0.64769,0.72309,0.46645,1.15432,1.09611,0.01094,0.00108543,0.00108543,0.00108543
19,864.626,1.22402,1.09829,0.00601,0.74317,0.65449,0.73807,0.48096,1.11679,1.06406,0.00979,0.00106522,0.00106522,0.00106522
20,910.08,1.22814,1.09843,0.00593,0.76277,0.65718,0.75005,0.49121,1.14592,1.02439,0.01049,0.00104501,0.00104501,0.00104501
21,955.888,1.21096,1.06901,0.00582,0.73393,0.67459,0.75029,0.49315,1.13464,1.06527,0.01083,0.0010248,0.0010248,0.0010248
22,1001.67,1.21124,1.06323,0.00591,0.75428,0.67547,0.76123,0.50114,1.11483,0.98943,0.00977,0.00100459,0.00100459,0.00100459
23,1047.32,1.19292,1.046,0.00563,0.74805,0.65941,0.74684,0.48868,1.14478,1.02407,0.011,0.000984377,0.000984377,0.000984377
24,1092.64,1.19073,1.03821,0.00571,0.74764,0.6737,0.76081,0.50089,1.11288,0.9954,0.00974,0.000964167,0.000964167,0.000964167
25,1137.87,1.18097,1.02602,0.00569,0.76725,0.67701,0.76942,0.51007,1.09605,0.978,0.00992,0.000943957,0.000943957,0.000943957
26,1183.33,1.18126,1.00823,0.00565,0.76898,0.67432,0.76848,0.51063,1.08157,0.97008,0.00912,0.000923746,0.000923746,0.000923746
