epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3265,1.48157,2.9247,0.00467,0.58687,0.5492,0.56859,0.33897,1.32056,1.59024,0.0102,0.00047208,0.00047208,0.00047208
2,90.1984,1.48817,1.42422,0.00483,0.59548,0.56518,0.59936,0.35156,1.40938,1.38946,0.01044,0.000935,0.000935,0.000935
3,135.363,1.53669,1.38856,0.00526,0.581,0.51967,0.54357,0.31696,1.4614,1.46709,0.01136,0.00138445,0.00138445,0.00138445
4,180.362,1.54669,1.34564,0.00529,0.64142,0.57941,0.62666,0.36295,1.45103,1.48807,0.01175,0.00136837,0.00136837,0.00136837
5,225.699,1.52265,1.3014,0.00511,0.60709,0.55834,0.58506,0.34196,1.41109,1.51092,0.01048,0.00134816,0.00134816,0.00134816
6,270.821,1.5135,1.25625,0.00507,0.64598,0.59622,0.6481,0.38925,1.40299,1.39399,0.01064,0.00132795,0.00132795,0.00132795
7,315.949,1.48726,1.23815,0.00494,0.6756,0.59785,0.66504,0.40697,1.35236,1.22691,0.01002,0.00130774,0.00130774,0.00130774
8,361.277,1.46928,1.19314,0.00486,0.67867,0.61705,0.6827,0.41575,1.33736,1.17835,0.00934,0.00128753,0.00128753,0.00128753
9,406.473,1.45794,1.17503,0.00481,0.70789,0.60995,0.69029,0.42916,1.33215,1.14576,0.01009,0.00126732,0.00126732,0.00126732
10,451.699,1.44118,1.15843,0.00469,0.6884,0.61302,0.69237,0.42906,1.30344,1.13484,0.00896,0.00124711,0.00124711,0.00124711
11,496.905,1.42235,1.11843,0.00462,0.73376,0.63369,0.71927,0.45603,1.27354,1.07143,0.00883,0.0012269,0.0012269,0.0012269
12,542.192,1.42249,1.11492,0.00456,0.71157,0.65091,0.72771,0.46988,1.20982,1.02521,0.0078,0.00120669,0.00120669,0.00120669
13,587.406,1.40679,1.09671,0.00461,0.72145,0.65345,0.732,0.47092,1.20512,1.02849,0.00819,0.00118648,0.00118648,0.00118648
14,632.476,1.39848,1.07704,0.00456,0.72699,0.65374,0.73178,0.46531,1.24578,1.01769,0.00898,0.00116627,0.00116627,0.00116627
15,677.676,1.38704,1.06511,0.00454,0.72057,0.64995,0.73263,0.46775,1.2289,1.05953,0.00831,0.00114606,0.00114606,0.00114606
16,722.77,1.37986,1.0491,0.00443,0.72369,0.65132,0.72768,0.45798,1.27174,1.02044,0.00879,0.00112585,0.00112585,0.00112585
17,767.675,1.36731,1.03305,0.0044,0.7421,0.66036,0.74831,0.47962,1.21399,0.99046,0.00819,0.00110564,0.00110564,0.00110564
18,812.847,1.35742,1.02255,0.00441,0.72311,0.67698,0.74439,0.47786,1.20755,0.96131,0.00807,0.00108543,0.00108543,0.00108543
19,857.893,1.35455,1.01354,0.00435,0.73227,0.6668,0.74718,0.47611,1.21398,1.0314,0.00797,0.00106522,0.00106522,0.00106522
20,902.949,1.35923,1.00989,0.00433,0.7428,0.68979,0.76355,0.49572,1.21045,0.93046,0.00818,0.00104501,0.00104501,0.00104501
21,948.181,1.34436,0.98147,0.00425,0.74111,0.68325,0.75983,0.49369,1.18305,0.94252,0.00803,0.0010248,0.0010248,0.0010248
22,993.164,1.34052,0.98339,0.00431,0.76297,0.68825,0.77491,0.50423,1.17135,0.92996,0.00736,0.00100459,0.00100459,0.00100459
23,1038.41,1.32379,0.95766,0.00416,0.75209,0.6805,0.76258,0.49336,1.20072,0.96717,0.00812,0.000984377,0.000984377,0.000984377
24,1083.29,1.32693,0.96146,0.00419,0.76033,0.65974,0.75292,0.48875,1.20079,0.96475,0.0077,0.000964167,0.000964167,0.000964167
25,1128.27,1.30908,0.9432,0.00414,0.76492,0.68587,0.7722,0.49805,1.16453,0.91075,0.00713,0.000943957,0.000943957,0.000943957
26,1173.14,1.30782,0.92857,0.00411,0.77818,0.67671,0.77357,0.50894,1.14979,0.91834,0.00706,0.000923746,0.000923746,0.000923746
27,1218.32,1.30253,0.92496,0.00407,0.76731,0.68114,0.77246,0.50635,1.15953,0.91948,0.00752,0.000903536,0.000903536,0.000903536
28,1263.27,1.29331,0.91164,0.00406,0.76226,0.69703,0.77479,0.51267,1.1522,0.92621,0.00737,0.000883326,0.000883326,0.000883326
29,1308.62,1.28862,0.9033,0.004,0.77236,0.6949,0.77753,0.51236,1.14351,0.88977,0.00695,0.000863116,0.000863116,0.000863116
30,1353.8,1.27634,0.8875,0.00396,0.78353,0.69554,0.78905,0.52049,1.13817,0.87239,0.00684,0.000842906,0.000842906,0.000842906
31,1399.02,1.28552,0.87544,0.00396,0.78604,0.69848,0.78994,0.52247,1.14684,0.8783,0.00723,0.000822696,0.000822696,0.000822696
32,1444.23,1.27288,0.86944,0.0039,0.78094,0.69535,0.78728,0.51501,1.16611,0.87875,0.0075,0.000802486,0.000802486,0.000802486
