epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,75.8317,2.35628,4.69663,0.0082,0.4507,0.44218,0.41738,0.18172,1.75367,3.61095,0.0116,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588
2,151.69,1.70592,2.43281,0.00538,0.40646,0.47259,0.3858,0.19969,1.54826,2.81675,0.01092,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518
3,227.469,1.6364,1.83039,0.00522,0.50675,0.48942,0.46566,0.2039,1.87149,2.99436,0.01414,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018
4,302.768,1.60152,1.69767,0.00503,0.58924,0.52257,0.55809,0.3162,1.49993,1.73319,0.00976,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,378.952,1.5355,1.57965,0.00477,0.60164,0.58762,0.61856,0.36754,1.37839,1.44044,0.00898,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,454.478,1.48391,1.49224,0.00455,0.59897,0.55349,0.59844,0.3544,1.40234,1.46963,0.00888,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,529.989,1.45321,1.43906,0.00439,0.66747,0.58288,0.653,0.39679,1.33943,1.28199,0.00814,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,605.507,1.42149,1.39323,0.00429,0.62732,0.58675,0.62905,0.3843,1.31028,1.33086,0.00759,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,681.292,1.40751,1.34759,0.00421,0.64109,0.592,0.63276,0.38462,1.31153,1.36064,0.00827,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,756.856,1.39157,1.30933,0.00414,0.6853,0.62941,0.70138,0.44114,1.28519,1.19493,0.00792,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
