epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3234,0.88928,3.18646,0.00188,0.58454,0.56936,0.59306,0.35857,0.87715,1.65799,0.00507,0.00047208,0.00047208,0.00047208
2,90.1647,0.95143,1.51737,0.00201,0.64445,0.58015,0.6164,0.35856,1.04661,1.47763,0.00632,0.000935,0.000935,0.000935
3,135.203,0.94113,1.48465,0.00207,0.64917,0.54988,0.60505,0.3446,1.12426,1.46919,0.00682,0.00138445,0.00138445,0.00138445
4,180.206,0.98866,1.44261,0.00219,0.61933,0.56889,0.61096,0.35469,1.02195,1.57937,0.00609,0.00136837,0.00136837,0.00136837
5,225.29,0.92177,1.39071,0.00205,0.61091,0.57052,0.59589,0.33509,1.10966,1.7218,0.00684,0.00134816,0.00134816,0.00134816
6,270.119,0.93308,1.34844,0.00207,0.66933,0.58822,0.65393,0.38293,1.04834,1.31417,0.00744,0.00132795,0.00132795,0.00132795
7,315.096,0.9625,1.31559,0.00214,0.69211,0.5894,0.67257,0.40942,0.97627,1.3063,0.00595,0.00130774,0.00130774,0.00130774
8,360.321,0.92258,1.27966,0.00207,0.67534,0.59399,0.66444,0.40088,0.91513,1.29959,0.00508,0.00128753,0.00128753,0.00128753
9,405.363,0.95819,1.2648,0.00213,0.70579,0.62515,0.70197,0.42807,1.04213,1.17614,0.00696,0.00126732,0.00126732,0.00126732
10,450.542,0.95442,1.23879,0.00212,0.6589,0.57943,0.64675,0.39288,1.02036,1.32678,0.00689,0.00124711,0.00124711,0.00124711
11,495.542,0.92842,1.21129,0.0021,0.71414,0.63844,0.71452,0.43612,0.92044,1.15889,0.00477,0.0012269,0.0012269,0.0012269
12,540.835,0.94892,1.19798,0.00212,0.69986,0.64034,0.707,0.43635,0.92979,1.15146,0.00537,0.00120669,0.00120669,0.00120669
13,585.772,0.95797,1.17658,0.00218,0.71633,0.62979,0.70869,0.44279,0.94111,1.1327,0.00508,0.00118648,0.00118648,0.00118648
