epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,100.281,2.09875,4.10951,0.00827,0.49153,0.47842,0.46737,0.26134,1.43254,2.66196,0.00928,0.00997375,0.00332458,0.00997375,0.00332458,0.00997375,0.00332458,0.00997375,0.00332458
2,195.204,1.6425,2.16824,0.00581,0.55602,0.53688,0.5588,0.31114,1.47282,2.00403,0.01028,0.0196913,0.00656376,0.0196913,0.00656376,0.0196913,0.00656376,0.0196913,0.00656376
3,289.908,1.59882,1.76984,0.0059,0.56898,0.55113,0.57276,0.33876,1.34345,1.58745,0.00863,0.0291259,0.00970864,0.0291259,0.00970864,0.0291259,0.00970864,0.0291259,0.00970864
4,384.653,1.5359,1.64027,0.00547,0.61959,0.56876,0.61391,0.36757,1.32398,1.47074,0.00879,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,476.295,1.4844,1.52907,0.00524,0.62388,0.56867,0.61254,0.36698,1.32946,1.40917,0.0086,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,568.28,1.45025,1.45364,0.00508,0.64937,0.60521,0.65245,0.39573,1.30473,1.28267,0.00844,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,661.997,1.42432,1.40864,0.00494,0.67432,0.60646,0.66962,0.4207,1.27747,1.23808,0.00822,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,754.131,1.40009,1.35649,0.00481,0.68973,0.61784,0.68596,0.4291,1.28945,1.23395,0.00879,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,848.13,1.38523,1.31636,0.00475,0.69795,0.62772,0.69478,0.44253,1.20322,1.17431,0.00734,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,942.313,1.36697,1.2888,0.00467,0.69728,0.63654,0.70526,0.4498,1.21964,1.13985,0.00762,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,1032.67,1.34551,1.26764,0.00455,0.73544,0.6401,0.72562,0.4693,1.19782,1.11399,0.00776,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,1126.53,1.33042,1.24063,0.00445,0.73376,0.64246,0.72746,0.46852,1.20664,1.09154,0.00762,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,1220.71,1.32712,1.21283,0.00445,0.71999,0.65022,0.72538,0.47115,1.15551,1.09892,0.00676,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,1316.55,1.29787,1.1872,0.00436,0.72383,0.65945,0.73966,0.48467,1.14167,1.04179,0.00691,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,1408.11,1.29513,1.17049,0.00435,0.7239,0.66427,0.73801,0.48257,1.14507,1.06153,0.00677,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,1498.49,1.28902,1.1423,0.00431,0.73314,0.67054,0.74438,0.48458,1.14235,1.03634,0.00672,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,1593.82,1.27197,1.12915,0.0042,0.7469,0.67204,0.76138,0.50196,1.14212,1.01902,0.007,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,1684.92,1.27163,1.11834,0.00421,0.762,0.66147,0.75404,0.49406,1.1555,0.99193,0.00692,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
19,1776.24,1.26042,1.08103,0.00412,0.73936,0.68738,0.76084,0.50466,1.11048,1.00915,0.00656,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
20,1865.63,1.25503,1.0733,0.00415,0.75073,0.67768,0.76366,0.50917,1.09964,0.99096,0.00639,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
21,1960.2,1.23968,1.06465,0.00408,0.76795,0.69071,0.77459,0.51431,1.13115,0.95204,0.00694,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
22,2050.58,1.23949,1.0371,0.00403,0.77003,0.68785,0.77742,0.51926,1.10709,0.94664,0.00641,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
23,2144.98,1.22647,1.01542,0.004,0.77016,0.69563,0.77098,0.51805,1.11289,0.94855,0.00639,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
24,2237.88,1.23221,1.02235,0.00394,0.76498,0.69591,0.77551,0.51557,1.11505,0.96889,0.00648,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714
25,2331.34,1.21602,1.00438,0.00394,0.77581,0.69598,0.78316,0.52581,1.11846,0.96895,0.00683,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
