run,class,size,gt,hit25,recovered,true_miss,hit25_pct,recovered_pct,true_miss_pct,rec_b_001_05,rec_b_05_10,rec_b_10_25
y26_p2k2_hi,backpack,small,957,742,175,40,77.53,18.29,4.18,103,18,54
y26_p2k2_hi,backpack,medium,501,434,47,20,86.63,9.38,3.99,29,6,12
y26_p2k2_hi,backpack,large,190,160,22,8,84.21,11.58,4.21,9,3,10
y26_p2k2_hi,bag,small,833,584,208,41,70.11,24.97,4.92,111,32,65
y26_p2k2_hi,bag,medium,331,250,58,23,75.53,17.52,6.95,31,13,14
y26_p2k2_hi,bag,large,166,130,27,9,78.31,16.27,5.42,18,2,7
y26_p2k2_hi,trolley,small,1927,1619,252,56,84.02,13.08,2.91,126,46,80
y26_p2k2_hi,trolley,medium,1020,935,64,21,91.67,6.27,2.06,44,11,9
y26_p2k2_hi,trolley,large,247,212,24,11,85.83,9.72,4.45,12,5,7
y26_p2k2_hi,trolley,ALL,3194,2766,340,88,86.60,10.64,2.76,,,
y26_p2k2_hi,backpack,ALL,1648,1336,244,68,81.07,14.81,4.13,,,
y26_p2k2_hi,bag,ALL,1330,964,293,73,72.48,22.03,5.49,,,
