run,class,size,gt,hit25,recovered,true_miss,hit25_pct,recovered_pct,true_miss_pct,rec_b_001_05,rec_b_05_10,rec_b_10_25
y26_scb3_sbb50,backpack,small,957,722,204,31,75.44,21.32,3.24,95,42,67
y26_scb3_sbb50,backpack,medium,501,423,60,18,84.43,11.98,3.59,28,14,18
y26_scb3_sbb50,backpack,large,190,160,27,3,84.21,14.21,1.58,12,1,14
y26_scb3_sbb50,bag,small,833,552,249,32,66.27,29.89,3.84,106,45,98
y26_scb3_sbb50,bag,medium,331,245,68,18,74.02,20.54,5.44,41,7,20
y26_scb3_sbb50,bag,large,166,128,26,12,77.11,15.66,7.23,10,10,6
y26_scb3_sbb50,trolley,small,1927,1611,250,66,83.60,12.97,3.43,110,43,97
y26_scb3_sbb50,trolley,medium,1020,915,86,19,89.71,8.43,1.86,44,15,27
y26_scb3_sbb50,trolley,large,247,214,27,6,86.64,10.93,2.43,15,4,8
y26_scb3_sbb50,trolley,ALL,3194,2740,363,91,85.79,11.37,2.85,,,
y26_scb3_sbb50,backpack,ALL,1648,1305,291,52,79.19,17.66,3.16,,,
y26_scb3_sbb50,bag,ALL,1330,925,343,62,69.55,25.79,4.66,,,
