epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2588,1.33744,2.81374,0.00474,0.5483,0.52191,0.54697,0.32179,1.29756,1.5682,0.00861,0.00047208,0.00047208,0.00047208
2,91.002,1.34897,1.37657,0.00488,0.62512,0.5618,0.60576,0.3515,1.37886,1.37615,0.00931,0.000935,0.000935,0.000935
3,136.061,1.3892,1.32923,0.00516,0.58856,0.5141,0.55186,0.29283,1.55655,1.53516,0.01176,0.00138445,0.00138445,0.00138445
4,180.683,1.38777,1.28588,0.00516,0.64984,0.56998,0.62289,0.3631,1.39687,1.27968,0.01089,0.00136837,0.00136837,0.00136837
5,225.947,1.36768,1.2362,0.00504,0.63735,0.56092,0.6107,0.35534,1.37034,1.62909,0.00978,0.00134816,0.00134816,0.00134816
6,270.945,1.35143,1.19644,0.00496,0.64958,0.58593,0.639,0.37932,1.36243,1.22731,0.00955,0.00132795,0.00132795,0.00132795
7,315.926,1.32596,1.17557,0.00486,0.65418,0.60788,0.65842,0.39063,1.35416,1.17166,0.01068,0.00130774,0.00130774,0.00130774
8,361.046,1.31432,1.13632,0.00479,0.69191,0.59787,0.68214,0.40405,1.36449,1.17266,0.01055,0.00128753,0.00128753,0.00128753
9,406.532,1.3008,1.11526,0.00474,0.68273,0.63638,0.69507,0.41824,1.3193,1.12762,0.0089,0.00126732,0.00126732,0.00126732
10,451.431,1.28096,1.09268,0.00462,0.63862,0.57658,0.64545,0.38295,1.3752,1.18625,0.00936,0.00124711,0.00124711,0.00124711
11,496.209,1.26781,1.06718,0.00456,0.73191,0.61909,0.70949,0.44962,1.25209,1.03005,0.00873,0.0012269,0.0012269,0.0012269
12,541.287,1.26626,1.06533,0.00452,0.72576,0.65893,0.73468,0.45511,1.28761,0.99547,0.00894,0.00120669,0.00120669,0.00120669
13,586.473,1.2511,1.0414,0.00451,0.71884,0.6488,0.71926,0.43722,1.24782,1.01361,0.00808,0.00118648,0.00118648,0.00118648
14,631.423,1.24197,1.03134,0.00447,0.73004,0.65386,0.73562,0.45769,1.23794,0.98505,0.00833,0.00116627,0.00116627,0.00116627
15,676.396,1.22521,1.00569,0.00441,0.74601,0.65785,0.73925,0.46135,1.23694,0.9973,0.00848,0.00114606,0.00114606,0.00114606
16,721.444,1.2219,1.00588,0.00436,0.73435,0.6476,0.72714,0.45701,1.23326,1.00317,0.00857,0.00112585,0.00112585,0.00112585
