epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.859,2.32056,2.83636,2.81443,0.58295,0.51723,0.5482,0.30801,1.50086,2.09158,1.99123,0.00332314,0.00332314,0.00332314
2,269.907,1.61263,1.8167,1.83763,0.56649,0.53702,0.55063,0.31014,1.42795,1.72218,1.75128,0.00656233,0.00656233,0.00656233
3,411.71,1.57277,1.79742,1.70987,0.5452,0.52008,0.53325,0.29857,1.39185,2.541,1.69154,0.00970724,0.00970724,0.00970724
4,552.84,1.53293,1.72238,1.64523,0.57303,0.52052,0.54909,0.3185,1.39334,1.84574,1.63978,0.00957571,0.00957571,0.00957571
5,691.901,1.46681,1.57587,1.57604,0.6266,0.5493,0.60577,0.35774,1.31658,1.51839,1.566,0.00943429,0.00943429,0.00943429
6,831.806,1.40623,1.45799,1.52514,0.65594,0.57162,0.63754,0.39487,1.25252,1.32742,1.50837,0.00929286,0.00929286,0.00929286
7,966.088,1.37427,1.38953,1.49835,0.6767,0.60523,0.67316,0.41882,1.23879,1.4059,1.48851,0.00915143,0.00915143,0.00915143
8,1106.45,1.34413,1.33874,1.47581,0.6818,0.59596,0.67412,0.42039,1.20443,1.25296,1.47037,0.00901,0.00901,0.00901
9,1241.5,1.33145,1.31484,1.46892,0.68512,0.61024,0.67944,0.4288,1.18592,1.21758,1.45394,0.00886857,0.00886857,0.00886857
10,1380.46,1.30539,1.27482,1.45443,0.70147,0.60461,0.68628,0.43477,1.20184,1.18337,1.45999,0.00872714,0.00872714,0.00872714
11,1520.9,1.29124,1.2312,1.43954,0.70461,0.61374,0.701,0.44931,1.15868,1.14388,1.44296,0.00858571,0.00858571,0.00858571
12,1657.95,1.27226,1.21766,1.42942,0.72115,0.64187,0.72101,0.46516,1.16128,1.10833,1.43677,0.00844429,0.00844429,0.00844429
13,1794.46,1.25868,1.17709,1.41385,0.71921,0.64809,0.71868,0.46274,1.16245,1.09064,1.41729,0.00830286,0.00830286,0.00830286
14,1934.02,1.25382,1.16901,1.41326,0.72407,0.65214,0.72786,0.46619,1.17655,1.08318,1.42688,0.00816143,0.00816143,0.00816143
15,2071.04,1.23682,1.14398,1.40891,0.73741,0.65288,0.73883,0.48044,1.13024,1.05357,1.41486,0.00802,0.00802,0.00802
16,2211.22,1.2284,1.13317,1.40167,0.75204,0.65303,0.74226,0.48021,1.14035,1.04091,1.41004,0.00787857,0.00787857,0.00787857
17,2347.85,1.22015,1.11184,1.39009,0.74725,0.65163,0.74011,0.48125,1.12531,1.03227,1.40084,0.00773714,0.00773714,0.00773714
18,2488.36,1.20695,1.08735,1.38651,0.73795,0.65962,0.7477,0.49394,1.09684,1.01912,1.38203,0.00759571,0.00759571,0.00759571
19,2628.37,1.19912,1.07281,1.37871,0.74789,0.6599,0.74852,0.49095,1.10605,1.01051,1.38894,0.00745429,0.00745429,0.00745429
20,2768.92,1.19488,1.06536,1.37935,0.75272,0.66826,0.75527,0.4951,1.10173,1.00816,1.38052,0.00731286,0.00731286,0.00731286
21,2909.82,1.18781,1.05078,1.36884,0.75148,0.67178,0.76068,0.49634,1.12531,0.9931,1.38707,0.00717143,0.00717143,0.00717143
22,3050.54,1.18559,1.03116,1.36509,0.76293,0.66957,0.75928,0.49921,1.09806,0.97861,1.37616,0.00703,0.00703,0.00703
23,3191.43,1.17247,1.02411,1.35933,0.75161,0.68351,0.7709,0.51366,1.07835,0.94333,1.36045,0.00688857,0.00688857,0.00688857
24,3330.04,1.16439,1.01043,1.35283,0.74757,0.68468,0.76405,0.51016,1.07399,0.95911,1.36463,0.00674714,0.00674714,0.00674714
25,3470.37,1.16336,0.9962,1.35053,0.77196,0.68536,0.77762,0.52247,1.06789,0.93392,1.35818,0.00660571,0.00660571,0.00660571
26,3609.92,1.14969,0.98391,1.3498,0.76779,0.68557,0.77606,0.51911,1.0707,0.93082,1.35647,0.00646429,0.00646429,0.00646429
27,3750.14,1.14188,0.97156,1.3395,0.76398,0.69862,0.78374,0.52408,1.06916,0.91413,1.3562,0.00632286,0.00632286,0.00632286
28,3890.31,1.14127,0.96176,1.33555,0.77919,0.69448,0.78677,0.52688,1.07073,0.92317,1.35809,0.00618143,0.00618143,0.00618143
29,4029.83,1.12688,0.94491,1.32721,0.77972,0.69183,0.78876,0.532,1.05225,0.89524,1.34876,0.00604,0.00604,0.00604
30,4170.34,1.12197,0.93755,1.32465,0.76991,0.70268,0.78553,0.52967,1.05227,0.90897,1.35027,0.00589857,0.00589857,0.00589857
31,4310.96,1.12175,0.93054,1.32252,0.78307,0.69509,0.78857,0.52962,1.05909,0.90452,1.35008,0.00575714,0.00575714,0.00575714
32,4451.46,1.11306,0.91875,1.3135,0.76951,0.70718,0.79169,0.53491,1.04674,0.87675,1.34445,0.00561571,0.00561571,0.00561571
33,4590.08,1.11129,0.9088,1.31648,0.78625,0.70874,0.79297,0.53587,1.05151,0.88132,1.34907,0.00547429,0.00547429,0.00547429
34,4730.61,1.10457,0.89796,1.30975,0.772,0.71337,0.7964,0.53533,1.05167,0.87554,1.34899,0.00533286,0.00533286,0.00533286
35,4868.19,1.09618,0.8933,1.30543,0.78732,0.70598,0.79552,0.53766,1.04122,0.87237,1.34144,0.00519143,0.00519143,0.00519143
36,5008.83,1.09795,0.87521,1.30432,0.77083,0.71709,0.79715,0.53992,1.04364,0.87391,1.34735,0.00505,0.00505,0.00505
37,5149.24,1.08509,0.86955,1.29706,0.78299,0.71918,0.80007,0.53974,1.05192,0.86727,1.35085,0.00490857,0.00490857,0.00490857
38,5290.14,1.08575,0.85946,1.29242,0.79217,0.71175,0.80349,0.54481,1.04848,0.85657,1.34353,0.00476714,0.00476714,0.00476714
39,5430.55,1.07406,0.84906,1.28675,0.79321,0.71425,0.80307,0.54593,1.03964,0.85036,1.34115,0.00462571,0.00462571,0.00462571
40,5570.09,1.06764,0.83807,1.28372,0.7985,0.70769,0.8066,0.54732,1.03792,0.84232,1.33865,0.00448429,0.00448429,0.00448429
41,5710.32,1.06533,0.82812,1.28109,0.78757,0.71274,0.80587,0.54565,1.04718,0.83825,1.34278,0.00434286,0.00434286,0.00434286
42,5851.05,1.06123,0.82163,1.27712,0.79777,0.71374,0.80411,0.54272,1.0495,0.8506,1.34714,0.00420143,0.00420143,0.00420143
