epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.9035,1.26397,1.56894,1.13634,0.66799,0.58864,0.65124,0.41185,1.11292,1.11278,1.04455,0.00331373,0.00331373,0.00331373
2,152.386,1.27862,1.24238,1.09066,0.62738,0.54653,0.59013,0.34449,1.28871,1.48719,1.14101,0.00655305,0.00655305,0.00655305
3,231.893,1.42503,1.3937,1.1526,0.35222,0.4475,0.36069,0.18374,1.60093,5.53364,1.37847,0.00969809,0.00969809,0.00969809
4,309.741,1.47021,1.46141,1.19636,0.38953,0.42646,0.37711,0.2033,1.5077,3.33215,1.27162,0.00957571,0.00957571,0.00957571
5,386.349,1.41135,1.37341,1.1752,0.5854,0.50584,0.54409,0.31731,1.3442,1.64012,1.2016,0.00943429,0.00943429,0.00943429
6,461.255,1.35799,1.28501,1.15206,0.64961,0.5681,0.61736,0.36492,1.26136,1.37501,1.15266,0.00929286,0.00929286,0.00929286
7,538.904,1.33079,1.24654,1.14316,0.65451,0.5597,0.61761,0.36246,1.33497,1.29814,1.18282,0.00915143,0.00915143,0.00915143
8,617.144,1.30211,1.20623,1.12951,0.66839,0.58082,0.6478,0.38641,1.26023,1.22243,1.14364,0.00901,0.00901,0.00901
9,694.433,1.28157,1.17918,1.12192,0.68056,0.59986,0.66775,0.40663,1.21755,1.14517,1.13015,0.00886857,0.00886857,0.00886857
10,770.841,1.26917,1.15548,1.11193,0.69378,0.62069,0.68982,0.4328,1.16552,1.07653,1.11065,0.00872714,0.00872714,0.00872714
11,849.068,1.25224,1.12875,1.10894,0.72344,0.62362,0.70202,0.44225,1.16691,1.02955,1.1089,0.00858571,0.00858571,0.00858571
12,927.056,1.24007,1.10162,1.10094,0.73051,0.62047,0.70709,0.44961,1.1447,1.01915,1.09076,0.00844429,0.00844429,0.00844429
13,1005.14,1.21647,1.07556,1.09253,0.72548,0.61711,0.7063,0.44836,1.15199,1.02593,1.09903,0.00830286,0.00830286,0.00830286
14,1082.55,1.21616,1.0649,1.0907,0.71988,0.63868,0.71033,0.45521,1.12046,1.02642,1.07946,0.00816143,0.00816143,0.00816143
15,1158.94,1.20464,1.04665,1.08389,0.73703,0.62288,0.71565,0.46087,1.12121,0.99387,1.0794,0.00802,0.00802,0.00802
16,1236.31,1.19184,1.03231,1.08093,0.7454,0.63858,0.73263,0.47404,1.07757,0.97013,1.0684,0.00787857,0.00787857,0.00787857
17,1313.6,1.1846,1.01935,1.07541,0.73132,0.65061,0.72899,0.47149,1.09928,0.95375,1.08288,0.00773714,0.00773714,0.00773714
18,1391.46,1.16725,0.9997,1.06693,0.73528,0.64868,0.72968,0.46809,1.10006,0.96519,1.07939,0.00759571,0.00759571,0.00759571
19,1467.69,1.16668,0.99169,1.06782,0.76165,0.65345,0.7505,0.4946,1.06175,0.90423,1.06347,0.00745429,0.00745429,0.00745429
20,1544.91,1.15701,0.9808,1.06568,0.74719,0.66228,0.74923,0.48908,1.07175,0.91814,1.05619,0.00731286,0.00731286,0.00731286
21,1620.83,1.14619,0.96717,1.0581,0.75078,0.66217,0.75,0.49673,1.05326,0.92254,1.0541,0.00717143,0.00717143,0.00717143
22,1697.67,1.14286,0.95813,1.06035,0.75138,0.67061,0.75437,0.49514,1.05246,0.89941,1.05778,0.00703,0.00703,0.00703
23,1772.04,1.13467,0.94022,1.05147,0.75387,0.6729,0.75886,0.49759,1.05121,0.89779,1.05715,0.00688857,0.00688857,0.00688857
24,1848.82,1.13152,0.92792,1.05441,0.76943,0.6656,0.76202,0.50159,1.05067,0.89137,1.05098,0.00674714,0.00674714,0.00674714
25,1923.91,1.12255,0.9193,1.04796,0.77678,0.65278,0.76278,0.50842,1.0349,0.87964,1.05008,0.00660571,0.00660571,0.00660571
26,2001.28,1.10966,0.90604,1.0454,0.76541,0.67361,0.76488,0.50946,1.03416,0.87172,1.04632,0.00646429,0.00646429,0.00646429
27,2078.82,1.1118,0.90036,1.043,0.74687,0.67728,0.76001,0.50858,1.02298,0.87971,1.04144,0.00632286,0.00632286,0.00632286
28,2154.63,1.10328,0.8869,1.03934,0.76667,0.67162,0.7684,0.51353,1.03301,0.86022,1.04246,0.00618143,0.00618143,0.00618143
29,2231.9,1.09625,0.87854,1.03546,0.77674,0.68329,0.7756,0.52032,1.02487,0.84338,1.04058,0.00604,0.00604,0.00604
30,2309.31,1.09703,0.87325,1.03496,0.77689,0.68674,0.77827,0.52201,1.03262,0.84035,1.0425,0.00589857,0.00589857,0.00589857
31,2385.87,1.07936,0.85122,1.02975,0.77845,0.69796,0.78508,0.52479,1.02084,0.82699,1.03595,0.00575714,0.00575714,0.00575714
32,2463.14,1.09135,0.86009,1.03136,0.7782,0.69254,0.77959,0.52418,1.02151,0.83117,1.04224,0.00561571,0.00561571,0.00561571
33,2538.04,1.07919,0.84314,1.02832,0.78872,0.69881,0.78868,0.53423,1.01163,0.80633,1.03269,0.00547429,0.00547429,0.00547429
34,2613.75,1.06803,0.83299,1.02108,0.80004,0.68218,0.78523,0.53151,1.00944,0.82003,1.03317,0.00533286,0.00533286,0.00533286
35,2689.21,1.06957,0.8306,1.02092,0.79298,0.68877,0.7879,0.53087,1.00989,0.81503,1.03366,0.00519143,0.00519143,0.00519143
36,2765.7,1.06442,0.81819,1.01996,0.78327,0.69414,0.79104,0.53699,1.00653,0.80559,1.02947,0.00505,0.00505,0.00505
37,2840.68,1.05291,0.80723,1.01803,0.78603,0.70083,0.79092,0.53554,0.9992,0.80312,1.02888,0.00490857,0.00490857,0.00490857
38,2917.76,1.04766,0.79435,1.01157,0.81151,0.68231,0.7931,0.53461,1.0091,0.80245,1.03293,0.00476714,0.00476714,0.00476714
39,2994.72,1.04672,0.79361,1.01287,0.80202,0.69788,0.79488,0.53788,1.00088,0.7993,1.03206,0.00462571,0.00462571,0.00462571
