epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,84.4583,2.85725,3.79391,0.01129,0.53528,0.4883,0.49758,0.25005,1.95689,2.65859,0.01245,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588
2,167.618,2.02733,1.79364,0.00736,0.53905,0.55469,0.54408,0.28514,1.74315,1.61704,0.01214,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518
3,251.521,1.92197,1.41839,0.00714,0.54364,0.47369,0.49534,0.2489,1.94279,2.32153,0.01464,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018
4,332.944,1.91201,1.36252,0.00713,0.54691,0.50615,0.51288,0.26761,1.79258,1.62789,0.01258,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,415.885,1.8459,1.28917,0.00686,0.59545,0.54443,0.57293,0.31122,1.68603,1.2778,0.01222,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,499.418,1.78013,1.22324,0.00653,0.64414,0.55492,0.60529,0.33351,1.66379,1.14299,0.0116,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,581.787,1.74471,1.19226,0.00633,0.6289,0.57835,0.61593,0.33502,1.67824,1.14998,0.01157,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,665.191,1.70088,1.14525,0.00617,0.68012,0.59734,0.65632,0.37842,1.54189,1.04767,0.01044,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,747.966,1.67539,1.1179,0.00603,0.69498,0.62791,0.69067,0.40389,1.50594,0.99087,0.01029,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,829.959,1.64859,1.0991,0.0059,0.68878,0.62266,0.68899,0.40076,1.50474,1.01767,0.0105,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,910.249,1.61643,1.06879,0.00577,0.70599,0.64,0.70397,0.41404,1.47112,0.95478,0.00989,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,993.678,1.61197,1.05327,0.00573,0.71819,0.64775,0.71067,0.41988,1.43216,0.92043,0.00925,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,1076.59,1.58391,1.03346,0.00562,0.73176,0.64719,0.72154,0.4322,1.44257,0.9512,0.0099,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,1159.36,1.5678,1.0151,0.00553,0.72611,0.62579,0.70471,0.41552,1.43341,0.94321,0.00919,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,1241.84,1.55823,1.00135,0.00553,0.73586,0.67105,0.73895,0.44609,1.37859,0.86609,0.00864,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,1326.29,1.54835,0.98869,0.00542,0.73116,0.64849,0.72379,0.42845,1.43779,0.92462,0.00934,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,1415.45,1.52982,0.97388,0.00538,0.74486,0.66271,0.74294,0.45667,1.34835,0.85815,0.00863,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,1498.82,1.52434,0.969,0.0054,0.75572,0.6623,0.74478,0.45587,1.38277,0.86091,0.0092,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
