epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0639,1.70991,2.86086,0.00605,0.6246,0.57179,0.61279,0.36277,1.4603,1.37831,0.01069,0.00047208,0.00047208,0.00047208
2,91.4802,1.66731,1.30874,0.00593,0.61939,0.52086,0.55908,0.31392,1.67266,1.41451,0.01474,0.000935,0.000935,0.000935
3,136.993,1.71679,1.24926,0.00636,0.60086,0.51298,0.55067,0.29801,1.72013,1.3196,0.0141,0.00138445,0.00138445,0.00138445
4,182.489,1.73473,1.23125,0.00641,0.59068,0.54915,0.5661,0.30393,1.70817,1.40389,0.0143,0.00136837,0.00136837,0.00136837
5,228.035,1.70516,1.19452,0.00621,0.66365,0.57958,0.64143,0.36673,1.60546,1.19819,0.01302,0.00134816,0.00134816,0.00134816
6,273.856,1.68379,1.14667,0.00613,0.63375,0.56703,0.61173,0.34182,1.6334,1.31806,0.01316,0.00132795,0.00132795,0.00132795
7,319.195,1.66077,1.1235,0.00598,0.65982,0.57775,0.63836,0.36954,1.5821,1.10408,0.01365,0.00130774,0.00130774,0.00130774
8,364.957,1.63579,1.09199,0.00585,0.70998,0.62023,0.69819,0.40853,1.52733,0.98234,0.01161,0.00128753,0.00128753,0.00128753
9,410.709,1.60403,1.06937,0.0057,0.7158,0.64485,0.71502,0.41954,1.50858,0.96938,0.0114,0.00126732,0.00126732,0.00126732
10,456.448,1.59506,1.05249,0.00562,0.72511,0.61978,0.6983,0.42031,1.48303,1.01916,0.01193,0.00124711,0.00124711,0.00124711
11,502.28,1.57049,1.0235,0.00545,0.74112,0.62793,0.71713,0.43189,1.44558,0.97848,0.01115,0.0012269,0.0012269,0.0012269
12,548.059,1.57893,1.02713,0.00544,0.73191,0.63834,0.71359,0.42184,1.4575,0.96088,0.01038,0.00120669,0.00120669,0.00120669
13,593.775,1.553,1.00923,0.00545,0.74953,0.64634,0.73182,0.44332,1.41763,0.91071,0.01082,0.00118648,0.00118648,0.00118648
14,639.601,1.54938,1.00107,0.00542,0.73557,0.67155,0.7378,0.45046,1.41212,0.89919,0.01113,0.00116627,0.00116627,0.00116627
15,685.485,1.53125,0.97955,0.0054,0.7435,0.64957,0.73474,0.4437,1.43086,0.99837,0.01076,0.00114606,0.00114606,0.00114606
16,731.174,1.52109,0.97548,0.00525,0.74362,0.66933,0.74249,0.44849,1.42209,0.91001,0.01045,0.00112585,0.00112585,0.00112585
17,776.837,1.50662,0.96248,0.00522,0.75226,0.6575,0.74393,0.45763,1.4042,0.89613,0.01098,0.00110564,0.00110564,0.00110564
18,822.6,1.50315,0.95377,0.00526,0.74553,0.6724,0.74719,0.45675,1.39562,0.90385,0.01074,0.00108543,0.00108543,0.00108543
19,868.144,1.48632,0.93759,0.00512,0.75673,0.66343,0.7494,0.46072,1.36111,0.89969,0.00965,0.00106522,0.00106522,0.00106522
20,913.94,1.48876,0.93196,0.00508,0.77072,0.66722,0.75365,0.46632,1.36875,0.86583,0.01005,0.00104501,0.00104501,0.00104501
21,959.983,1.48143,0.92057,0.00504,0.73945,0.69418,0.7578,0.47061,1.35511,0.91178,0.00977,0.0010248,0.0010248,0.0010248
22,1005.91,1.47212,0.91336,0.00511,0.77205,0.68181,0.7733,0.48378,1.34471,0.86128,0.01032,0.00100459,0.00100459,0.00100459
23,1051.65,1.44939,0.89711,0.0049,0.78004,0.67299,0.76733,0.47348,1.37514,0.84029,0.01028,0.000984377,0.000984377,0.000984377
24,1097.19,1.45319,0.89965,0.00494,0.75761,0.69546,0.76862,0.48142,1.33462,0.83576,0.00915,0.000964167,0.000964167,0.000964167
25,1142.78,1.43944,0.88431,0.00491,0.77487,0.69014,0.77407,0.48705,1.31675,0.83519,0.00922,0.000943957,0.000943957,0.000943957
26,1188.56,1.43874,0.87707,0.00489,0.7625,0.6972,0.77577,0.48376,1.34226,0.82662,0.00963,0.000923746,0.000923746,0.000923746
27,1234.16,1.4275,0.87157,0.00479,0.76273,0.69693,0.7767,0.49251,1.2912,0.81325,0.00902,0.000903536,0.000903536,0.000903536
28,1279.82,1.41851,0.85668,0.00476,0.79256,0.69673,0.78841,0.50483,1.28178,0.81453,0.00889,0.000883326,0.000883326,0.000883326
29,1331.29,1.40458,0.85201,0.00465,0.78911,0.68774,0.77986,0.4912,1.31862,0.82505,0.00948,0.000863116,0.000863116,0.000863116
