epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4464,1.40896,2.97079,0.00443,0.59712,0.54198,0.58459,0.35817,1.26066,1.63634,0.00897,0.00047208,0.00047208,0.00047208
2,90.886,1.40454,1.52662,0.00457,0.63499,0.55621,0.59519,0.35376,1.36301,1.58147,0.01151,0.000935,0.000935,0.000935
3,135.361,1.46284,1.49681,0.00498,0.61219,0.50208,0.56019,0.33255,1.4143,1.62415,0.01133,0.00138445,0.00138445,0.00138445
4,179.802,1.46621,1.4552,0.00499,0.63878,0.59541,0.63879,0.38491,1.37839,1.33247,0.0112,0.00136837,0.00136837,0.00136837
5,224.594,1.44976,1.4111,0.00489,0.56717,0.54516,0.56641,0.33326,1.40923,1.48083,0.01138,0.00134816,0.00134816,0.00134816
6,269.207,1.43525,1.36241,0.0048,0.65051,0.58225,0.63439,0.39363,1.32205,1.36152,0.01025,0.00132795,0.00132795,0.00132795
7,314.113,1.41123,1.33941,0.00471,0.67704,0.59356,0.6589,0.41422,1.26061,1.26591,0.00886,0.00130774,0.00130774,0.00130774
8,358.926,1.39797,1.30959,0.00462,0.68598,0.59841,0.66479,0.41836,1.26656,1.2626,0.00905,0.00128753,0.00128753,0.00128753
9,403.811,1.38275,1.28567,0.00455,0.68112,0.60296,0.67112,0.41481,1.34568,1.27841,0.01128,0.00126732,0.00126732,0.00126732
10,448.44,1.37323,1.26682,0.00447,0.62837,0.5888,0.64621,0.39346,1.33286,1.30558,0.00963,0.00124711,0.00124711,0.00124711
11,493.116,1.35045,1.2177,0.00437,0.70651,0.62244,0.69879,0.44698,1.24638,1.12937,0.00926,0.0012269,0.0012269,0.0012269
12,538.034,1.35732,1.21538,0.00435,0.70393,0.62214,0.70408,0.45207,1.20025,1.16875,0.00867,0.00120669,0.00120669,0.00120669
13,582.847,1.33923,1.18957,0.00437,0.73415,0.64942,0.73373,0.48106,1.16219,1.0695,0.008,0.00118648,0.00118648,0.00118648
14,627.748,1.32918,1.17289,0.00432,0.72581,0.63859,0.72405,0.47245,1.18127,1.08212,0.00841,0.00116627,0.00116627,0.00116627
15,672.457,1.31887,1.15931,0.00431,0.72013,0.66787,0.74112,0.4802,1.17683,1.09581,0.00783,0.00114606,0.00114606,0.00114606
16,717.314,1.31749,1.15081,0.00421,0.72165,0.64391,0.72522,0.46828,1.20872,1.0761,0.00899,0.00112585,0.00112585,0.00112585
17,762.148,1.30584,1.13263,0.00421,0.74278,0.64934,0.73634,0.4755,1.18214,1.10101,0.00809,0.00110564,0.00110564,0.00110564
18,806.799,1.29532,1.11597,0.0042,0.71999,0.65752,0.7341,0.4777,1.16754,1.08516,0.0079,0.00108543,0.00108543,0.00108543
19,851.656,1.29037,1.11175,0.00413,0.72335,0.65659,0.72579,0.47335,1.15936,1.12747,0.00809,0.00106522,0.00106522,0.00106522
20,896.453,1.29693,1.10481,0.00411,0.75506,0.65419,0.75202,0.49269,1.15935,1.0381,0.00789,0.00104501,0.00104501,0.00104501
21,941.551,1.28386,1.07322,0.00405,0.75305,0.66312,0.75245,0.4974,1.11198,1.03721,0.00694,0.0010248,0.0010248,0.0010248
22,986.478,1.27607,1.07668,0.00411,0.74713,0.66834,0.75751,0.50582,1.12405,0.98631,0.00728,0.00100459,0.00100459,0.00100459
23,1031.44,1.26439,1.04909,0.00396,0.76238,0.67301,0.75939,0.49914,1.13651,1.01959,0.00735,0.000984377,0.000984377,0.000984377
24,1076.28,1.26788,1.04188,0.00399,0.76718,0.67347,0.76481,0.50897,1.10969,0.99002,0.00681,0.000964167,0.000964167,0.000964167
25,1121.07,1.25676,1.03075,0.00397,0.75441,0.691,0.77213,0.51604,1.10796,0.9428,0.00724,0.000943957,0.000943957,0.000943957
26,1166.05,1.25289,1.0181,0.00394,0.75676,0.68474,0.7635,0.51022,1.10411,0.96919,0.00669,0.000923746,0.000923746,0.000923746
27,1210.82,1.25114,1.01354,0.0039,0.7541,0.68243,0.76627,0.50736,1.11515,0.99035,0.00714,0.000903536,0.000903536,0.000903536
28,1255.41,1.23809,0.99968,0.00387,0.75614,0.68745,0.77111,0.51871,1.10911,0.97043,0.00753,0.000883326,0.000883326,0.000883326
29,1300.36,1.2317,0.98809,0.00382,0.75722,0.69096,0.77013,0.51271,1.10665,0.97547,0.0071,0.000863116,0.000863116,0.000863116
30,1345.16,1.22539,0.97328,0.00379,0.77103,0.68659,0.77544,0.52323,1.08222,0.94171,0.00638,0.000842906,0.000842906,0.000842906
31,1390,1.22909,0.96119,0.00377,0.76955,0.69869,0.78213,0.52736,1.07932,0.92937,0.00664,0.000822696,0.000822696,0.000822696
32,1434.94,1.21738,0.95569,0.00371,0.76863,0.69181,0.77716,0.52227,1.08511,0.95086,0.0069,0.000802486,0.000802486,0.000802486
33,1479.53,1.22105,0.95471,0.00372,0.77484,0.69416,0.78104,0.52484,1.10183,0.92664,0.00695,0.000782275,0.000782275,0.000782275
34,1524.34,1.22164,0.94153,0.00375,0.78124,0.69687,0.78328,0.52398,1.0984,0.93045,0.00685,0.000762065,0.000762065,0.000762065
35,1568.91,1.20481,0.92209,0.00372,0.76557,0.68967,0.77569,0.51905,1.09546,0.96699,0.00658,0.000741855,0.000741855,0.000741855
36,1615.52,1.20175,0.91777,0.00366,0.77428,0.69438,0.78271,0.52747,1.0828,0.9447,0.00688,0.000721645,0.000721645,0.000721645
37,1661.58,1.19036,0.90592,0.00364,0.7857,0.70887,0.79003,0.53432,1.092,0.91872,0.00748,0.000701435,0.000701435,0.000701435
38,1707.01,1.17994,0.887,0.0036,0.78532,0.70417,0.79126,0.53293,1.08054,0.93438,0.00671,0.000681225,0.000681225,0.000681225
39,1752.13,1.17869,0.88816,0.00361,0.78077,0.70537,0.78701,0.53348,1.06885,0.93607,0.00668,0.000661015,0.000661015,0.000661015
40,1797.16,1.174,0.8713,0.00352,0.78691,0.70769,0.79222,0.53455,1.09247,0.92949,0.00719,0.000640804,0.000640804,0.000640804
41,1842.61,1.16947,0.86567,0.00355,0.78306,0.71397,0.78991,0.53163,1.08011,0.93895,0.0067,0.000620594,0.000620594,0.000620594
42,1887.72,1.16683,0.85493,0.00354,0.7905,0.71108,0.79362,0.53778,1.05981,0.92411,0.00627,0.000600384,0.000600384,0.000600384
43,1933.25,1.15459,0.84515,0.0035,0.79114,0.71799,0.79802,0.54492,1.05305,0.91465,0.00641,0.000580174,0.000580174,0.000580174
44,1978.63,1.15979,0.83925,0.00352,0.78523,0.72412,0.79675,0.54294,1.0469,0.9102,0.00596,0.000559964,0.000559964,0.000559964
45,2023.81,1.15329,0.83454,0.00347,0.78658,0.71902,0.79481,0.5416,1.05344,0.93711,0.00623,0.000539754,0.000539754,0.000539754
46,2069,1.15509,0.82806,0.00346,0.78692,0.72025,0.79653,0.54295,1.05388,0.92693,0.00637,0.000519544,0.000519544,0.000519544
47,2114.38,1.13375,0.80979,0.00336,0.79573,0.72243,0.80397,0.54816,1.04643,0.89019,0.00612,0.000499333,0.000499333,0.000499333
48,2159.92,1.13505,0.80256,0.00338,0.7904,0.72337,0.79788,0.54005,1.07185,0.90865,0.0065,0.000479123,0.000479123,0.000479123
49,2205.31,1.12453,0.79739,0.00333,0.80852,0.71829,0.80197,0.54568,1.05326,0.92363,0.00646,0.000458913,0.000458913,0.000458913
50,2250.45,1.13149,0.79206,0.00332,0.79124,0.72451,0.79972,0.54524,1.05639,0.91637,0.00637,0.000438703,0.000438703,0.000438703
51,2295.77,1.12004,0.77875,0.00334,0.79288,0.72029,0.79838,0.5411,1.07195,0.91965,0.00658,0.000418493,0.000418493,0.000418493
52,2341.09,1.11733,0.76684,0.00327,0.80376,0.72398,0.80126,0.54498,1.0468,0.92306,0.00603,0.000398283,0.000398283,0.000398283
53,2386.25,1.11138,0.75956,0.00325,0.80584,0.72264,0.80483,0.55102,1.0442,0.88247,0.00599,0.000378073,0.000378073,0.000378073
54,2431.67,1.09984,0.7489,0.00328,0.7984,0.72914,0.79916,0.54587,1.05075,0.91486,0.00623,0.000357862,0.000357862,0.000357862
55,2476.89,1.10427,0.75134,0.00322,0.80528,0.72626,0.80323,0.55051,1.03106,0.90195,0.0057,0.000337652,0.000337652,0.000337652
56,2522.06,1.09929,0.74109,0.00321,0.80074,0.72494,0.80146,0.54868,1.03776,0.91457,0.0058,0.000317442,0.000317442,0.000317442
57,2567.03,1.08061,0.72358,0.00316,0.80187,0.72523,0.80015,0.54812,1.04356,0.91789,0.00601,0.000297232,0.000297232,0.000297232
58,2611.9,1.08554,0.72143,0.00313,0.80311,0.72767,0.80255,0.55023,1.04395,0.91773,0.00606,0.000277022,0.000277022,0.000277022
59,2657.08,1.07668,0.71807,0.00315,0.81074,0.72336,0.80243,0.54885,1.03839,0.92175,0.00577,0.000256812,0.000256812,0.000256812
60,2702.2,1.08097,0.71431,0.00312,0.80569,0.72241,0.80147,0.5483,1.04509,0.93107,0.00592,0.000236602,0.000236602,0.000236602
61,2748.43,1.02033,0.63129,0.00335,0.81368,0.71352,0.79672,0.54187,1.05251,0.94739,0.006,0.000216391,0.000216391,0.000216391
62,2792.68,1.00426,0.60181,0.00329,0.80699,0.72102,0.79921,0.54249,1.05203,0.94665,0.00598,0.000196181,0.000196181,0.000196181
63,2837.3,0.99657,0.58983,0.00323,0.81356,0.72345,0.80142,0.54535,1.05347,0.94018,0.00611,0.000175971,0.000175971,0.000175971
64,2881.75,0.98641,0.58613,0.0032,0.80617,0.72806,0.80221,0.5467,1.04802,0.95261,0.00593,0.000155761,0.000155761,0.000155761
65,2926.47,0.98449,0.57397,0.00317,0.81903,0.72248,0.80328,0.54778,1.05312,0.94145,0.00605,0.000135551,0.000135551,0.000135551
66,2971.02,0.98131,0.56799,0.00313,0.81023,0.72509,0.80324,0.5479,1.05156,0.93372,0.00606,0.000115341,0.000115341,0.000115341
67,3015.73,0.97492,0.56072,0.00313,0.79954,0.73233,0.80212,0.5474,1.04909,0.93828,0.00598,9.51306e-05,9.51306e-05,9.51306e-05
68,3060.47,0.97019,0.55809,0.00309,0.80331,0.72871,0.79972,0.5458,1.05172,0.95101,0.00599,7.49204e-05,7.49204e-05,7.49204e-05
69,3104.96,0.96952,0.55576,0.00311,0.80547,0.72381,0.79989,0.54617,1.05417,0.94356,0.00612,5.47103e-05,5.47103e-05,5.47103e-05
70,3149.63,0.96655,0.55215,0.00306,0.8051,0.72947,0.8004,0.54651,1.05603,0.94923,0.00617,3.45001e-05,3.45001e-05,3.45001e-05
