epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7255,1.05941,3.20419,0.00276,0.56263,0.53615,0.55599,0.33016,0.96126,1.64837,0.00535,0.00047208,0.00047208,0.00047208
2,92.7284,1.06566,1.53965,0.00281,0.62374,0.54427,0.59182,0.34856,1.07063,1.54849,0.00726,0.000935,0.000935,0.000935
3,139.09,1.12259,1.4927,0.00307,0.52329,0.48006,0.47917,0.27454,1.15603,1.72571,0.00784,0.00138445,0.00138445,0.00138445
4,185.002,1.15342,1.45807,0.00317,0.62168,0.56246,0.60685,0.34758,1.1572,1.47025,0.00763,0.00136837,0.00136837,0.00136837
5,231.035,1.09854,1.40828,0.00301,0.55348,0.54406,0.55527,0.30905,1.13518,1.79235,0.00752,0.00134816,0.00134816,0.00134816
6,276.949,1.11972,1.35849,0.00304,0.6596,0.58162,0.64782,0.37584,1.12228,1.41367,0.00848,0.00132795,0.00132795,0.00132795
7,322.874,1.10311,1.33761,0.00299,0.66426,0.57497,0.64026,0.37686,1.06604,1.35332,0.00657,0.00130774,0.00130774,0.00130774
8,368.86,1.08084,1.29805,0.00293,0.68979,0.60087,0.67747,0.41542,1.02242,1.23801,0.0064,0.00128753,0.00128753,0.00128753
9,414.812,1.08206,1.27839,0.00293,0.70544,0.62422,0.70285,0.4318,1.01684,1.26456,0.00675,0.00126732,0.00126732,0.00126732
10,460.774,1.04456,1.24573,0.00282,0.6616,0.57431,0.64036,0.3892,1.08185,1.48354,0.00742,0.00124711,0.00124711,0.00124711
11,506.501,1.06583,1.22272,0.00287,0.70841,0.6074,0.69408,0.43569,1.01863,1.21112,0.00612,0.0012269,0.0012269,0.0012269
12,552.412,1.07183,1.22226,0.00284,0.72158,0.6309,0.71675,0.45208,0.96859,1.12307,0.0058,0.00120669,0.00120669,0.00120669
13,598.336,1.051,1.19766,0.00286,0.69872,0.65274,0.72023,0.45227,0.97232,1.13198,0.0057,0.00118648,0.00118648,0.00118648
14,644.294,1.04112,1.17141,0.00284,0.73977,0.62506,0.72022,0.45292,0.97607,1.09916,0.00623,0.00116627,0.00116627,0.00116627
15,690.179,1.04397,1.15278,0.00284,0.7337,0.66186,0.73713,0.46596,0.95885,1.12074,0.00578,0.00114606,0.00114606,0.00114606
16,736.114,1.0357,1.14245,0.00278,0.72235,0.65211,0.72427,0.45742,0.95902,1.09974,0.00598,0.00112585,0.00112585,0.00112585
17,781.819,1.03966,1.12083,0.00281,0.71327,0.64512,0.71556,0.45145,0.91375,1.18261,0.00522,0.00110564,0.00110564,0.00110564
18,827.641,1.03205,1.11665,0.00281,0.72885,0.65616,0.73488,0.46496,0.93737,1.06958,0.00557,0.00108543,0.00108543,0.00108543
19,873.337,1.03501,1.09805,0.0028,0.74,0.65548,0.73765,0.47546,0.92499,1.09309,0.00526,0.00106522,0.00106522,0.00106522
20,919.225,1.02054,1.09547,0.00275,0.74388,0.66177,0.74521,0.48247,0.9742,1.0504,0.00525,0.00104501,0.00104501,0.00104501
21,965.327,0.99865,1.07513,0.0027,0.73595,0.66918,0.74495,0.48387,0.92554,1.08629,0.00573,0.0010248,0.0010248,0.0010248
22,1011.58,1.00459,1.06375,0.00277,0.73757,0.68829,0.76254,0.49487,0.90611,1.02048,0.00513,0.00100459,0.00100459,0.00100459
23,1057.58,0.99268,1.04634,0.00268,0.74261,0.67223,0.75453,0.48868,0.89884,1.0379,0.00542,0.000984377,0.000984377,0.000984377
