epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0115,1.4112,2.98766,0.00887,0.59365,0.55886,0.58932,0.36129,1.23838,1.59745,0.01602,0.00047208,0.00047208,0.00047208
2,91.7292,1.41753,1.53748,0.00925,0.63964,0.55486,0.60712,0.36049,1.36598,1.55639,0.02108,0.000935,0.000935,0.000935
3,136.643,1.45959,1.49,0.01001,0.6083,0.5255,0.57171,0.33084,1.41128,1.56234,0.02099,0.00138445,0.00138445,0.00138445
4,181.522,1.46791,1.46662,0.01004,0.55415,0.54449,0.5576,0.33373,1.36971,1.58689,0.02216,0.00136837,0.00136837,0.00136837
5,226.406,1.44296,1.41302,0.0097,0.63747,0.57753,0.62396,0.37534,1.37293,1.37262,0.02504,0.00134816,0.00134816,0.00134816
6,271.567,1.43553,1.36008,0.00959,0.66318,0.57747,0.64506,0.39419,1.36042,1.35252,0.02199,0.00132795,0.00132795,0.00132795
7,316.426,1.41365,1.33824,0.00943,0.69131,0.58555,0.66926,0.41673,1.26061,1.24448,0.01877,0.00130774,0.00130774,0.00130774
8,361.644,1.40085,1.29983,0.00924,0.69134,0.59865,0.67725,0.42296,1.30505,1.27676,0.02079,0.00128753,0.00128753,0.00128753
9,406.795,1.37901,1.27606,0.00903,0.68304,0.6333,0.69748,0.44161,1.25053,1.21294,0.017,0.00126732,0.00126732,0.00126732
10,451.837,1.36778,1.25612,0.00887,0.69838,0.60553,0.68325,0.4298,1.26967,1.24996,0.01774,0.00124711,0.00124711,0.00124711
11,496.576,1.34978,1.22171,0.00873,0.71213,0.62085,0.70448,0.45432,1.18836,1.12148,0.01572,0.0012269,0.0012269,0.0012269
12,541.813,1.35807,1.21518,0.00871,0.73226,0.6191,0.71175,0.45322,1.20509,1.14581,0.01578,0.00120669,0.00120669,0.00120669
13,586.813,1.33795,1.19444,0.00871,0.72143,0.6384,0.72461,0.47371,1.20379,1.0839,0.01751,0.00118648,0.00118648,0.00118648
14,631.899,1.33333,1.17258,0.00868,0.7316,0.64837,0.73167,0.47132,1.19149,1.07001,0.01667,0.00116627,0.00116627,0.00116627
15,676.943,1.32038,1.1496,0.0086,0.69304,0.64416,0.70663,0.45039,1.20288,1.21247,0.01681,0.00114606,0.00114606,0.00114606
16,721.915,1.31715,1.14502,0.00842,0.71225,0.6411,0.71664,0.46205,1.17852,1.09264,0.01578,0.00112585,0.00112585,0.00112585
17,766.778,1.30344,1.12635,0.00839,0.74592,0.64399,0.73363,0.47769,1.18367,1.05583,0.01719,0.00110564,0.00110564,0.00110564
18,811.849,1.30045,1.12419,0.0084,0.73292,0.64733,0.73063,0.47615,1.17612,1.06911,0.01722,0.00108543,0.00108543,0.00108543
19,856.735,1.29499,1.10512,0.00829,0.72229,0.644,0.72216,0.4689,1.14949,1.1316,0.01545,0.00106522,0.00106522,0.00106522
20,901.754,1.30014,1.10298,0.00826,0.7337,0.65655,0.74358,0.48752,1.17608,1.0267,0.0167,0.00104501,0.00104501,0.00104501
21,946.979,1.28131,1.07355,0.0081,0.73866,0.67065,0.74827,0.49134,1.16667,1.04608,0.01737,0.0010248,0.0010248,0.0010248
22,992.048,1.27857,1.07707,0.00822,0.73175,0.66985,0.74622,0.49646,1.12878,1.02338,0.01496,0.00100459,0.00100459,0.00100459
23,1037.03,1.26547,1.04837,0.00794,0.7571,0.67132,0.76223,0.50772,1.12858,0.99247,0.01534,0.000984377,0.000984377,0.000984377
24,1082.09,1.26266,1.04659,0.00793,0.75833,0.67154,0.76014,0.49883,1.14177,1.00529,0.01501,0.000964167,0.000964167,0.000964167
25,1126.78,1.25446,1.03391,0.00792,0.7582,0.67662,0.75926,0.50062,1.1213,0.99648,0.01415,0.000943957,0.000943957,0.000943957
26,1171.48,1.25466,1.01435,0.00789,0.74933,0.6806,0.76316,0.50404,1.12343,1.00202,0.01425,0.000923746,0.000923746,0.000923746
27,1217.42,1.24806,1.00886,0.0078,0.75682,0.68146,0.7639,0.51143,1.10333,0.98265,0.01415,0.000903536,0.000903536,0.000903536
28,1267.63,1.24181,0.99958,0.00775,0.77126,0.67021,0.76585,0.51335,1.1102,0.99867,0.01441,0.000883326,0.000883326,0.000883326
29,1314.91,1.2305,0.99139,0.00763,0.7673,0.67554,0.76744,0.5115,1.09256,0.97785,0.01352,0.000863116,0.000863116,0.000863116
30,1360.55,1.22388,0.97197,0.00756,0.76766,0.68627,0.77808,0.52115,1.10549,0.96806,0.01514,0.000842906,0.000842906,0.000842906
31,1406.44,1.22852,0.96544,0.00753,0.77129,0.68105,0.77224,0.51773,1.09605,0.94188,0.01377,0.000822696,0.000822696,0.000822696
32,1451.91,1.21866,0.95686,0.00743,0.76863,0.69875,0.77759,0.52141,1.08504,0.9669,0.0136,0.000802486,0.000802486,0.000802486
33,1497.85,1.21832,0.95279,0.00742,0.77209,0.6937,0.77603,0.52458,1.08094,0.97125,0.01336,0.000782275,0.000782275,0.000782275
34,1543.63,1.21556,0.93667,0.00743,0.74865,0.70402,0.77634,0.51948,1.08694,0.95549,0.01316,0.000762065,0.000762065,0.000762065
35,1589.49,1.20028,0.92118,0.0074,0.77714,0.68708,0.77791,0.51909,1.09802,0.95418,0.01323,0.000741855,0.000741855,0.000741855
36,1636.43,1.20335,0.91687,0.00733,0.76869,0.6968,0.77776,0.52402,1.08772,0.96347,0.0141,0.000721645,0.000721645,0.000721645
37,1682.41,1.18986,0.91088,0.00728,0.78495,0.69166,0.78613,0.53054,1.07137,0.93396,0.01319,0.000701435,0.000701435,0.000701435
38,1728.62,1.18045,0.8834,0.0072,0.78209,0.70682,0.78545,0.53218,1.0727,0.94328,0.01293,0.000681225,0.000681225,0.000681225
39,1774.64,1.17694,0.88913,0.00716,0.77937,0.70118,0.78876,0.53483,1.06467,0.92965,0.01273,0.000661015,0.000661015,0.000661015
40,1820.68,1.17354,0.87595,0.00704,0.77649,0.71144,0.79276,0.5333,1.08814,0.92225,0.0145,0.000640804,0.000640804,0.000640804
41,1866.51,1.16967,0.86683,0.00713,0.7708,0.71893,0.79359,0.5382,1.06646,0.91946,0.01315,0.000620594,0.000620594,0.000620594
42,1912.51,1.16494,0.85792,0.00705,0.78564,0.70977,0.79126,0.53657,1.05773,0.91204,0.01236,0.000600384,0.000600384,0.000600384
43,1958.38,1.15555,0.84191,0.00699,0.79889,0.70622,0.79984,0.54588,1.054,0.90853,0.01256,0.000580174,0.000580174,0.000580174
44,2004.19,1.15878,0.83891,0.00702,0.7869,0.71056,0.79195,0.53732,1.06006,0.90202,0.01256,0.000559964,0.000559964,0.000559964
45,2049.83,1.1533,0.83609,0.00692,0.79143,0.70769,0.79165,0.53556,1.06895,0.92649,0.01313,0.000539754,0.000539754,0.000539754
46,2095.83,1.15448,0.8233,0.00692,0.78665,0.71638,0.79554,0.54296,1.05601,0.91803,0.01229,0.000519544,0.000519544,0.000519544
47,2141.35,1.13663,0.80598,0.00675,0.7989,0.71953,0.80139,0.546,1.04465,0.90459,0.01188,0.000499333,0.000499333,0.000499333
48,2187.05,1.13418,0.80458,0.00674,0.78216,0.71959,0.79715,0.54293,1.04888,0.90551,0.01229,0.000479123,0.000479123,0.000479123
49,2232.55,1.12094,0.79611,0.00662,0.79291,0.71056,0.79284,0.53872,1.0461,0.94073,0.01209,0.000458913,0.000458913,0.000458913
50,2278.16,1.13496,0.79841,0.00663,0.78932,0.71584,0.79539,0.54292,1.03562,0.91783,0.01159,0.000438703,0.000438703,0.000438703
51,2323.81,1.11995,0.78182,0.00666,0.78394,0.71831,0.7973,0.54435,1.04512,0.93441,0.01215,0.000418493,0.000418493,0.000418493
52,2369.53,1.11561,0.77331,0.00653,0.79978,0.71197,0.79773,0.54331,1.04437,0.94884,0.01184,0.000398283,0.000398283,0.000398283
53,2415.25,1.11027,0.76058,0.00648,0.80078,0.72038,0.80244,0.54702,1.04854,0.92212,0.01213,0.000378073,0.000378073,0.000378073
54,2461.2,1.09895,0.74474,0.00654,0.80461,0.7172,0.79985,0.5463,1.04567,0.91561,0.0122,0.000357862,0.000357862,0.000357862
55,2506.89,1.10317,0.75325,0.00641,0.81175,0.72237,0.80409,0.54693,1.04945,0.90886,0.01206,0.000337652,0.000337652,0.000337652
56,2552.56,1.09818,0.74348,0.0064,0.80281,0.72003,0.80023,0.54671,1.04543,0.92483,0.01187,0.000317442,0.000317442,0.000317442
57,2598.17,1.08194,0.72684,0.00634,0.80004,0.72074,0.80073,0.54653,1.04719,0.92988,0.01222,0.000297232,0.000297232,0.000297232
58,2643.81,1.08376,0.72725,0.00623,0.79431,0.72467,0.79869,0.54421,1.04432,0.94388,0.01188,0.000277022,0.000277022,0.000277022
59,2689.35,1.07754,0.72203,0.00631,0.80404,0.7195,0.80135,0.54686,1.04709,0.92722,0.01182,0.000256812,0.000256812,0.000256812
60,2735.12,1.08171,0.71446,0.00622,0.8206,0.71199,0.80303,0.54896,1.0424,0.92561,0.01176,0.000236602,0.000236602,0.000236602
61,2781.61,1.02191,0.63612,0.00671,0.79384,0.72308,0.79448,0.54039,1.05298,0.95538,0.01169,0.000216391,0.000216391,0.000216391
62,2826.66,1.00503,0.60576,0.00659,0.79281,0.72581,0.79688,0.54272,1.04201,0.94676,0.01129,0.000196181,0.000196181,0.000196181
