epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,78.1647,2.29855,4.64437,0.00912,0.43805,0.43305,0.39447,0.19785,1.56403,3.4915,0.01076,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588
2,155.574,1.69378,2.46968,0.00601,0.43564,0.47301,0.41709,0.2165,1.52733,2.54865,0.01012,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518
3,232.912,1.64511,1.8394,0.00596,0.54791,0.48656,0.50675,0.24488,1.73321,2.22782,0.01251,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018
4,310.081,1.59664,1.71102,0.00571,0.51776,0.51395,0.49491,0.27019,1.54264,2.01608,0.0108,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,387.257,1.53684,1.60224,0.00541,0.57744,0.55113,0.57573,0.33605,1.39112,1.52358,0.0091,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,464.313,1.48806,1.51373,0.00517,0.60297,0.554,0.59703,0.3489,1.41719,1.55224,0.00952,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,541.723,1.4564,1.45559,0.00496,0.66191,0.5963,0.65562,0.38998,1.34756,1.29854,0.00821,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,619.724,1.42772,1.40096,0.00486,0.68784,0.58749,0.66,0.40891,1.28699,1.26214,0.00807,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,697.084,1.40646,1.358,0.00473,0.66579,0.60554,0.66276,0.41243,1.29655,1.28895,0.00825,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,774.679,1.39016,1.3258,0.00464,0.68883,0.62563,0.69029,0.43563,1.2359,1.1837,0.00762,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,852.02,1.36322,1.27927,0.00455,0.69483,0.62512,0.697,0.44212,1.19849,1.17187,0.00703,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,929.408,1.35393,1.26589,0.00448,0.71586,0.6374,0.71146,0.45154,1.23829,1.16683,0.00777,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,1007.5,1.34212,1.22613,0.00442,0.70859,0.64658,0.71557,0.45285,1.20133,1.14621,0.00715,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,1085.16,1.32908,1.22187,0.00438,0.68492,0.62752,0.69299,0.4417,1.19857,1.14327,0.0071,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,1162.07,1.3188,1.19269,0.00435,0.72137,0.64499,0.7235,0.46977,1.17112,1.07344,0.00692,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,1239.46,1.31402,1.17528,0.00428,0.73714,0.65927,0.7418,0.48008,1.15663,1.02972,0.00656,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,1317.49,1.29796,1.13349,0.00425,0.74945,0.65993,0.74375,0.48659,1.15668,1.01512,0.00674,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,1395.18,1.2939,1.13196,0.00426,0.72273,0.65952,0.73656,0.47941,1.16379,1.05885,0.00693,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
