epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,80.6829,2.76987,4.92377,0.00922,0.51431,0.45031,0.46111,0.21066,1.80063,3.67981,0.01408,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588
2,161.513,1.75543,2.3782,0.00506,0.42038,0.46354,0.39934,0.20497,1.57153,2.44729,0.00947,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518
3,242.559,1.69354,1.78615,0.00488,0.55345,0.4721,0.49408,0.23272,1.83772,2.29979,0.01145,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018
4,322.632,1.64762,1.69444,0.0047,0.53871,0.50886,0.51979,0.28151,1.67286,1.94792,0.01039,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,404.202,1.58414,1.60905,0.00447,0.58806,0.5328,0.55921,0.29833,1.6976,1.86502,0.00936,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,485.495,1.56654,1.51695,0.00437,0.65899,0.5831,0.64517,0.36881,1.51663,1.35132,0.00822,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,566.908,1.53244,1.4747,0.00422,0.67921,0.58254,0.65308,0.37915,1.38926,1.35658,0.00719,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,648.06,1.51009,1.42123,0.00415,0.67909,0.60599,0.67124,0.40465,1.41255,1.27771,0.00739,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,729.102,1.4989,1.38161,0.00411,0.7067,0.63454,0.70203,0.41664,1.41984,1.18264,0.00788,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,810.465,1.46924,1.34967,0.00399,0.68273,0.62073,0.68635,0.41831,1.39418,1.27818,0.00738,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,891.452,1.44603,1.3091,0.00393,0.70432,0.63263,0.69532,0.42023,1.35502,1.21967,0.00703,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,971.968,1.44518,1.29771,0.0039,0.72402,0.63379,0.7156,0.43571,1.39172,1.17748,0.00815,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,1052.14,1.43457,1.26411,0.00388,0.7349,0.64299,0.72277,0.44643,1.33414,1.13517,0.00701,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,1133.69,1.40311,1.254,0.0038,0.7364,0.63518,0.7216,0.45196,1.31607,1.14382,0.00709,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,1214.17,1.41074,1.2269,0.00383,0.75373,0.65806,0.74578,0.47081,1.28325,1.03792,0.00637,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,1295.98,1.40035,1.21494,0.00375,0.75515,0.64525,0.73679,0.46251,1.28358,1.09325,0.00658,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,1377.51,1.35644,1.18789,0.00366,0.76062,0.66951,0.757,0.47983,1.26174,1.01662,0.00634,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,1459.08,1.37165,1.18066,0.00373,0.75649,0.65255,0.7426,0.46673,1.26241,1.07898,0.00633,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
19,1540.82,1.36356,1.1568,0.00367,0.73432,0.67114,0.74301,0.47714,1.21053,1.04557,0.00585,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
20,1622,1.35821,1.13995,0.00363,0.75989,0.6732,0.76248,0.48963,1.233,1.02322,0.00617,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
21,1703.49,1.3455,1.11741,0.00364,0.75554,0.68758,0.76547,0.49331,1.19983,0.98999,0.0059,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
22,1785.3,1.33562,1.11261,0.00356,0.76112,0.67865,0.76425,0.49281,1.19687,0.99215,0.00588,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
23,1866.52,1.32297,1.08857,0.00356,0.77554,0.66872,0.7616,0.49049,1.22031,1.02605,0.00589,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
24,1946.63,1.32095,1.07664,0.00352,0.77442,0.67587,0.7664,0.49642,1.21056,0.99325,0.00595,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714
