epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3814,1.43298,3.25989,0.0045,0.60354,0.53838,0.57326,0.34267,1.27662,1.6227,0.0085,0.00047208,0.00047208,0.00047208
2,91.9272,1.43661,1.58917,0.00471,0.62689,0.53745,0.5851,0.34195,1.39825,1.52698,0.01024,0.000935,0.000935,0.000935
3,137.684,1.4855,1.53741,0.0051,0.58442,0.49,0.51688,0.29173,1.48782,1.71022,0.01217,0.00138445,0.00138445,0.00138445
4,183.62,1.49233,1.49061,0.00514,0.61047,0.5714,0.61264,0.36877,1.39759,1.45997,0.01207,0.00136837,0.00136837,0.00136837
5,229.711,1.46403,1.44544,0.00498,0.57873,0.56648,0.59147,0.3504,1.34835,1.65074,0.01011,0.00134816,0.00134816,0.00134816
6,275.412,1.44321,1.38356,0.00486,0.6601,0.59578,0.65975,0.39321,1.36568,1.35978,0.01055,0.00132795,0.00132795,0.00132795
7,321.186,1.4189,1.36022,0.00476,0.6839,0.59873,0.67278,0.41193,1.31087,1.19495,0.00912,0.00130774,0.00130774,0.00130774
8,367.033,1.40468,1.31796,0.00468,0.67032,0.57663,0.64148,0.39163,1.29281,1.37542,0.00931,0.00128753,0.00128753,0.00128753
9,412.788,1.3963,1.29028,0.00463,0.68959,0.61831,0.6897,0.42491,1.2988,1.19039,0.00902,0.00126732,0.00126732,0.00126732
10,458.751,1.37915,1.277,0.0045,0.69509,0.62292,0.69236,0.4395,1.2283,1.24021,0.00869,0.00124711,0.00124711,0.00124711
11,504.488,1.36272,1.24057,0.00444,0.6755,0.5834,0.66385,0.41411,1.2821,1.26993,0.00957,0.0012269,0.0012269,0.0012269
12,549.955,1.36335,1.23616,0.00439,0.72059,0.6378,0.71831,0.4626,1.18739,1.15174,0.00801,0.00120669,0.00120669,0.00120669
13,595.792,1.34552,1.21649,0.00442,0.70939,0.62701,0.70253,0.45062,1.23043,1.13689,0.00953,0.00118648,0.00118648,0.00118648
14,641.348,1.34367,1.19598,0.00442,0.72554,0.64346,0.71979,0.46433,1.19254,1.12613,0.00851,0.00116627,0.00116627,0.00116627
15,687.308,1.33285,1.16963,0.00443,0.71602,0.65536,0.73297,0.46933,1.21563,1.12037,0.009,0.00114606,0.00114606,0.00114606
16,732.86,1.32724,1.16506,0.00427,0.70986,0.63448,0.70859,0.4496,1.21651,1.12406,0.00852,0.00112585,0.00112585,0.00112585
17,778.265,1.30916,1.14994,0.00425,0.73317,0.65648,0.73023,0.47312,1.17881,1.10453,0.00854,0.00110564,0.00110564,0.00110564
18,824.043,1.30206,1.14237,0.00425,0.73108,0.65215,0.73095,0.46931,1.19277,1.08931,0.00868,0.00108543,0.00108543,0.00108543
19,869.574,1.30377,1.11763,0.0042,0.75103,0.64893,0.73631,0.48022,1.16824,1.0723,0.00844,0.00106522,0.00106522,0.00106522
20,915.043,1.30486,1.11604,0.00419,0.76161,0.6507,0.7485,0.49023,1.15945,1.02513,0.00794,0.00104501,0.00104501,0.00104501
21,960.595,1.28716,1.09578,0.00411,0.73432,0.65053,0.73245,0.47803,1.171,1.08953,0.0084,0.0010248,0.0010248,0.0010248
22,1006.15,1.28818,1.08946,0.0042,0.73448,0.67402,0.75393,0.49587,1.14357,1.01767,0.00771,0.00100459,0.00100459,0.00100459
23,1051.66,1.27322,1.07289,0.00404,0.74171,0.66051,0.75041,0.49049,1.16362,1.06263,0.00814,0.000984377,0.000984377,0.000984377
24,1097.24,1.27605,1.0704,0.00407,0.74051,0.66371,0.75075,0.49059,1.14462,1.06278,0.00733,0.000964167,0.000964167,0.000964167
25,1142.65,1.26146,1.05522,0.00402,0.74696,0.69388,0.76912,0.50954,1.13504,0.96961,0.00763,0.000943957,0.000943957,0.000943957
26,1188.49,1.26295,1.03853,0.00402,0.73632,0.68022,0.75013,0.48833,1.16284,1.03813,0.00813,0.000923746,0.000923746,0.000923746
