epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1305,1.13731,2.81407,0.00398,0.61511,0.56302,0.59141,0.34951,1.06892,1.58339,0.0078,0.00047208,0.00047208,0.00047208
2,91.9446,1.12305,1.42281,0.00394,0.5808,0.5362,0.56371,0.33092,1.13475,1.58986,0.00818,0.000935,0.000935,0.000935
3,137.686,1.15399,1.38667,0.00413,0.61964,0.54791,0.58913,0.33332,1.18812,1.53797,0.00883,0.00138445,0.00138445,0.00138445
4,183.504,1.17025,1.35762,0.00419,0.6135,0.56146,0.59618,0.33008,1.19294,1.43845,0.00878,0.00136837,0.00136837,0.00136837
5,233.215,1.15279,1.3073,0.00409,0.60935,0.58924,0.61319,0.35628,1.07559,1.48188,0.00799,0.00134816,0.00134816,0.00134816
6,281.674,1.14163,1.26233,0.00401,0.69441,0.59864,0.67319,0.39273,1.1331,1.26261,0.0085,0.00132795,0.00132795,0.00132795
7,326.737,1.13217,1.23322,0.00399,0.6993,0.60989,0.68078,0.41386,1.07038,1.20486,0.00743,0.00130774,0.00130774,0.00130774
8,371.781,1.11467,1.19939,0.00391,0.67925,0.60871,0.67214,0.40944,1.03079,1.22871,0.00702,0.00128753,0.00128753,0.00128753
9,416.667,1.10707,1.17751,0.00387,0.69896,0.60547,0.68724,0.41751,1.08738,1.21632,0.00789,0.00126732,0.00126732,0.00126732
10,461.547,1.09758,1.1558,0.00379,0.70251,0.62329,0.69573,0.42187,1.02877,1.19323,0.00693,0.00124711,0.00124711,0.00124711
11,506.798,1.07961,1.12686,0.00375,0.73802,0.63088,0.72094,0.4523,1.01099,1.12754,0.00709,0.0012269,0.0012269,0.0012269
12,552.125,1.0868,1.12412,0.00373,0.70637,0.63072,0.70595,0.44042,1.01124,1.11479,0.00704,0.00120669,0.00120669,0.00120669
13,597.212,1.07696,1.09837,0.00373,0.69557,0.64338,0.71888,0.44926,0.99653,1.08507,0.0071,0.00118648,0.00118648,0.00118648
14,642.308,1.068,1.07509,0.0037,0.72221,0.66527,0.73996,0.46379,0.97314,1.01483,0.00651,0.00116627,0.00116627,0.00116627
15,687.797,1.05923,1.06276,0.00368,0.72072,0.66012,0.73596,0.46122,0.96568,1.11372,0.0064,0.00114606,0.00114606,0.00114606
16,732.952,1.05996,1.04906,0.00365,0.70061,0.65139,0.71624,0.4431,0.9777,1.08041,0.00661,0.00112585,0.00112585,0.00112585
17,778.224,1.04923,1.04176,0.00363,0.70313,0.64435,0.71554,0.4475,0.96406,1.10357,0.00633,0.00110564,0.00110564,0.00110564
18,823.392,1.04362,1.03147,0.0036,0.72796,0.66654,0.73785,0.46528,0.95275,1.04325,0.00617,0.00108543,0.00108543,0.00108543
19,868.745,1.0364,1.01389,0.00356,0.76215,0.64177,0.74333,0.46919,0.97924,1.07217,0.00674,0.00106522,0.00106522,0.00106522
20,914.033,1.0444,1.00596,0.00357,0.76087,0.67861,0.76478,0.48995,0.94382,0.94742,0.00619,0.00104501,0.00104501,0.00104501
21,959.444,1.0347,0.99115,0.00351,0.73326,0.67075,0.74538,0.47654,0.94006,1.00703,0.00641,0.0010248,0.0010248,0.0010248
22,1004.57,1.02915,0.98815,0.00355,0.73954,0.68762,0.75839,0.48361,0.95564,0.99984,0.00646,0.00100459,0.00100459,0.00100459
23,1049.32,1.01821,0.96481,0.00345,0.75932,0.66303,0.75812,0.49378,0.93398,0.96489,0.00607,0.000984377,0.000984377,0.000984377
24,1094.24,1.01901,0.96544,0.00346,0.73848,0.68198,0.7635,0.49553,0.9197,0.93812,0.00596,0.000964167,0.000964167,0.000964167
25,1139.62,1.01062,0.95108,0.00343,0.76917,0.69141,0.77228,0.49867,0.91952,0.93679,0.00591,0.000943957,0.000943957,0.000943957
26,1184.48,1.00728,0.93465,0.00342,0.77076,0.66935,0.76439,0.49474,0.9187,0.94136,0.00594,0.000923746,0.000923746,0.000923746
27,1229.33,1.00229,0.9337,0.00339,0.76331,0.68524,0.77246,0.49975,0.91411,0.92395,0.00592,0.000903536,0.000903536,0.000903536
