epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,75.8387,2.35921,4.72922,0.00925,0.3957,0.42262,0.35886,0.17035,1.68283,3.73164,0.01232,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588
2,151.087,1.70681,2.44084,0.00607,0.38734,0.46787,0.37578,0.18792,1.56015,2.94956,0.01084,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518
3,226.332,1.639,1.82915,0.00592,0.48857,0.4639,0.4541,0.22254,1.76493,2.71304,0.01276,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018
4,301.631,1.58923,1.71077,0.00566,0.50273,0.48626,0.47536,0.25037,1.57703,2.1754,0.01117,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,377.572,1.53009,1.60185,0.0054,0.5636,0.52585,0.54875,0.32001,1.42916,1.62665,0.00962,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,453.089,1.48115,1.51052,0.00515,0.6294,0.56246,0.61129,0.3678,1.3259,1.36764,0.00839,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,529.012,1.45399,1.44852,0.00496,0.64035,0.60056,0.64575,0.3945,1.37185,1.29819,0.00917,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,604.265,1.42397,1.3899,0.00483,0.67964,0.5939,0.66105,0.41007,1.27844,1.27474,0.00796,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,679.697,1.40297,1.35879,0.00471,0.67443,0.59368,0.66275,0.41143,1.2985,1.28962,0.00808,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,755.69,1.38243,1.32827,0.00462,0.66664,0.60989,0.66879,0.418,1.22656,1.24229,0.00729,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
