epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,76.4326,2.34673,4.72021,0.00921,0.42155,0.44862,0.39623,0.19831,1.60362,3.75979,0.01155,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588
2,151.59,1.69651,2.44248,0.00605,0.45121,0.48993,0.43432,0.22838,1.46863,2.82417,0.01009,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518
3,226.984,1.63254,1.83827,0.00591,0.51466,0.45467,0.44623,0.19734,1.84156,2.47028,0.01418,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018
4,302.596,1.59211,1.7029,0.00571,0.58331,0.50934,0.5402,0.30464,1.49201,1.9656,0.00997,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,378.549,1.53321,1.59257,0.00541,0.60117,0.54859,0.57285,0.33613,1.41588,1.60591,0.00946,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,454.214,1.4851,1.50664,0.00516,0.61438,0.56591,0.61781,0.36772,1.34681,1.48643,0.00864,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,529.613,1.45261,1.4565,0.00497,0.6464,0.61097,0.66129,0.40563,1.29345,1.32147,0.00803,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,606.073,1.42167,1.4043,0.00483,0.63252,0.60201,0.64393,0.39708,1.30765,1.32095,0.00823,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,681.765,1.40919,1.34806,0.00475,0.70196,0.60883,0.69082,0.4308,1.25689,1.20064,0.00773,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,756.848,1.38533,1.32328,0.00465,0.68548,0.62635,0.69243,0.439,1.23703,1.15476,0.0075,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,832.688,1.36242,1.27914,0.00455,0.70441,0.63287,0.71185,0.45129,1.2322,1.14387,0.00769,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,908.727,1.35746,1.26448,0.0045,0.68685,0.63346,0.68916,0.43818,1.21344,1.18762,0.00753,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,984.456,1.33829,1.23066,0.00443,0.67762,0.64916,0.69112,0.43429,1.20139,1.28242,0.0071,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,1059.87,1.32492,1.21967,0.00437,0.71828,0.64403,0.72616,0.46854,1.17837,1.07088,0.00706,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,1136.11,1.31385,1.18638,0.00434,0.71067,0.65553,0.72973,0.47086,1.198,1.07017,0.00725,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,1211.5,1.31267,1.17644,0.00427,0.73083,0.66087,0.7291,0.46938,1.16553,1.05653,0.0067,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,1286.69,1.29675,1.15225,0.00422,0.73055,0.66855,0.74319,0.48132,1.18286,1.06246,0.00702,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,1362.15,1.28863,1.13903,0.00426,0.74663,0.66271,0.74942,0.49446,1.15448,1.02977,0.0069,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
