epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0585,1.563,2.94372,0.00377,0.65279,0.55532,0.61775,0.37528,1.32458,1.55793,0.00734,0.00047208,0.00047208,0.00047208
2,89.9272,1.56469,1.47999,0.00376,0.61553,0.53918,0.58433,0.34798,1.49097,1.55568,0.01057,0.000935,0.000935,0.000935
3,134.571,1.60739,1.43483,0.00396,0.55938,0.51755,0.54319,0.31261,1.54427,1.6086,0.0095,0.00138445,0.00138445,0.00138445
4,179.274,1.61824,1.39173,0.00399,0.60771,0.56543,0.60312,0.34563,1.47317,1.56011,0.00812,0.00136837,0.00136837,0.00136837
5,223.891,1.6035,1.35885,0.0039,0.6298,0.57881,0.61436,0.35448,1.49026,1.40171,0.0093,0.00134816,0.00134816,0.00134816
6,268.471,1.58934,1.30197,0.00383,0.64512,0.59098,0.6443,0.38344,1.46423,1.28842,0.00933,0.00132795,0.00132795,0.00132795
7,313.167,1.56863,1.28254,0.00379,0.68994,0.58322,0.6635,0.41106,1.3733,1.22317,0.00827,0.00130774,0.00130774,0.00130774
8,358.108,1.54713,1.24386,0.00372,0.65337,0.57434,0.63839,0.38541,1.40549,1.29229,0.00859,0.00128753,0.00128753,0.00128753
9,402.801,1.53972,1.21808,0.00368,0.69502,0.61249,0.68374,0.41538,1.39562,1.18918,0.00764,0.00126732,0.00126732,0.00126732
10,447.614,1.52578,1.20067,0.0036,0.70888,0.60913,0.68825,0.42141,1.37967,1.1494,0.00741,0.00124711,0.00124711,0.00124711
11,492.585,1.50559,1.16487,0.00358,0.70458,0.65694,0.71778,0.44816,1.30741,1.09448,0.0072,0.0012269,0.0012269,0.0012269
12,537.45,1.51441,1.16042,0.00355,0.72235,0.63447,0.71967,0.45405,1.2879,1.05616,0.00667,0.00120669,0.00120669,0.00120669
13,582.216,1.4897,1.1389,0.00354,0.7119,0.62681,0.70621,0.43874,1.28995,1.06085,0.00675,0.00118648,0.00118648,0.00118648
14,626.665,1.48691,1.12374,0.00352,0.7292,0.62884,0.71689,0.44584,1.29581,1.0574,0.00691,0.00116627,0.00116627,0.00116627
15,671.371,1.47204,1.1021,0.0035,0.71715,0.65911,0.72448,0.45333,1.29117,1.13085,0.0069,0.00114606,0.00114606,0.00114606
16,716.167,1.47889,1.08912,0.00349,0.71772,0.6443,0.72686,0.45776,1.2883,1.08907,0.00691,0.00112585,0.00112585,0.00112585
17,761.071,1.46131,1.08091,0.00346,0.72862,0.64488,0.72086,0.45621,1.25812,1.08121,0.00648,0.00110564,0.00110564,0.00110564
18,805.697,1.4469,1.06979,0.00342,0.73586,0.66239,0.73968,0.47387,1.23742,1.03267,0.0063,0.00108543,0.00108543,0.00108543
19,850.612,1.4422,1.04662,0.00338,0.73911,0.66077,0.74382,0.47857,1.24918,1.00218,0.00654,0.00106522,0.00106522,0.00106522
20,895.335,1.4489,1.04854,0.00337,0.74861,0.66186,0.74601,0.48028,1.25724,1.02167,0.00647,0.00104501,0.00104501,0.00104501
21,940.104,1.44169,1.02188,0.00335,0.73391,0.66872,0.7387,0.47554,1.24854,1.06386,0.00674,0.0010248,0.0010248,0.0010248
22,984.554,1.43339,1.0222,0.00339,0.74288,0.67321,0.75351,0.49106,1.22255,0.96532,0.00593,0.00100459,0.00100459,0.00100459
23,1029.29,1.41906,1.00252,0.00328,0.74428,0.66997,0.75116,0.49402,1.21912,0.99058,0.00615,0.000984377,0.000984377,0.000984377
24,1074.03,1.42351,0.99761,0.0033,0.76131,0.65895,0.75605,0.49349,1.22256,0.97321,0.0063,0.000964167,0.000964167,0.000964167
25,1118.52,1.4147,0.98427,0.00329,0.76333,0.68046,0.76971,0.50304,1.22402,0.94817,0.00631,0.000943957,0.000943957,0.000943957
26,1163.07,1.40601,0.96738,0.00326,0.74845,0.68225,0.75608,0.49292,1.22322,0.97644,0.00623,0.000923746,0.000923746,0.000923746
27,1207.46,1.39827,0.96524,0.00322,0.76725,0.68436,0.7721,0.5053,1.20564,0.93835,0.00585,0.000903536,0.000903536,0.000903536
28,1252.15,1.39761,0.95165,0.00322,0.76473,0.68142,0.76916,0.5067,1.20092,0.96342,0.0061,0.000883326,0.000883326,0.000883326
29,1296.87,1.38636,0.94262,0.0032,0.74577,0.6871,0.76773,0.50398,1.20245,0.95979,0.00583,0.000863116,0.000863116,0.000863116
30,1341.43,1.3764,0.92799,0.00318,0.78169,0.69382,0.78582,0.5208,1.19083,0.89306,0.00591,0.000842906,0.000842906,0.000842906
31,1386.13,1.38674,0.91454,0.00316,0.76036,0.70777,0.78251,0.52016,1.18715,0.89992,0.00585,0.000822696,0.000822696,0.000822696
32,1430.77,1.37306,0.90931,0.00313,0.77562,0.68287,0.77591,0.51255,1.19258,0.93616,0.00586,0.000802486,0.000802486,0.000802486
33,1475.36,1.37836,0.90394,0.00312,0.77034,0.70418,0.78331,0.52146,1.18766,0.89324,0.00589,0.000782275,0.000782275,0.000782275
