epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1097,1.45726,2.93911,0.00426,0.60634,0.54225,0.59109,0.35672,1.29327,1.5616,0.00796,0.00047208,0.00047208,0.00047208
2,91.13,1.46132,1.45936,0.00426,0.63017,0.54233,0.58689,0.35081,1.40933,1.47957,0.01,0.000935,0.000935,0.000935
3,135.907,1.50723,1.42295,0.00452,0.59382,0.51734,0.55497,0.29491,1.64697,1.48604,0.01264,0.00138445,0.00138445,0.00138445
4,180.5,1.52309,1.38398,0.00456,0.5717,0.54917,0.57864,0.34044,1.40094,1.49475,0.00976,0.00136837,0.00136837,0.00136837
5,225.305,1.50295,1.3321,0.00444,0.63312,0.56056,0.60492,0.36794,1.37825,1.46102,0.00961,0.00134816,0.00134816,0.00134816
6,269.932,1.49368,1.28317,0.00439,0.67294,0.58372,0.64881,0.39729,1.38155,1.26695,0.01013,0.00132795,0.00132795,0.00132795
7,314.675,1.46297,1.26199,0.0043,0.68725,0.58821,0.66843,0.41358,1.32359,1.22358,0.00834,0.00130774,0.00130774,0.00130774
8,359.419,1.44501,1.22197,0.00423,0.69602,0.6166,0.69406,0.42414,1.35548,1.18642,0.00951,0.00128753,0.00128753,0.00128753
9,404.184,1.42836,1.1963,0.00417,0.70584,0.61075,0.69444,0.42414,1.35943,1.26236,0.00961,0.00126732,0.00126732,0.00126732
10,448.903,1.423,1.17987,0.00411,0.68975,0.59771,0.67955,0.41329,1.35535,1.19315,0.00891,0.00124711,0.00124711,0.00124711
11,493.266,1.39926,1.14999,0.00406,0.70013,0.6453,0.71537,0.455,1.23096,1.0974,0.00771,0.0012269,0.0012269,0.0012269
12,537.942,1.40425,1.14414,0.00401,0.71704,0.64636,0.72403,0.46463,1.22039,1.04155,0.00763,0.00120669,0.00120669,0.00120669
13,582.591,1.38839,1.11226,0.00403,0.73173,0.64935,0.72869,0.4602,1.23914,1.01062,0.00761,0.00118648,0.00118648,0.00118648
14,627.141,1.38446,1.10287,0.00402,0.74462,0.64921,0.73891,0.46724,1.22217,1.02674,0.00766,0.00116627,0.00116627,0.00116627
15,671.888,1.36678,1.08188,0.00398,0.7334,0.6581,0.73698,0.47125,1.21459,1.09919,0.00767,0.00114606,0.00114606,0.00114606
16,716.541,1.36781,1.06698,0.00393,0.70995,0.65027,0.71987,0.45674,1.23359,1.08148,0.00816,0.00112585,0.00112585,0.00112585
17,761.049,1.34833,1.06014,0.0039,0.71955,0.66245,0.73939,0.472,1.2233,1.03279,0.00777,0.00110564,0.00110564,0.00110564
18,805.769,1.34258,1.047,0.00389,0.75034,0.65937,0.75168,0.48936,1.19934,0.96425,0.00735,0.00108543,0.00108543,0.00108543
19,850.378,1.33467,1.03231,0.00384,0.75377,0.66209,0.75222,0.48616,1.20093,0.99084,0.00774,0.00106522,0.00106522,0.00106522
20,894.951,1.3427,1.02487,0.00384,0.75632,0.6655,0.74947,0.4868,1.17992,1.00122,0.00681,0.00104501,0.00104501,0.00104501
21,939.554,1.32742,1.00652,0.00378,0.73774,0.66286,0.74539,0.48314,1.22324,1.01217,0.00824,0.0010248,0.0010248,0.0010248
22,983.948,1.32415,1.00678,0.00384,0.76481,0.68724,0.77012,0.50074,1.17653,0.93494,0.00683,0.00100459,0.00100459,0.00100459
23,1028.61,1.30385,0.98264,0.00369,0.75344,0.68842,0.77072,0.50837,1.16501,0.94904,0.00727,0.000984377,0.000984377,0.000984377
24,1073.34,1.30663,0.97975,0.00372,0.74728,0.6825,0.76147,0.49289,1.17235,0.9557,0.00688,0.000964167,0.000964167,0.000964167
25,1117.79,1.29544,0.96383,0.0037,0.74119,0.68918,0.76566,0.49562,1.17565,0.94557,0.00694,0.000943957,0.000943957,0.000943957
26,1162.18,1.29427,0.94554,0.00369,0.75174,0.6928,0.77182,0.50959,1.14423,0.94569,0.00652,0.000923746,0.000923746,0.000923746
27,1206.92,1.28903,0.94088,0.00365,0.76957,0.68322,0.77431,0.51357,1.13623,0.91724,0.00652,0.000903536,0.000903536,0.000903536
28,1251.56,1.27904,0.93127,0.00363,0.7931,0.67384,0.78149,0.51956,1.14329,0.93026,0.00691,0.000883326,0.000883326,0.000883326
29,1296.3,1.27048,0.92397,0.00359,0.77398,0.68388,0.77458,0.51131,1.15444,0.91844,0.00697,0.000863116,0.000863116,0.000863116
30,1340.72,1.26031,0.90577,0.00356,0.78392,0.68796,0.78433,0.52279,1.11703,0.89284,0.0065,0.000842906,0.000842906,0.000842906
31,1385.35,1.26572,0.89559,0.00354,0.77395,0.68922,0.77876,0.51799,1.1349,0.91697,0.00661,0.000822696,0.000822696,0.000822696
32,1429.65,1.2558,0.89307,0.00351,0.77599,0.69604,0.78627,0.52143,1.14079,0.90161,0.00674,0.000802486,0.000802486,0.000802486
33,1474.27,1.25436,0.88687,0.0035,0.76933,0.70702,0.78576,0.52016,1.12447,0.90645,0.00654,0.000782275,0.000782275,0.000782275
34,1518.8,1.25406,0.87209,0.00352,0.78466,0.70282,0.79134,0.52712,1.12447,0.89896,0.00646,0.000762065,0.000762065,0.000762065
35,1563.52,1.24162,0.85832,0.00351,0.78478,0.69512,0.7872,0.52399,1.11854,0.89402,0.00627,0.000741855,0.000741855,0.000741855
36,1607.95,1.23881,0.85024,0.00345,0.79098,0.70979,0.79411,0.5325,1.10927,0.89069,0.0062,0.000721645,0.000721645,0.000721645
37,1652.59,1.22335,0.8435,0.00344,0.79826,0.70981,0.79892,0.53576,1.12078,0.8368,0.00668,0.000701435,0.000701435,0.000701435
38,1697.32,1.21439,0.82291,0.00341,0.79256,0.70762,0.79548,0.53754,1.10401,0.86727,0.0065,0.000681225,0.000681225,0.000681225
39,1742.09,1.20986,0.82507,0.00339,0.78446,0.71483,0.79308,0.53185,1.1074,0.89452,0.00632,0.000661015,0.000661015,0.000661015
40,1786.64,1.20656,0.81254,0.00335,0.79171,0.71351,0.79762,0.53358,1.11538,0.88224,0.00665,0.000640804,0.000640804,0.000640804
41,1831.2,1.20183,0.80874,0.00337,0.79828,0.71315,0.80248,0.54059,1.10325,0.85667,0.00648,0.000620594,0.000620594,0.000620594
42,1875.76,1.19839,0.79149,0.00334,0.78621,0.71813,0.79852,0.53374,1.10919,0.87674,0.0064,0.000600384,0.000600384,0.000600384
43,1920.26,1.1861,0.78437,0.00332,0.80323,0.71998,0.80466,0.54148,1.09209,0.86091,0.0061,0.000580174,0.000580174,0.000580174
44,1965.02,1.18805,0.77889,0.00333,0.78927,0.71798,0.79709,0.53674,1.09105,0.87734,0.0061,0.000559964,0.000559964,0.000559964
45,2009.53,1.18353,0.77674,0.00329,0.8084,0.70667,0.79743,0.53662,1.08324,0.87964,0.00578,0.000539754,0.000539754,0.000539754
46,2053.99,1.18358,0.76594,0.00328,0.80385,0.71911,0.80424,0.54055,1.10299,0.88006,0.00618,0.000519544,0.000519544,0.000519544
