epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9463,1.46206,2.93999,0.00461,0.60962,0.55352,0.59245,0.36813,1.24338,1.55171,0.00827,0.00047208,0.00047208,0.00047208
2,89.3795,1.46765,1.46165,0.00478,0.62284,0.57318,0.61672,0.37351,1.34579,1.4355,0.00951,0.000935,0.000935,0.000935
3,134.361,1.51562,1.42718,0.00515,0.58945,0.49035,0.53732,0.3122,1.46732,1.54934,0.01146,0.00138445,0.00138445,0.00138445
4,179.078,1.52914,1.37038,0.00523,0.60225,0.55185,0.5944,0.35324,1.41397,1.56587,0.0116,0.00136837,0.00136837,0.00136837
5,223.957,1.5059,1.33323,0.00507,0.58622,0.57627,0.5969,0.35459,1.40228,1.5009,0.01124,0.00134816,0.00134816,0.00134816
6,268.469,1.49081,1.28459,0.00499,0.6553,0.57863,0.6421,0.38392,1.41069,1.27676,0.01153,0.00132795,0.00132795,0.00132795
7,313.352,1.46643,1.25986,0.00489,0.68654,0.61777,0.69103,0.42926,1.29227,1.17903,0.00942,0.00130774,0.00130774,0.00130774
8,358.096,1.44723,1.22387,0.00477,0.68496,0.61846,0.68384,0.42481,1.28666,1.16533,0.00919,0.00128753,0.00128753,0.00128753
9,402.983,1.43519,1.19798,0.00471,0.68243,0.62216,0.68793,0.41838,1.33744,1.1928,0.00927,0.00126732,0.00126732,0.00126732
10,447.672,1.4244,1.18158,0.00463,0.70378,0.60192,0.68895,0.43017,1.31217,1.14076,0.00903,0.00124711,0.00124711,0.00124711
11,492.484,1.40405,1.14736,0.00454,0.69173,0.64225,0.71378,0.44897,1.30465,1.14041,0.00983,0.0012269,0.0012269,0.0012269
12,537.403,1.41281,1.14469,0.00453,0.70848,0.64167,0.70943,0.44672,1.26675,1.12779,0.0094,0.00120669,0.00120669,0.00120669
13,582.043,1.38873,1.12018,0.00454,0.72637,0.65349,0.72869,0.46953,1.22876,1.04456,0.00876,0.00118648,0.00118648,0.00118648
14,626.943,1.37973,1.1064,0.00449,0.71756,0.61838,0.70669,0.44925,1.23025,1.12409,0.0084,0.00116627,0.00116627,0.00116627
15,671.573,1.3695,1.08311,0.00447,0.73433,0.66487,0.74333,0.47247,1.24209,1.05938,0.00858,0.00114606,0.00114606,0.00114606
16,716.275,1.36621,1.08109,0.00437,0.71616,0.6394,0.70948,0.44509,1.29717,1.07653,0.00997,0.00112585,0.00112585,0.00112585
17,760.916,1.34999,1.05921,0.00436,0.74476,0.65394,0.74013,0.4744,1.23426,1.00252,0.00866,0.00110564,0.00110564,0.00110564
18,805.755,1.34762,1.04774,0.00438,0.74289,0.66621,0.7478,0.48076,1.19874,0.9681,0.00779,0.00108543,0.00108543,0.00108543
19,850.735,1.33728,1.03474,0.0043,0.75547,0.66438,0.7509,0.48848,1.18094,1.00873,0.00761,0.00106522,0.00106522,0.00106522
20,895.646,1.34398,1.03012,0.00429,0.74887,0.67254,0.75388,0.48172,1.21418,0.98745,0.00794,0.00104501,0.00104501,0.00104501
21,940.278,1.32943,1.00922,0.00421,0.74538,0.67376,0.75438,0.48997,1.19252,1.02903,0.00845,0.0010248,0.0010248,0.0010248
22,984.916,1.32109,1.00809,0.00426,0.75101,0.67724,0.76487,0.50454,1.15409,0.93665,0.00747,0.00100459,0.00100459,0.00100459
23,1029.89,1.30794,0.98172,0.00411,0.74002,0.69001,0.76392,0.49851,1.16794,0.99814,0.00765,0.000984377,0.000984377,0.000984377
