epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3298,1.42548,2.96252,0.00448,0.65154,0.5626,0.62232,0.38255,1.23057,1.50923,0.00812,0.00047208,0.00047208,0.00047208
2,91.39,1.43181,1.49546,0.00468,0.612,0.55507,0.59808,0.35994,1.42567,1.55247,0.01263,0.000935,0.000935,0.000935
3,136.461,1.47198,1.46821,0.00501,0.57039,0.47375,0.50936,0.27789,1.52342,1.68487,0.01114,0.00138445,0.00138445,0.00138445
4,181.638,1.49389,1.42771,0.0051,0.64458,0.5564,0.61335,0.35378,1.4314,1.44165,0.01143,0.00136837,0.00136837,0.00136837
5,226.612,1.46671,1.37598,0.00492,0.62718,0.57706,0.61756,0.37507,1.38281,1.49803,0.01157,0.00134816,0.00134816,0.00134816
6,271.634,1.45731,1.31842,0.00485,0.65557,0.59348,0.64136,0.38808,1.38392,1.31764,0.01078,0.00132795,0.00132795,0.00132795
7,316.931,1.43362,1.29855,0.00476,0.69944,0.5955,0.68102,0.42354,1.30476,1.22369,0.00993,0.00130774,0.00130774,0.00130774
8,362.135,1.41786,1.26405,0.00467,0.70073,0.62597,0.6995,0.43737,1.2635,1.13933,0.00916,0.00128753,0.00128753,0.00128753
9,407.378,1.40029,1.23503,0.00459,0.69404,0.58347,0.66896,0.41425,1.31508,1.23981,0.00902,0.00126732,0.00126732,0.00126732
10,452.401,1.38867,1.22213,0.0045,0.68733,0.59984,0.67387,0.42303,1.28383,1.22803,0.00915,0.00124711,0.00124711,0.00124711
11,497.264,1.37156,1.19298,0.00445,0.71061,0.64105,0.71683,0.46066,1.22891,1.08951,0.00853,0.0012269,0.0012269,0.0012269
12,542.563,1.37952,1.1862,0.0044,0.72196,0.64634,0.7195,0.46206,1.2033,1.12782,0.00822,0.00120669,0.00120669,0.00120669
13,587.816,1.35928,1.15578,0.00441,0.70524,0.63429,0.70585,0.44865,1.21344,1.11429,0.00811,0.00118648,0.00118648,0.00118648
14,632.774,1.35429,1.1443,0.0044,0.73274,0.62816,0.71306,0.45799,1.19925,1.10625,0.00858,0.00116627,0.00116627,0.00116627
15,677.9,1.3371,1.12735,0.00435,0.73499,0.64981,0.7293,0.46142,1.21843,1.12952,0.00837,0.00114606,0.00114606,0.00114606
16,723.029,1.34012,1.11305,0.00428,0.71676,0.64349,0.72427,0.46659,1.21254,1.11234,0.00879,0.00112585,0.00112585,0.00112585
17,768.12,1.32134,1.09395,0.00425,0.70967,0.65334,0.72673,0.46913,1.18625,1.05923,0.00808,0.00110564,0.00110564,0.00110564
18,813.167,1.31319,1.08657,0.00424,0.73939,0.6558,0.73287,0.4718,1.19049,1.05472,0.0077,0.00108543,0.00108543,0.00108543
19,858.215,1.31013,1.06755,0.00418,0.73611,0.64618,0.73369,0.47523,1.14977,1.0615,0.00749,0.00106522,0.00106522,0.00106522
20,903.246,1.31341,1.06462,0.00415,0.74805,0.68117,0.76255,0.5039,1.1468,0.98126,0.0078,0.00104501,0.00104501,0.00104501
21,948.559,1.299,1.04151,0.0041,0.74806,0.66942,0.75419,0.49156,1.16511,1.01247,0.00828,0.0010248,0.0010248,0.0010248
22,993.65,1.29739,1.03816,0.00416,0.74391,0.68527,0.76429,0.49776,1.16415,0.99584,0.00764,0.00100459,0.00100459,0.00100459
23,1038.5,1.28112,1.01617,0.00402,0.74842,0.67134,0.7588,0.4982,1.1519,0.98651,0.00792,0.000984377,0.000984377,0.000984377
24,1086.46,1.28212,1.01018,0.00402,0.76203,0.67946,0.77007,0.50548,1.14831,0.94132,0.00755,0.000964167,0.000964167,0.000964167
25,1132.23,1.269,0.99576,0.00401,0.75722,0.68276,0.76463,0.50307,1.1457,0.97228,0.0074,0.000943957,0.000943957,0.000943957
26,1177.45,1.27002,0.98085,0.00399,0.7683,0.67825,0.76871,0.50565,1.13697,0.96966,0.00716,0.000923746,0.000923746,0.000923746
27,1223.06,1.26405,0.97536,0.00393,0.78139,0.68052,0.77048,0.51269,1.11006,0.9454,0.00701,0.000903536,0.000903536,0.000903536
28,1268.74,1.25337,0.96645,0.00391,0.76346,0.6743,0.76767,0.50816,1.12387,0.99739,0.00722,0.000883326,0.000883326,0.000883326
29,1314.23,1.24573,0.95724,0.00384,0.77134,0.69345,0.77947,0.51837,1.11585,0.96533,0.00708,0.000863116,0.000863116,0.000863116
30,1359.97,1.23873,0.94239,0.00381,0.76877,0.70059,0.78409,0.52194,1.11891,0.90394,0.00708,0.000842906,0.000842906,0.000842906
31,1405.6,1.24607,0.92301,0.00381,0.79382,0.68591,0.7785,0.51637,1.117,0.92947,0.00739,0.000822696,0.000822696,0.000822696
32,1451.01,1.23445,0.91993,0.00377,0.77991,0.68498,0.77889,0.5228,1.0973,0.92526,0.0067,0.000802486,0.000802486,0.000802486
33,1496.62,1.2337,0.91767,0.00375,0.77346,0.70855,0.786,0.5226,1.10883,0.93119,0.00681,0.000782275,0.000782275,0.000782275
34,1542.15,1.23374,0.90427,0.00377,0.78619,0.69506,0.78401,0.52441,1.09452,0.91815,0.00646,0.000762065,0.000762065,0.000762065
35,1587.89,1.2191,0.8881,0.00376,0.78516,0.68287,0.77741,0.51517,1.10136,0.93472,0.00633,0.000741855,0.000741855,0.000741855
36,1633.28,1.21596,0.88669,0.00369,0.78871,0.70716,0.79274,0.534,1.0794,0.90811,0.00638,0.000721645,0.000721645,0.000721645
37,1679.03,1.20265,0.87652,0.00366,0.77976,0.70177,0.79212,0.53248,1.09929,0.88538,0.00721,0.000701435,0.000701435,0.000701435
38,1724.4,1.19917,0.85044,0.00365,0.78345,0.70575,0.7879,0.53089,1.08493,0.9327,0.00655,0.000681225,0.000681225,0.000681225
39,1769.8,1.19233,0.84876,0.00362,0.80146,0.7017,0.79627,0.53826,1.07479,0.89199,0.00647,0.000661015,0.000661015,0.000661015
40,1815.46,1.18648,0.83816,0.00355,0.78339,0.71517,0.79349,0.53444,1.07493,0.91452,0.00641,0.000640804,0.000640804,0.000640804
41,1861.01,1.18052,0.83685,0.00358,0.79504,0.70331,0.79237,0.53222,1.09002,0.91505,0.00661,0.000620594,0.000620594,0.000620594
42,1906.58,1.17864,0.82214,0.00356,0.77997,0.7121,0.79414,0.53215,1.06945,0.91539,0.00621,0.000600384,0.000600384,0.000600384
43,1952.09,1.16895,0.81097,0.00353,0.79468,0.71649,0.80226,0.54468,1.06064,0.8798,0.0062,0.000580174,0.000580174,0.000580174
44,1997.8,1.16922,0.80552,0.00353,0.78552,0.71585,0.7947,0.53478,1.08248,0.90932,0.00654,0.000559964,0.000559964,0.000559964
45,2043.35,1.16502,0.80027,0.00348,0.78959,0.72202,0.79863,0.53808,1.07822,0.89215,0.0067,0.000539754,0.000539754,0.000539754
46,2089.74,1.16921,0.79349,0.00349,0.80102,0.71047,0.79711,0.53927,1.07607,0.91201,0.00665,0.000519544,0.000519544,0.000519544
47,2134.6,1.14599,0.76842,0.00339,0.79792,0.72402,0.80475,0.54287,1.07368,0.89199,0.00634,0.000499333,0.000499333,0.000499333
48,2179.43,1.14565,0.7744,0.00339,0.79688,0.72119,0.80144,0.54078,1.06861,0.89356,0.00636,0.000479123,0.000479123,0.000479123
49,2224.26,1.13643,0.76313,0.00334,0.80397,0.72017,0.80175,0.54255,1.06192,0.88204,0.00621,0.000458913,0.000458913,0.000458913
50,2269.05,1.14455,0.75918,0.00335,0.81151,0.71342,0.80166,0.54103,1.06319,0.90708,0.00623,0.000438703,0.000438703,0.000438703
51,2313.9,1.13113,0.74675,0.00336,0.79681,0.72357,0.80394,0.5443,1.06047,0.88919,0.00601,0.000418493,0.000418493,0.000418493
52,2358.77,1.12984,0.73616,0.0033,0.80358,0.71737,0.80013,0.54094,1.0557,0.90025,0.00585,0.000398283,0.000398283,0.000398283
53,2403.82,1.12539,0.72685,0.00328,0.80783,0.72316,0.80487,0.54575,1.06509,0.89686,0.0062,0.000378073,0.000378073,0.000378073
54,2448.93,1.11183,0.71549,0.00331,0.80531,0.72072,0.80318,0.54299,1.06355,0.89308,0.00605,0.000357862,0.000357862,0.000357862
55,2493.74,1.11488,0.7217,0.00324,0.80299,0.72074,0.8005,0.54205,1.05418,0.90694,0.00602,0.000337652,0.000337652,0.000337652
56,2538.37,1.1101,0.71252,0.00324,0.79683,0.72446,0.79939,0.54124,1.05757,0.92044,0.00597,0.000317442,0.000317442,0.000317442
57,2583.15,1.09379,0.69268,0.0032,0.8049,0.71701,0.80228,0.54385,1.06088,0.89716,0.00605,0.000297232,0.000297232,0.000297232
58,2627.94,1.09699,0.69421,0.00317,0.79687,0.72216,0.79855,0.54013,1.05821,0.90983,0.00592,0.000277022,0.000277022,0.000277022
59,2672.72,1.08875,0.68714,0.00319,0.80789,0.72141,0.79955,0.5419,1.06041,0.90106,0.00609,0.000256812,0.000256812,0.000256812
60,2717.68,1.09433,0.68269,0.00315,0.82071,0.715,0.80439,0.54439,1.06041,0.88654,0.00599,0.000236602,0.000236602,0.000236602
61,2763.57,1.03117,0.60136,0.00339,0.81603,0.71169,0.79818,0.53691,1.07191,0.91603,0.00601,0.000216391,0.000216391,0.000216391
62,2807.87,1.01194,0.57702,0.00331,0.81587,0.71211,0.79914,0.53804,1.07333,0.91073,0.00609,0.000196181,0.000196181,0.000196181
63,2851.93,1.00526,0.56625,0.00327,0.81434,0.7178,0.80188,0.54021,1.06918,0.91304,0.00605,0.000175971,0.000175971,0.000175971
64,2896.29,0.99399,0.55694,0.00322,0.80518,0.72058,0.80084,0.54014,1.06842,0.91284,0.00606,0.000155761,0.000155761,0.000155761
65,2940.47,0.99198,0.5451,0.00319,0.81021,0.71923,0.8006,0.54149,1.06835,0.91032,0.00599,0.000135551,0.000135551,0.000135551
