epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2029,1.51749,2.98662,0.00364,0.62616,0.53994,0.59809,0.35994,1.35091,1.582,0.00787,0.00047208,0.00047208,0.00047208
2,90.8768,1.50955,1.5475,0.00361,0.59649,0.51593,0.54599,0.32844,1.41679,1.6673,0.00905,0.000935,0.000935,0.000935
3,135.65,1.55176,1.50834,0.00379,0.54013,0.46681,0.48615,0.26966,1.56081,1.99397,0.01014,0.00138445,0.00138445,0.00138445
4,180.192,1.56267,1.47942,0.00381,0.61629,0.54549,0.59077,0.34522,1.43017,1.52145,0.0087,0.00136837,0.00136837,0.00136837
5,224.872,1.53886,1.43131,0.00371,0.61243,0.57276,0.60619,0.36745,1.41779,1.56576,0.00892,0.00134816,0.00134816,0.00134816
6,269.883,1.52935,1.37778,0.00365,0.60894,0.58657,0.61309,0.36942,1.41619,1.43515,0.00891,0.00132795,0.00132795,0.00132795
7,314.9,1.51128,1.35347,0.00362,0.68145,0.58839,0.6611,0.41195,1.33235,1.25682,0.0074,0.00130774,0.00130774,0.00130774
8,359.718,1.49777,1.31727,0.00357,0.68458,0.59034,0.66632,0.41343,1.31051,1.27072,0.00725,0.00128753,0.00128753,0.00128753
9,404.731,1.48519,1.29713,0.00353,0.67949,0.63117,0.69091,0.43174,1.30674,1.25058,0.00737,0.00126732,0.00126732,0.00126732
10,449.675,1.47698,1.27736,0.00347,0.70576,0.60071,0.67925,0.42503,1.27773,1.27788,0.0067,0.00124711,0.00124711,0.00124711
11,494.491,1.45407,1.24328,0.00344,0.70599,0.64271,0.71653,0.45923,1.27282,1.13187,0.00696,0.0012269,0.0012269,0.0012269
12,539.448,1.46455,1.23551,0.0034,0.71348,0.6313,0.71551,0.45694,1.24443,1.13764,0.00684,0.00120669,0.00120669,0.00120669
13,584.01,1.44623,1.21901,0.00341,0.71509,0.62071,0.6994,0.44615,1.25533,1.12257,0.0067,0.00118648,0.00118648,0.00118648
14,628.65,1.42775,1.20116,0.00336,0.73617,0.64341,0.72598,0.46697,1.23972,1.09093,0.00697,0.00116627,0.00116627,0.00116627
15,673.654,1.43009,1.16861,0.00337,0.71608,0.64625,0.72373,0.46237,1.26243,1.14209,0.00654,0.00114606,0.00114606,0.00114606
16,718.239,1.42935,1.17695,0.00333,0.71599,0.63627,0.71437,0.44956,1.25912,1.13904,0.00668,0.00112585,0.00112585,0.00112585
17,762.815,1.41177,1.14779,0.00331,0.73024,0.64005,0.72309,0.45866,1.26442,1.09038,0.00666,0.00110564,0.00110564,0.00110564
18,807.321,1.40535,1.1411,0.00329,0.74022,0.66378,0.74472,0.48458,1.21646,1.03889,0.00667,0.00108543,0.00108543,0.00108543
19,852.317,1.39808,1.12005,0.00326,0.7343,0.65672,0.73815,0.48053,1.18425,1.04574,0.00627,0.00106522,0.00106522,0.00106522
20,896.887,1.40564,1.12141,0.00325,0.7352,0.656,0.74246,0.48243,1.21737,1.05471,0.00626,0.00104501,0.00104501,0.00104501
21,941.787,1.39138,1.10228,0.0032,0.7282,0.66172,0.74101,0.48152,1.22024,1.07128,0.00692,0.0010248,0.0010248,0.0010248
22,986.4,1.38671,1.09828,0.00326,0.74894,0.65603,0.74535,0.48655,1.2117,1.03727,0.00614,0.00100459,0.00100459,0.00100459
23,1031.25,1.37447,1.07817,0.00316,0.73909,0.65317,0.74126,0.48589,1.21047,1.05409,0.00638,0.000984377,0.000984377,0.000984377
24,1075.75,1.37701,1.07352,0.00317,0.73737,0.6565,0.74048,0.48548,1.18692,1.05938,0.00616,0.000964167,0.000964167,0.000964167
25,1120.65,1.36408,1.05927,0.00314,0.73019,0.67261,0.7507,0.49141,1.19526,1.04454,0.00599,0.000943957,0.000943957,0.000943957
26,1165.4,1.36228,1.04223,0.00314,0.77131,0.66815,0.76388,0.50667,1.18533,0.9773,0.0062,0.000923746,0.000923746,0.000923746
27,1210.11,1.3545,1.04231,0.0031,0.75593,0.66575,0.75657,0.50054,1.15681,0.99941,0.00581,0.000903536,0.000903536,0.000903536
28,1254.65,1.34803,1.02718,0.00309,0.76496,0.68386,0.77023,0.51594,1.1641,0.9624,0.00609,0.000883326,0.000883326,0.000883326
29,1299.61,1.33978,1.01473,0.00307,0.76939,0.68028,0.77078,0.51342,1.1652,0.96557,0.00599,0.000863116,0.000863116,0.000863116
30,1344.51,1.33271,1.00128,0.00306,0.76703,0.68486,0.77154,0.51225,1.17514,0.96451,0.00622,0.000842906,0.000842906,0.000842906
