epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1106,0.28906,2.38844,0.00087,0.27364,0.40556,0.25799,0.16621,0.18458,1.71166,0.00083,0.00047208,0.00047208,0.00047208
2,89.6626,0.25576,1.66459,0.00076,0.22544,0.37589,0.19722,0.12427,0.26141,2.1519,0.00152,0.000935,0.000935,0.000935
3,134.406,0.26886,1.67769,0.00084,0.24631,0.32693,0.21503,0.135,0.23681,1.84421,0.00132,0.00138445,0.00138445,0.00138445
4,179.008,0.28121,1.65119,0.00088,0.34135,0.35779,0.28145,0.17202,0.2215,1.76038,0.00123,0.00136837,0.00136837,0.00136837
5,223.986,0.26861,1.61869,0.00083,0.28488,0.33001,0.2327,0.14695,0.22385,1.66228,0.00131,0.00134816,0.00134816,0.00134816
6,268.599,0.26124,1.56838,0.0008,0.35033,0.34463,0.27842,0.18635,0.19419,1.6638,0.00104,0.00132795,0.00132795,0.00132795
7,313.581,0.24691,1.56085,0.00075,0.31713,0.2859,0.24995,0.17259,0.18477,1.57877,0.00093,0.00130774,0.00130774,0.00130774
8,358.31,0.24337,1.53893,0.00073,0.28441,0.31829,0.23054,0.15863,0.17867,1.51363,0.00084,0.00128753,0.00128753,0.00128753
9,403.131,0.23367,1.51142,0.0007,0.38376,0.3113,0.25986,0.17936,0.17486,1.54744,0.0009,0.00126732,0.00126732,0.00126732
10,447.902,0.22822,1.49641,0.00067,0.38024,0.29614,0.28924,0.20465,0.16559,1.56362,0.00084,0.00124711,0.00124711,0.00124711
11,492.856,0.22311,1.475,0.00065,0.38597,0.315,0.30158,0.20982,0.16501,1.5336,0.00084,0.0012269,0.0012269,0.0012269
12,537.738,0.22555,1.47083,0.00066,0.45271,0.3737,0.36176,0.2437,0.17009,1.46815,0.00083,0.00120669,0.00120669,0.00120669
13,582.665,0.2212,1.4536,0.00065,0.42333,0.35166,0.33622,0.23325,0.15567,1.41122,0.00074,0.00118648,0.00118648,0.00118648
14,627.597,0.21638,1.45007,0.00064,0.50569,0.3516,0.37857,0.26611,0.15693,1.45054,0.00072,0.00116627,0.00116627,0.00116627
15,672.707,0.21447,1.43854,0.00063,0.52267,0.36515,0.39128,0.26965,0.15921,1.41908,0.00073,0.00114606,0.00114606,0.00114606
16,717.632,0.21153,1.4274,0.00061,0.53499,0.35731,0.39838,0.27705,0.15952,1.43155,0.00076,0.00112585,0.00112585,0.00112585
17,762.589,0.20633,1.41946,0.0006,0.52968,0.38368,0.41236,0.28986,0.15386,1.38696,0.00073,0.00110564,0.00110564,0.00110564
18,807.56,0.20525,1.40467,0.0006,0.55409,0.33693,0.38494,0.27607,0.15032,1.36505,0.00071,0.00108543,0.00108543,0.00108543
19,852.399,0.20475,1.39114,0.00059,0.50102,0.33131,0.36573,0.26147,0.15339,1.39005,0.00069,0.00106522,0.00106522,0.00106522
