epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.943,1.0437,3.18528,0.0027,0.61287,0.57064,0.60814,0.37036,0.93596,1.60159,0.00632,0.00047208,0.00047208,0.00047208
2,91.5993,1.04337,1.52417,0.00276,0.61809,0.55741,0.59412,0.34839,1.13526,1.51595,0.00846,0.000935,0.000935,0.000935
3,136.65,1.10883,1.4787,0.00302,0.61585,0.49961,0.55295,0.29481,1.22585,1.6954,0.00813,0.00138445,0.00138445,0.00138445
4,181.475,1.10883,1.43584,0.00305,0.63003,0.58633,0.63142,0.37552,1.1151,1.38126,0.00673,0.00136837,0.00136837,0.00136837
5,226.597,1.10517,1.39775,0.00299,0.64107,0.57402,0.61837,0.36446,1.14473,1.38135,0.00762,0.00134816,0.00134816,0.00134816
6,271.56,1.09269,1.34506,0.00295,0.69656,0.59469,0.6653,0.40776,1.01886,1.36639,0.00676,0.00132795,0.00132795,0.00132795
7,316.663,1.08919,1.31441,0.00293,0.69452,0.58272,0.65692,0.39824,1.10556,1.29347,0.00786,0.00130774,0.00130774,0.00130774
8,361.662,1.08656,1.28375,0.00291,0.70189,0.61674,0.68868,0.43156,1.0177,1.20887,0.00647,0.00128753,0.00128753,0.00128753
9,406.727,1.04444,1.25977,0.00281,0.71657,0.63188,0.71453,0.451,0.95615,1.14386,0.006,0.00126732,0.00126732,0.00126732
10,451.806,1.06818,1.23175,0.00283,0.59023,0.5652,0.61108,0.36884,1.1273,1.40552,0.008,0.00124711,0.00124711,0.00124711
11,496.634,1.07043,1.20106,0.00283,0.70468,0.65511,0.7204,0.45512,1.00157,1.09491,0.00658,0.0012269,0.0012269,0.0012269
12,541.843,1.08311,1.2021,0.00284,0.72577,0.63519,0.72157,0.45933,1.02104,1.11302,0.00692,0.00120669,0.00120669,0.00120669
13,587.056,1.05335,1.17055,0.00282,0.71493,0.63727,0.71815,0.45299,0.96472,1.09704,0.00693,0.00118648,0.00118648,0.00118648
14,631.965,1.03934,1.15246,0.00278,0.73077,0.64238,0.72919,0.4617,0.97847,1.10575,0.00626,0.00116627,0.00116627,0.00116627
15,677.115,1.05025,1.13188,0.00282,0.74559,0.66607,0.74928,0.48072,0.93543,1.04469,0.0053,0.00114606,0.00114606,0.00114606
16,722.283,1.04656,1.12164,0.00277,0.71567,0.65213,0.72716,0.46264,0.90215,1.11829,0.00588,0.00112585,0.00112585,0.00112585
17,767.042,1.01145,1.112,0.00273,0.74403,0.64902,0.73732,0.47478,0.90209,1.06931,0.00599,0.00110564,0.00110564,0.00110564
18,811.996,1.01182,1.09636,0.00274,0.74978,0.65587,0.73915,0.47537,0.95223,1.04462,0.00612,0.00108543,0.00108543,0.00108543
19,857.016,1.01634,1.08191,0.00273,0.72972,0.65222,0.72893,0.46866,0.87505,1.09888,0.00535,0.00106522,0.00106522,0.00106522
20,901.917,1.03572,1.0758,0.00274,0.75852,0.66281,0.75554,0.49222,0.94022,1.0365,0.00585,0.00104501,0.00104501,0.00104501
21,946.968,1.01552,1.05188,0.0027,0.74291,0.67822,0.75661,0.49405,0.87387,1.01344,0.00577,0.0010248,0.0010248,0.0010248
22,992.073,1.01253,1.04252,0.00275,0.7495,0.67465,0.75788,0.49315,0.86614,1.02527,0.0056,0.00100459,0.00100459,0.00100459
23,1036.96,1.01497,1.02595,0.00268,0.76515,0.66214,0.76215,0.50113,0.91335,1.01497,0.0058,0.000984377,0.000984377,0.000984377
24,1081.8,1.01402,1.01682,0.00272,0.77027,0.68228,0.77226,0.50357,0.88366,0.96953,0.00528,0.000964167,0.000964167,0.000964167
