epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.8941,1.16126,3.19725,0.00288,0.60076,0.5569,0.59151,0.35615,1.10304,1.66752,0.0063,0.00047208,0.00047208,0.00047208
2,90.9983,1.17649,1.5168,0.00297,0.62381,0.56561,0.60249,0.365,1.14003,1.51142,0.00764,0.000935,0.000935,0.000935
3,136.521,1.26431,1.47915,0.00329,0.56267,0.48127,0.51084,0.28443,1.3805,1.9881,0.00822,0.00138445,0.00138445,0.00138445
4,181.771,1.30951,1.43389,0.00339,0.65602,0.58282,0.63804,0.36768,1.2761,1.40116,0.00785,0.00136837,0.00136837,0.00136837
5,227.19,1.2544,1.38519,0.00325,0.61616,0.54804,0.58559,0.33961,1.36215,1.81075,0.00883,0.00134816,0.00134816,0.00134816
6,272.269,1.23977,1.34604,0.0032,0.64823,0.59706,0.65987,0.399,1.28183,1.31423,0.00796,0.00132795,0.00132795,0.00132795
7,317.54,1.22094,1.31226,0.00315,0.68309,0.59443,0.66224,0.40231,1.23697,1.29296,0.00774,0.00130774,0.00130774,0.00130774
8,362.912,1.22905,1.27944,0.00314,0.69192,0.61438,0.67952,0.41884,1.14614,1.22803,0.00672,0.00128753,0.00128753,0.00128753
9,408.351,1.19842,1.26085,0.00308,0.71382,0.63669,0.71484,0.45102,1.15752,1.1296,0.00738,0.00126732,0.00126732,0.00126732
10,453.766,1.18271,1.23548,0.00301,0.71689,0.6131,0.69828,0.43337,1.17401,1.1773,0.00703,0.00124711,0.00124711,0.00124711
11,498.79,1.17395,1.20322,0.003,0.70317,0.64576,0.71696,0.45788,1.09525,1.13347,0.00643,0.0012269,0.0012269,0.0012269
12,544.157,1.1755,1.19666,0.00298,0.73075,0.64001,0.72872,0.45694,1.10333,1.07882,0.00606,0.00120669,0.00120669,0.00120669
13,589.267,1.16102,1.17475,0.00299,0.72891,0.6373,0.72293,0.46669,1.09421,1.0914,0.00679,0.00118648,0.00118648,0.00118648
14,634.597,1.13594,1.15674,0.00293,0.73038,0.63489,0.72075,0.46091,1.04399,1.11536,0.00628,0.00116627,0.00116627,0.00116627
