run,split,class,threshold,tp,fp,precision,recall,f1
y26_identity,val,backpack,0.001,2532,28786,0.0808,0.9653,0.1492
y26_identity,val,backpack,0.005,2459,10391,0.1914,0.9375,0.3178
y26_identity,val,backpack,0.01,2403,6720,0.2634,0.9161,0.4092
y26_identity,val,backpack,0.02,2352,4168,0.3607,0.8967,0.5145
y26_identity,val,backpack,0.03,2309,3172,0.4213,0.8803,0.5698
y26_identity,val,backpack,0.05,2262,2237,0.5028,0.8624,0.6352
y26_identity,val,backpack,0.07,2239,1785,0.5564,0.8536,0.6737
y26_identity,val,backpack,0.1,2188,1369,0.6151,0.8342,0.7081
y26_identity,val,backpack,0.12,2161,1195,0.6439,0.8239,0.7229
y26_identity,val,backpack,0.15,2129,977,0.6854,0.8117,0.7432
y26_identity,val,backpack,0.2,2082,773,0.7292,0.7937,0.7601
y26_identity,val,backpack,0.25,2028,619,0.7662,0.7732,0.7696
y26_identity,val,backpack,0.3,1986,501,0.7986,0.7571,0.7773
y26_identity,val,backpack,0.35,1947,424,0.8212,0.7423,0.7797
y26_identity,val,backpack,0.4,1905,364,0.8396,0.7263,0.7788
y26_identity,val,backpack,0.5,1813,250,0.8788,0.6912,0.7738
y26_identity,val,backpack,0.6,1708,167,0.9109,0.6512,0.7594
y26_identity,val,backpack,0.7,1548,104,0.9370,0.5902,0.7242
y26_identity,test,backpack,0.001,1580,17809,0.0815,0.9587,0.1502
y26_identity,test,backpack,0.005,1546,6424,0.1940,0.9381,0.3215
y26_identity,test,backpack,0.01,1521,4151,0.2682,0.9229,0.4156
y26_identity,test,backpack,0.02,1478,2629,0.3599,0.8968,0.5136
y26_identity,test,backpack,0.03,1463,2007,0.4216,0.8877,0.5717
y26_identity,test,backpack,0.05,1439,1417,0.5039,0.8732,0.6390
y26_identity,test,backpack,0.07,1417,1131,0.5561,0.8598,0.6754
y26_identity,test,backpack,0.1,1382,874,0.6126,0.8386,0.7080
y26_identity,test,backpack,0.12,1366,757,0.6434,0.8289,0.7245
y26_identity,test,backpack,0.15,1339,634,0.6787,0.8125,0.7396
y26_identity,test,backpack,0.2,1308,497,0.7247,0.7937,0.7576
y26_identity,test,backpack,0.25,1278,416,0.7544,0.7755,0.7648
y26_identity,test,backpack,0.3,1251,349,0.7819,0.7591,0.7703
