run,split,class,threshold,tp,fp,precision,recall,f1
y26_scb3_sbb50,val,backpack,0.001,2537,31071,0.0755,0.9672,0.1400
y26_scb3_sbb50,val,backpack,0.005,2468,11647,0.1748,0.9409,0.2949
y26_scb3_sbb50,val,backpack,0.01,2420,7446,0.2453,0.9226,0.3875
y26_scb3_sbb50,val,backpack,0.02,2379,4815,0.3307,0.9070,0.4847
y26_scb3_sbb50,val,backpack,0.03,2348,3707,0.3878,0.8952,0.5411
y26_scb3_sbb50,val,backpack,0.05,2289,2681,0.4606,0.8727,0.6029
y26_scb3_sbb50,val,backpack,0.07,2255,2155,0.5113,0.8597,0.6413
y26_scb3_sbb50,val,backpack,0.1,2205,1653,0.5715,0.8406,0.6805
y26_scb3_sbb50,val,backpack,0.12,2186,1439,0.6030,0.8334,0.6997
y26_scb3_sbb50,val,backpack,0.15,2152,1216,0.6390,0.8204,0.7184
y26_scb3_sbb50,val,backpack,0.2,2104,945,0.6901,0.8021,0.7419
y26_scb3_sbb50,val,backpack,0.25,2071,781,0.7262,0.7896,0.7565
y26_scb3_sbb50,val,backpack,0.3,2028,650,0.7573,0.7732,0.7651
y26_scb3_sbb50,val,backpack,0.35,1986,528,0.7900,0.7571,0.7732
y26_scb3_sbb50,val,backpack,0.4,1950,438,0.8166,0.7434,0.7783
y26_scb3_sbb50,val,backpack,0.5,1865,301,0.8610,0.7110,0.7789
y26_scb3_sbb50,val,backpack,0.6,1756,202,0.8968,0.6695,0.7666
y26_scb3_sbb50,val,backpack,0.7,1617,128,0.9266,0.6165,0.7404
y26_scb3_sbb50,test,backpack,0.001,1596,19050,0.0773,0.9684,0.1432
y26_scb3_sbb50,test,backpack,0.005,1549,7054,0.1801,0.9399,0.3022
y26_scb3_sbb50,test,backpack,0.01,1532,4615,0.2492,0.9296,0.3931
y26_scb3_sbb50,test,backpack,0.02,1507,3012,0.3335,0.9144,0.4887
y26_scb3_sbb50,test,backpack,0.03,1486,2310,0.3915,0.9017,0.5459
y26_scb3_sbb50,test,backpack,0.05,1457,1641,0.4703,0.8841,0.6140
y26_scb3_sbb50,test,backpack,0.07,1430,1303,0.5232,0.8677,0.6528
y26_scb3_sbb50,test,backpack,0.1,1399,993,0.5849,0.8489,0.6926
y26_scb3_sbb50,test,backpack,0.12,1384,867,0.6148,0.8398,0.7099
y26_scb3_sbb50,test,backpack,0.15,1360,744,0.6464,0.8252,0.7249
y26_scb3_sbb50,test,backpack,0.2,1329,601,0.6886,0.8064,0.7429
y26_scb3_sbb50,test,backpack,0.25,1299,500,0.7221,0.7882,0.7537
y26_scb3_sbb50,test,backpack,0.3,1270,422,0.7506,0.7706,0.7605
y26_scb3_sbb50,test,backpack,0.35,1248,352,0.7800,0.7573,0.7685
y26_scb3_sbb50,test,backpack,0.4,1221,286,0.8102,0.7409,0.7740
y26_scb3_sbb50,test,backpack,0.5,1167,201,0.8531,0.7081,0.7739
y26_scb3_sbb50,test,backpack,0.6,1102,136,0.8901,0.6687,0.7637
y26_scb3_sbb50,test,backpack,0.7,1000,75,0.9302,0.6068,0.7345
y26_scb3_sbb50,val,bag,0.001,1881,33241,0.0536,0.9433,0.1014
y26_scb3_sbb50,val,bag,0.005,1807,11337,0.1375,0.9062,0.2387
y26_scb3_sbb50,val,bag,0.01,1754,7157,0.1968,0.8796,0.3217
y26_scb3_sbb50,val,bag,0.02,1706,4552,0.2726,0.8556,0.4135
y26_scb3_sbb50,val,bag,0.03,1676,3427,0.3284,0.8405,0.4723
y26_scb3_sbb50,val,bag,0.05,1617,2449,0.3977,0.8109,0.5337
y26_scb3_sbb50,val,bag,0.07,1577,1930,0.4497,0.7909,0.5734
y26_scb3_sbb50,val,bag,0.1,1522,1483,0.5065,0.7633,0.6089
