ALL RUNS — confusion leak (TEST split)
matrix[predicted, true]; 'missed' = predicted as background

run                       true           n  correct   as_backpack        as_bag    as_trolley   missed
------------------------------------------------------------------------------------------------------
runs_yolo26_port_v6i__... backpack    1648     75.6           0.0           4.7           1.2     18.4
runs_yolo26_port_v6i__... bag         1330     65.1           4.2           0.0           4.3     26.4
runs_yolo26_port_v6i__... trolley     3194     84.6           0.8           1.5           0.0     13.1
y26_alpha075              backpack    1648     77.1           0.0           4.7           1.4     16.8
y26_alpha075              bag         1330     69.0           4.1           0.0           3.3     23.6
y26_alpha075              trolley     3194     84.3           1.0           2.0           0.0     12.7
y26_arch_scb3_sbb50       backpack    1648     79.4           0.0           3.5           1.5     15.6
y26_arch_scb3_sbb50       bag         1330     68.3           4.4           0.0           4.3     23.1
y26_arch_scb3_sbb50       trolley     3194     85.6           0.9           1.4           0.0     12.1
y26_base_rep              backpack    1648     75.9           0.0           4.3           1.6     18.1
y26_base_rep              bag         1330     66.5           3.2           0.0           4.0     26.2
y26_base_rep              trolley     3194     84.5           0.8           1.6           0.0     13.1
y26_beta4                 backpack    1648     78.2           0.0           4.2           1.3     16.3
y26_beta4                 bag         1330     67.4           5.1           0.0           3.7     23.8
y26_beta4                 trolley     3194     84.8           0.9           1.3           0.0     13.0
y26_cmb_p4wide            backpack    1648     77.1           0.0           4.2           1.7     17.1
y26_cmb_p4wide            bag         1330     67.5           4.0           0.0           3.6     24.9
y26_cmb_p4wide            trolley     3194     84.3           0.8           1.5           0.0     13.3
y26_cmb_uniform           backpack    1648     77.2           0.0           3.6           1.2     18.0
y26_cmb_uniform           bag         1330     66.6           5.2           0.0           2.8     25.4
y26_cmb_uniform           trolley     3194     83.5           0.8           1.8           0.0     14.0
y26_dfl3                  backpack    1648     77.5           0.0           4.5           1.4     16.6
y26_dfl3                  bag         1330     66.8           3.2           0.0           3.7     26.3
y26_dfl3                  trolley     3194     85.0           0.8           1.4           0.0     12.8
y26_dys_2of3              backpack    1648     78.7           0.0           3.3           1.9     16.0
y26_dys_2of3              bag         1330     67.8           4.6           0.0           4.1     23.5
y26_dys_2of3              trolley     3194     85.4           0.9           1.6           0.0     12.0
y26_dys_g2                backpack    1648     77.4           0.0           4.5           1.5     16.6
y26_dys_g2                bag         1330     68.1           3.6           0.0           4.4     23.9
y26_dys_g2                trolley     3194     85.2           0.7           1.6           0.0     12.5
y26_dys_g8                backpack    1648     78.6           0.0           4.4           1.4     15.6
y26_dys_g8                bag         1330     67.7           4.2           0.0           4.7     23.4
y26_dys_g8                trolley     3194     85.6           1.0           1.4           0.0     12.1
y26_dys_lbp2k2            backpack    1648     78.0           0.0           3.6           1.8     16.6
y26_dys_lbp2k2            bag         1330     67.1           4.8           0.0           3.8     24.3
y26_dys_lbp2k2            trolley     3194     84.4           1.1           1.7           0.0     12.8
y26_dys_lbuni             backpack    1648     77.4           0.0           4.1           1.5     17.1
y26_dys_lbuni             bag         1330     68.0           3.9           0.0           2.9     25.3
y26_dys_lbuni             trolley     3194     84.1           0.8           1.6           0.0     13.5
y26_dys_p2rich            backpack    1648     78.6           0.0           4.0           1.6     15.7
y26_dys_p2rich            bag         1330     67.8           4.7           0.0           3.1     24.4
y26_dys_p2rich            trolley     3194     85.1           1.0           1.8           0.0     12.1
y26_dys_p2starve          backpack    1648     79.1           0.0           4.1           1.3     15.5
y26_dys_p2starve          bag         1330     67.6           4.0           0.0           4.0     24.4
y26_dys_p2starve          trolley     3194     85.1           0.9           1.6           0.0     12.4
y26_dys_swa0603           backpack    1648     78.8           0.0           3.9           1.3     15.9
y26_dys_swa0603           bag         1330     68.6           4.1           0.0           4.1     23.2
y26_dys_swa0603           trolley     3194     85.7           0.9           1.6           0.0     11.8
y26_dys_swa_lb            backpack    1648     78.0           0.0           4.6           1.5     15.9
y26_dys_swa_lb            bag         1330     67.7           3.8           0.0           3.7     24.8
y26_dys_swa_lb            trolley     3194     85.2           0.9           1.3           0.0     12.6
y26_eiou                  backpack    1648     76.3           0.0           4.5           1.3     17.8
y26_eiou                  bag         1330     65.7           4.1           0.0           3.8     26.4
y26_eiou                  trolley     3194     82.5           1.0           1.7           0.0     14.8
y26_gctxp3                backpack    1648     78.2           0.0           4.2           1.8     15.8
y26_gctxp3                bag         1330     67.2           3.6           0.0           3.8     25.3
y26_gctxp3                trolley     3194     85.2           0.9           1.6           0.0     12.2
y26_identity              backpack    1648     75.9           0.0           4.3           1.6     18.1
y26_identity              bag         1330     66.5           3.2           0.0           4.0     26.2
y26_identity              trolley     3194     84.5           0.8           1.6           0.0     13.1
y26_lb_coarse244          backpack    1648     76.9           0.0           4.2           1.0     17.8
y26_lb_coarse244          bag         1330     67.0           4.7           0.0           3.5     24.8
y26_lb_coarse244          trolley     3194     84.5           0.8           1.4           0.0     13.3
y26_lb_p3_3               backpack    1648     75.4           0.0           4.8           1.4     18.4
y26_lb_p3_3               bag         1330     66.8           3.2           0.0           3.2     26.8
y26_lb_p3_3               trolley     3194     85.4           0.6           1.4           0.0     12.6
y26_lb_p4wide             backpack    1648     77.9           0.0           4.1           1.3     16.8
y26_lb_p4wide             bag         1330     68.2           3.8           0.0           3.6     24.4
y26_lb_p4wide             trolley     3194     84.2           0.8           1.6           0.0     13.3
y26_lb_uniform            backpack    1648     75.8           0.0           4.1           1.5     18.6
y26_lb_uniform            bag         1330     65.3           4.5           0.0           3.2     27.0
y26_lb_uniform            trolley     3194     83.8           1.0           1.5           0.0     13.7
y26_levelspec             backpack    1648     78.3           0.0           3.7           1.5     16.5
y26_levelspec             bag         1330     62.1           5.3           0.0           4.6     28.1
y26_levelspec             trolley     3194     84.8           0.6           1.4           0.0     13.2
y26_lsshift               backpack    1648     77.8           0.0           4.3           1.5     16.4
y26_lsshift               bag         1330     66.7           3.7           0.0           3.8     25.9
y26_lsshift               trolley     3194     85.1           0.7           1.7           0.0     12.6
y26_nwd25                 backpack    1648     78.1           0.0           4.8           1.3     15.7
y26_nwd25                 bag         1330     69.2           3.5           0.0           3.3     23.9
y26_nwd25                 trolley     3194     85.4           0.9           1.5           0.0     12.2
y26_nwd50                 backpack    1648     76.8           0.0           5.1           1.3     16.8
y26_nwd50                 bag         1330     68.4           3.7           0.0           4.1     23.8
y26_nwd50                 trolley     3194     85.5           0.9           1.6           0.0     12.0
y26_nwd50_sbb             backpack    1648     78.7           0.0           3.7           1.8     15.8
y26_nwd50_sbb             bag         1330     69.4           4.1           0.0           3.2     23.3
y26_nwd50_sbb             trolley     3194     85.3           0.9           1.3           0.0     12.4
y26_nwd50_scb3_sbb        backpack    1648     78.6           0.0           4.1           1.5     15.9
y26_nwd50_scb3_sbb        bag         1330     67.6           4.9           0.0           4.0     23.5
y26_nwd50_scb3_sbb        trolley     3194     85.4           0.8           1.6           0.0     12.2
y26_p2_b32                backpack    1648     77.5           0.0           4.0           1.3     17.1
y26_p2_b32                bag         1330     65.9           5.0           0.0           4.1     24.9
y26_p2_b32                trolley     3194     85.5           0.7           1.5           0.0     12.4
y26_p2_dys3               backpack    1648     77.1           0.0           4.1           1.8     16.9
y26_p2_dys3               bag         1330     66.2           3.8           0.0           3.9     26.1
y26_p2_dys3               trolley     3194     85.0           0.7           1.5           0.0     12.8
y26_p2_dys_gctx           backpack    1648     78.2           0.0           3.9           1.8     16.0
y26_p2_dys_gctx           bag         1330     66.8           3.9           0.0           2.9     26.5
y26_p2_dys_gctx           trolley     3194     85.0           0.7           1.5           0.0     12.8
y26_p2_dys_snake          backpack    1648     77.2           0.0           4.8           1.4     16.6
y26_p2_dys_snake          bag         1330     69.2           3.6           0.0           3.5     23.7
y26_p2_dys_snake          trolley     3194     83.8           0.8           2.0           0.0     13.4
y26_p2_dysample           backpack    1648     78.0           0.0           4.3           1.5     16.2
y26_p2_dysample           bag         1330     69.3           3.0           0.0           3.4     24.3
y26_p2_dysample           trolley     3194     84.7           0.8           1.7           0.0     12.9
y26_p2_snake_p3p4         backpack    1648     78.1           0.0           4.1           1.7     16.1
y26_p2_snake_p3p4         bag         1330     67.4           4.5           0.0           3.2     24.8
y26_p2_snake_p3p4         trolley     3194     85.0           0.7           1.6           0.0     12.7
y26_p2_wide               backpack    1648     78.5           0.0           3.5           1.5     16.5
y26_p2_wide               bag         1330     67.3           4.7           0.0           3.5     24.5
y26_p2_wide               trolley     3194     85.9           0.6           1.3           0.0     12.2
y26_p2k1_lo               backpack    1648     78.5           0.0           3.5           1.6     16.4
y26_p2k1_lo               bag         1330     69.1           3.8           0.0           3.4     23.7
y26_p2k1_lo               trolley     3194     85.5           0.8           2.0           0.0     11.7
y26_p2k2_hi               backpack    1648     79.2           0.0           3.9           1.4     15.5
y26_p2k2_hi               bag         1330     70.7           4.4           0.0           2.6     22.3
y26_p2k2_hi               trolley     3194     85.8           0.7           1.7           0.0     11.8
y26_p2k4_hi               backpack    1648     79.2           0.0           3.2           1.6     15.9
y26_p2k4_hi               bag         1330     69.2           3.9           0.0           3.8     23.0
y26_p2k4_hi               trolley     3194     85.2           0.8           1.6           0.0     12.5
y26_s10_bal               backpack    1648     77.9           0.0           4.1           1.3     16.6
y26_s10_bal               bag         1330     68.7           4.4           0.0           3.2     23.8
y26_s10_bal               trolley     3194     85.0           1.0           1.5           0.0     12.5
y26_s10_hi                backpack    1648     78.5           0.0           4.0           1.5     16.1
y26_s10_hi                bag         1330     68.5           3.5           0.0           3.5     24.6
