epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,46.404,1.05799,3.20707,0.00273,0.60807,0.54367,0.59142,0.35829,1.12054,1.6579,0.00655,0.00047208,0.00047208,0.00047208
2,91.8259,1.07073,1.53334,0.00282,0.63771,0.57237,0.62039,0.35765,1.11687,1.50151,0.00694,0.000935,0.000935,0.000935
3,137.48,1.14558,1.50168,0.00312,0.60716,0.5602,0.59262,0.33635,1.18548,1.47821,0.00878,0.00138445,0.00138445,0.00138445
4,183.018,1.16327,1.46679,0.00318,0.61639,0.55239,0.6031,0.35651,1.18443,1.47339,0.00778,0.00136837,0.00136837,0.00136837
5,228.519,1.15243,1.41293,0.00312,0.60445,0.54917,0.58085,0.35203,1.12309,1.6288,0.00785,0.00134816,0.00134816,0.00134816
6,274.233,1.13598,1.35957,0.00309,0.68439,0.58727,0.65673,0.40178,1.08602,1.34662,0.0074,0.00132795,0.00132795,0.00132795
7,319.97,1.09482,1.34032,0.00299,0.67269,0.5849,0.65924,0.4082,1.03696,1.28191,0.00677,0.00130774,0.00130774,0.00130774
8,365.955,1.1031,1.30262,0.003,0.6739,0.60851,0.66872,0.40969,1.05418,1.31739,0.00646,0.00128753,0.00128753,0.00128753
9,411.958,1.07404,1.2694,0.00291,0.6797,0.63891,0.69374,0.42485,1.078,1.279,0.00794,0.00126732,0.00126732,0.00126732
10,457.893,1.0741,1.25241,0.00288,0.69404,0.61167,0.68805,0.42997,1.08734,1.33354,0.00767,0.00124711,0.00124711,0.00124711
11,503.747,1.0659,1.2117,0.00288,0.66874,0.61842,0.68564,0.4292,1.01277,1.22855,0.00672,0.0012269,0.0012269,0.0012269
12,549.337,1.06342,1.22148,0.00284,0.70421,0.62096,0.70107,0.44351,1.00544,1.17892,0.00666,0.00120669,0.00120669,0.00120669
13,595.145,1.04337,1.19089,0.00285,0.70447,0.65099,0.72395,0.46019,0.97732,1.12854,0.00662,0.00118648,0.00118648,0.00118648
14,640.914,1.04235,1.17623,0.00284,0.72272,0.63663,0.71925,0.45054,0.97791,1.14791,0.00631,0.00116627,0.00116627,0.00116627
15,686.601,1.0528,1.15026,0.0029,0.70485,0.63917,0.71199,0.44157,1.09048,1.21666,0.00763,0.00114606,0.00114606,0.00114606
16,732.27,1.04867,1.13893,0.00285,0.70179,0.62488,0.70318,0.43793,0.99106,1.17536,0.00686,0.00112585,0.00112585,0.00112585
17,777.719,1.05064,1.12458,0.00289,0.71672,0.65438,0.73264,0.46676,1.03134,1.09125,0.00765,0.00110564,0.00110564,0.00110564
18,823.397,1.02456,1.11357,0.00285,0.74173,0.65356,0.73615,0.46564,1.06653,1.12069,0.0076,0.00108543,0.00108543,0.00108543
19,869.03,1.02854,1.09706,0.00283,0.73213,0.6651,0.7383,0.47404,0.89351,1.05534,0.00593,0.00106522,0.00106522,0.00106522
20,914.824,1.02859,1.09601,0.00281,0.7214,0.66498,0.73792,0.47275,0.94213,1.07829,0.00612,0.00104501,0.00104501,0.00104501
21,960.357,1.00844,1.07182,0.00277,0.73602,0.66184,0.73878,0.47397,0.94942,1.06899,0.00614,0.0010248,0.0010248,0.0010248
22,1006.02,1.00254,1.06694,0.0028,0.75621,0.6756,0.7627,0.4978,0.87481,1.01972,0.00553,0.00100459,0.00100459,0.00100459
23,1051.91,0.99956,1.0417,0.00273,0.73578,0.67685,0.75644,0.4952,0.9175,1.03291,0.00585,0.000984377,0.000984377,0.000984377
24,1097.49,1.02035,1.03514,0.0028,0.76479,0.66987,0.76347,0.50316,0.92507,0.98445,0.00618,0.000964167,0.000964167,0.000964167
25,1143.42,1.00355,1.02354,0.00277,0.76804,0.68476,0.77449,0.5112,0.95988,0.97699,0.00581,0.000943957,0.000943957,0.000943957
26,1189.25,1.0164,1.00911,0.00279,0.76601,0.67552,0.76572,0.5065,0.91619,0.98215,0.00572,0.000923746,0.000923746,0.000923746
27,1234.94,1.00463,1.00061,0.00275,0.76725,0.66881,0.76462,0.50292,0.93251,0.99677,0.00621,0.000903536,0.000903536,0.000903536
28,1285.25,1.01458,0.99473,0.00277,0.75473,0.69105,0.77164,0.51026,0.91262,0.99035,0.00645,0.000883326,0.000883326,0.000883326
29,1331.21,0.99124,0.98239,0.00272,0.77407,0.69108,0.77694,0.51594,0.90179,0.96829,0.00593,0.000863116,0.000863116,0.000863116
30,1377.03,0.98275,0.96304,0.0027,0.77236,0.69655,0.78171,0.52124,0.90376,0.93808,0.00569,0.000842906,0.000842906,0.000842906
31,1422.89,1.00277,0.9506,0.00272,0.77334,0.70149,0.78244,0.51654,0.92777,0.95235,0.00517,0.000822696,0.000822696,0.000822696
32,1468.4,1.00573,0.9454,0.00272,0.76933,0.6901,0.77638,0.51568,0.91745,0.9618,0.00539,0.000802486,0.000802486,0.000802486
33,1513.97,0.98931,0.94294,0.0027,0.76529,0.70785,0.78358,0.51902,0.89197,0.94653,0.00562,0.000782275,0.000782275,0.000782275
34,1559.88,1.00605,0.93681,0.00274,0.78283,0.69484,0.78341,0.51992,0.90368,0.95511,0.00552,0.000762065,0.000762065,0.000762065
35,1605.6,0.98971,0.91254,0.00274,0.77151,0.69515,0.78368,0.51782,0.87125,0.95124,0.00544,0.000741855,0.000741855,0.000741855
