epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9129,1.43727,3.26632,0.00452,0.57201,0.52438,0.55172,0.33474,1.3,1.66392,0.00983,0.00047208,0.00047208,0.00047208
2,90.9799,1.43889,1.58786,0.0047,0.58917,0.52059,0.56231,0.32446,1.41146,1.6691,0.01034,0.000935,0.000935,0.000935
3,136.412,1.49328,1.55584,0.0051,0.51919,0.46139,0.46919,0.2493,1.58001,1.80136,0.01183,0.00138445,0.00138445,0.00138445
4,181.64,1.50407,1.51861,0.00518,0.5718,0.53087,0.5617,0.32508,1.4248,1.60031,0.01066,0.00136837,0.00136837,0.00136837
5,226.961,1.46928,1.44988,0.00496,0.58909,0.55864,0.58694,0.34355,1.37878,1.72703,0.01014,0.00134816,0.00134816,0.00134816
6,272.109,1.44724,1.3942,0.0049,0.63631,0.60963,0.65042,0.39718,1.33187,1.3072,0.01135,0.00132795,0.00132795,0.00132795
7,317.507,1.43073,1.36994,0.0048,0.6646,0.58573,0.64693,0.39067,1.30771,1.30804,0.00944,0.00130774,0.00130774,0.00130774
8,362.702,1.41066,1.34034,0.00469,0.67588,0.606,0.6691,0.41818,1.22697,1.2418,0.00831,0.00128753,0.00128753,0.00128753
9,408.129,1.39801,1.30503,0.00465,0.64629,0.61379,0.66235,0.40819,1.3285,1.32274,0.01055,0.00126732,0.00126732,0.00126732
10,453.482,1.37913,1.27657,0.0045,0.69276,0.61098,0.68046,0.42082,1.26032,1.23939,0.00857,0.00124711,0.00124711,0.00124711
11,498.967,1.36414,1.25003,0.00444,0.68617,0.62188,0.6872,0.42807,1.25673,1.18373,0.0088,0.0012269,0.0012269,0.0012269
12,544.211,1.37435,1.24717,0.00445,0.72381,0.61668,0.7114,0.46256,1.17208,1.12278,0.00775,0.00120669,0.00120669,0.00120669
13,589.465,1.35687,1.22382,0.00445,0.70495,0.60038,0.69308,0.44465,1.20216,1.15133,0.00812,0.00118648,0.00118648,0.00118648
14,634.498,1.34331,1.20326,0.00442,0.73009,0.63049,0.71931,0.46266,1.19473,1.11782,0.00819,0.00116627,0.00116627,0.00116627
15,679.884,1.3279,1.18883,0.00436,0.71255,0.64205,0.71595,0.45404,1.19555,1.16317,0.008,0.00114606,0.00114606,0.00114606
