epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2069,1.41306,3.243,0.00444,0.61765,0.51265,0.57204,0.35431,1.25571,1.72159,0.0095,0.00047208,0.00047208,0.00047208
2,91.8337,1.42576,1.57205,0.00474,0.61789,0.52498,0.56184,0.3202,1.48176,1.70042,0.01116,0.000935,0.000935,0.000935
3,137.717,1.47126,1.51944,0.0051,0.60656,0.52656,0.56677,0.33023,1.47183,1.63861,0.01296,0.00138445,0.00138445,0.00138445
4,183.369,1.48468,1.48508,0.00515,0.6143,0.5389,0.59059,0.34839,1.40568,1.65388,0.01116,0.00136837,0.00136837,0.00136837
5,229.234,1.46015,1.43638,0.00501,0.60682,0.54709,0.58522,0.34338,1.39744,1.76211,0.01078,0.00134816,0.00134816,0.00134816
6,275.19,1.44445,1.39028,0.00496,0.66768,0.55206,0.61069,0.3747,1.33221,1.49117,0.01027,0.00132795,0.00132795,0.00132795
7,321.214,1.41967,1.3638,0.00485,0.68173,0.57506,0.65067,0.39631,1.3789,1.37645,0.01187,0.00130774,0.00130774,0.00130774
8,367.237,1.40066,1.32891,0.00475,0.66861,0.59294,0.66364,0.41353,1.28462,1.31781,0.00996,0.00128753,0.00128753,0.00128753
9,413.354,1.39169,1.29676,0.0047,0.66795,0.61239,0.67627,0.4234,1.29201,1.3011,0.00975,0.00126732,0.00126732,0.00126732
10,461.287,1.38502,1.27061,0.00463,0.69979,0.61102,0.68849,0.42585,1.31567,1.26243,0.01104,0.00124711,0.00124711,0.00124711
11,509.038,1.3632,1.24112,0.00453,0.71888,0.6215,0.70325,0.44436,1.25653,1.19315,0.00922,0.0012269,0.0012269,0.0012269
12,555.09,1.3689,1.23666,0.00451,0.7054,0.64834,0.71954,0.46538,1.19275,1.1299,0.00851,0.00120669,0.00120669,0.00120669
13,601.059,1.34814,1.21141,0.00451,0.69258,0.612,0.68426,0.42898,1.24275,1.17781,0.00964,0.00118648,0.00118648,0.00118648
14,646.698,1.34243,1.18798,0.00446,0.71526,0.6383,0.71795,0.45688,1.22537,1.12384,0.00929,0.00116627,0.00116627,0.00116627
15,692.239,1.32525,1.17544,0.00443,0.71357,0.6349,0.71466,0.4514,1.21592,1.18871,0.00885,0.00114606,0.00114606,0.00114606
16,737.776,1.32753,1.15985,0.00436,0.72828,0.64507,0.72769,0.46614,1.22966,1.08337,0.00927,0.00112585,0.00112585,0.00112585
17,783.546,1.31508,1.14632,0.00435,0.73475,0.6515,0.736,0.47416,1.20855,1.06012,0.00903,0.00110564,0.00110564,0.00110564
18,829.193,1.30402,1.13751,0.00435,0.73231,0.65256,0.73068,0.47051,1.21995,1.09434,0.00886,0.00108543,0.00108543,0.00108543
