epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,95.3271,2.27809,4.45597,0.00904,0.48975,0.45309,0.44822,0.20295,1.64859,3.10615,0.01085,0.00996063,0.00332021,0.00996063,0.00332021,0.00996063,0.00332021,0.00996063,0.00332021
2,193.185,1.6696,2.27429,0.006,0.56171,0.51334,0.53075,0.28819,1.48103,2.17039,0.00985,0.0196783,0.00655944,0.0196783,0.00655944,0.0196783,0.00655944,0.0196783,0.00655944
3,281.816,1.59535,1.74589,0.00567,0.58779,0.54833,0.58169,0.31851,1.48533,2.04112,0.01064,0.0291132,0.00970439,0.0291132,0.00970439,0.0291132,0.00970439,0.0291132,0.00970439
4,371.063,1.56553,1.62624,0.00549,0.61697,0.55267,0.60278,0.35558,1.40754,1.64766,0.00999,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,460.207,1.50987,1.53439,0.00531,0.62982,0.58134,0.62626,0.38004,1.34562,1.42198,0.01001,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,547.663,1.46897,1.45724,0.00508,0.65071,0.58385,0.63808,0.38956,1.32915,1.37798,0.00921,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,637.001,1.44222,1.4271,0.0049,0.68518,0.60754,0.68109,0.43144,1.26517,1.23686,0.00832,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,725.446,1.41495,1.35877,0.00484,0.68775,0.61006,0.67805,0.42543,1.24452,1.30666,0.00779,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,815.007,1.39178,1.33675,0.00466,0.69391,0.61258,0.68835,0.43976,1.24541,1.24057,0.00838,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,905.117,1.38103,1.31045,0.0046,0.71729,0.63823,0.71285,0.4506,1.24711,1.17982,0.00822,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,994.857,1.36216,1.26478,0.00453,0.70231,0.64897,0.71391,0.44849,1.24502,1.18748,0.00816,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,1084.79,1.34815,1.23838,0.00441,0.70753,0.64122,0.71813,0.46114,1.22243,1.13571,0.00791,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,1174.01,1.3437,1.21716,0.00449,0.71958,0.64529,0.72388,0.4678,1.20222,1.11004,0.00746,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,1263.46,1.32615,1.18293,0.00437,0.74251,0.64784,0.73622,0.47747,1.19852,1.05763,0.00734,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,1348.41,1.31682,1.16433,0.0043,0.75849,0.655,0.74038,0.47869,1.19505,1.06732,0.00772,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,1437.1,1.3087,1.15387,0.00428,0.72402,0.65592,0.73038,0.47604,1.18351,1.10184,0.00726,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,1524.52,1.29847,1.12473,0.00423,0.74287,0.65747,0.73713,0.47932,1.18819,1.06935,0.00766,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,1614.44,1.28878,1.11031,0.00421,0.733,0.6717,0.75033,0.49215,1.14685,1.04132,0.00688,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
19,1702.48,1.27804,1.08928,0.00413,0.73962,0.66784,0.74803,0.49139,1.16236,1.05324,0.00712,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
20,1787.93,1.27263,1.07126,0.00406,0.73664,0.68516,0.76018,0.49753,1.16828,1.02666,0.00733,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
21,1872.46,1.26026,1.0556,0.00405,0.73565,0.67902,0.75477,0.49899,1.14296,1.02382,0.00709,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
22,1961.97,1.25306,1.03895,0.00402,0.7473,0.69278,0.76559,0.50544,1.14109,1.01199,0.00688,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
23,2051.97,1.24667,1.02126,0.00396,0.75654,0.67816,0.76103,0.50202,1.14058,1.01505,0.00701,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
24,2136.6,1.24418,1.0055,0.00393,0.75287,0.6952,0.77335,0.51018,1.13013,0.99235,0.00673,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714
25,2226.2,1.24008,0.99586,0.00396,0.74679,0.68926,0.76382,0.50318,1.14249,0.99721,0.00671,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
