epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0961,1.261,2.88249,0.00448,0.6222,0.56291,0.60539,0.3639,1.14462,1.56602,0.00806,0.00047208,0.00047208,0.00047208
2,93.08,1.25798,1.4643,0.00458,0.61427,0.55134,0.59226,0.3559,1.20524,1.48659,0.00852,0.000935,0.000935,0.000935
3,139.417,1.30677,1.41973,0.00495,0.63208,0.5536,0.60011,0.35361,1.25754,1.44633,0.00981,0.00138445,0.00138445,0.00138445
4,185.283,1.30748,1.38734,0.00495,0.6572,0.57797,0.63869,0.38554,1.20563,1.33407,0.00929,0.00136837,0.00136837,0.00136837
5,230.919,1.28657,1.34257,0.0048,0.62321,0.60346,0.63847,0.38747,1.21806,1.34287,0.01042,0.00134816,0.00134816,0.00134816
6,276.56,1.26954,1.29127,0.00472,0.64067,0.60277,0.65428,0.38886,1.26479,1.34589,0.01043,0.00132795,0.00132795,0.00132795
7,322.076,1.25757,1.27909,0.00468,0.67478,0.57702,0.65034,0.40491,1.19582,1.29437,0.00936,0.00130774,0.00130774,0.00130774
8,367.85,1.24469,1.24021,0.0046,0.68819,0.60041,0.67596,0.42143,1.1315,1.22962,0.00813,0.00128753,0.00128753,0.00128753
9,413.527,1.22873,1.21465,0.00452,0.68352,0.60845,0.67411,0.41566,1.18942,1.24136,0.00897,0.00126732,0.00126732,0.00126732
10,459.209,1.21834,1.1956,0.00443,0.68716,0.61955,0.68332,0.42308,1.17284,1.22081,0.00885,0.00124711,0.00124711,0.00124711
11,505.177,1.20129,1.16127,0.00436,0.71239,0.64602,0.71843,0.45403,1.12121,1.11757,0.00804,0.0012269,0.0012269,0.0012269
12,551.043,1.20776,1.15117,0.00435,0.72776,0.61846,0.70941,0.45308,1.09518,1.11618,0.00776,0.00120669,0.00120669,0.00120669
13,596.699,1.18809,1.13003,0.00432,0.71959,0.63864,0.7201,0.45951,1.09869,1.06822,0.00841,0.00118648,0.00118648,0.00118648
14,642.518,1.17969,1.11217,0.0043,0.72169,0.65747,0.73404,0.46671,1.09386,1.04441,0.0079,0.00116627,0.00116627,0.00116627
15,688.396,1.16977,1.09646,0.00427,0.70651,0.65558,0.71922,0.45202,1.10488,1.11159,0.00821,0.00114606,0.00114606,0.00114606
16,733.882,1.1675,1.08661,0.0042,0.70187,0.65142,0.72123,0.45888,1.08609,1.08864,0.00777,0.00112585,0.00112585,0.00112585
17,779.312,1.15678,1.0649,0.00418,0.72692,0.65923,0.73414,0.47168,1.05436,1.06441,0.00706,0.00110564,0.00110564,0.00110564
18,825.318,1.14754,1.05945,0.00418,0.73259,0.66086,0.74217,0.47639,1.06163,1.03182,0.00741,0.00108543,0.00108543,0.00108543
19,871.245,1.14817,1.04469,0.00413,0.73168,0.65697,0.73769,0.47335,1.05501,1.06299,0.00741,0.00106522,0.00106522,0.00106522
20,917.316,1.14698,1.04128,0.00411,0.7368,0.67645,0.75359,0.48739,1.06249,0.9925,0.00751,0.00104501,0.00104501,0.00104501
21,963.486,1.13903,1.01979,0.00406,0.744,0.67258,0.75523,0.49316,1.04672,0.97973,0.00752,0.0010248,0.0010248,0.0010248
22,1009.27,1.13052,1.01276,0.00409,0.74843,0.68347,0.76342,0.4999,1.0301,0.95872,0.00691,0.00100459,0.00100459,0.00100459
23,1055.38,1.11758,0.99154,0.00395,0.77091,0.66501,0.76209,0.49921,1.04026,0.99056,0.00732,0.000984377,0.000984377,0.000984377
24,1101.07,1.1222,0.98924,0.00399,0.75958,0.67767,0.76515,0.50394,1.03702,0.96959,0.00709,0.000964167,0.000964167,0.000964167
25,1146.83,1.11101,0.97596,0.00395,0.75584,0.6728,0.75737,0.49175,1.04113,0.99014,0.00716,0.000943957,0.000943957,0.000943957
26,1192.41,1.11132,0.95632,0.00395,0.76264,0.69226,0.77684,0.51378,1.0078,0.93141,0.00673,0.000923746,0.000923746,0.000923746
27,1238.33,1.10146,0.95098,0.00388,0.76132,0.68399,0.76491,0.50228,1.02689,0.95317,0.00706,0.000903536,0.000903536,0.000903536
28,1284.3,1.09295,0.93847,0.00385,0.76632,0.68744,0.77348,0.51411,1.01414,0.93254,0.00699,0.000883326,0.000883326,0.000883326
29,1330.5,1.08631,0.9292,0.00381,0.7925,0.66804,0.77456,0.51324,1.00935,0.94533,0.00703,0.000863116,0.000863116,0.000863116
30,1376.64,1.07923,0.9163,0.00379,0.75634,0.6987,0.77372,0.51011,1.02048,0.93899,0.0072,0.000842906,0.000842906,0.000842906
31,1422.52,1.08497,0.89415,0.00376,0.77171,0.6956,0.77971,0.51586,0.9916,0.9186,0.00638,0.000822696,0.000822696,0.000822696
32,1468.67,1.07483,0.89381,0.00371,0.77617,0.68541,0.77762,0.51619,0.99051,0.93113,0.00636,0.000802486,0.000802486,0.000802486
33,1514.99,1.07302,0.89501,0.0037,0.77663,0.70016,0.78487,0.52129,0.98271,0.90893,0.00625,0.000782275,0.000782275,0.000782275
34,1561.2,1.07565,0.88085,0.00373,0.79004,0.69001,0.78344,0.52174,0.9798,0.91056,0.00611,0.000762065,0.000762065,0.000762065
35,1607.28,1.06269,0.86384,0.00371,0.79016,0.68847,0.78668,0.52458,0.99045,0.89927,0.00637,0.000741855,0.000741855,0.000741855
36,1653.34,1.06145,0.85947,0.00367,0.77247,0.70955,0.78556,0.52285,1.00515,0.92804,0.00692,0.000721645,0.000721645,0.000721645
37,1699.38,1.05277,0.85203,0.00365,0.79156,0.70168,0.79018,0.5298,0.99399,0.91065,0.00694,0.000701435,0.000701435,0.000701435
38,1745.87,1.03851,0.82728,0.0036,0.77152,0.71106,0.79058,0.52595,0.99724,0.90783,0.00665,0.000681225,0.000681225,0.000681225
39,1792.03,1.039,0.8253,0.0036,0.78654,0.70204,0.79296,0.53107,0.97972,0.88799,0.00645,0.000661015,0.000661015,0.000661015
40,1838.3,1.03101,0.81308,0.00351,0.78801,0.71218,0.79756,0.53454,0.96943,0.89752,0.00604,0.000640804,0.000640804,0.000640804
41,1884.62,1.02908,0.80405,0.00355,0.80479,0.70939,0.79996,0.53602,0.9799,0.89329,0.00651,0.000620594,0.000620594,0.000620594
42,1930.51,1.02505,0.79258,0.00352,0.78273,0.72777,0.79999,0.53566,0.97179,0.86959,0.00622,0.000600384,0.000600384,0.000600384
43,1976.5,1.01532,0.78171,0.0035,0.77153,0.73516,0.80172,0.53905,0.96786,0.85675,0.00617,0.000580174,0.000580174,0.000580174
44,2023.29,1.0185,0.78715,0.00351,0.79449,0.71338,0.79866,0.53687,0.97269,0.88466,0.0063,0.000559964,0.000559964,0.000559964
45,2069.14,1.01427,0.77644,0.00346,0.79867,0.71372,0.79434,0.5308,0.97729,0.88964,0.00617,0.000539754,0.000539754,0.000539754
46,2114.7,1.01399,0.76966,0.00345,0.78483,0.71838,0.7915,0.53247,0.97656,0.89523,0.00642,0.000519544,0.000519544,0.000519544
47,2160.34,0.99589,0.74532,0.00336,0.79677,0.7262,0.80138,0.54122,0.96181,0.87814,0.00593,0.000499333,0.000499333,0.000499333
48,2206.33,0.99836,0.74826,0.00339,0.80047,0.7134,0.79564,0.53368,0.96518,0.89686,0.00607,0.000479123,0.000479123,0.000479123
49,2251.99,0.98741,0.7391,0.00333,0.79429,0.72109,0.79576,0.53366,0.96898,0.91201,0.00612,0.000458913,0.000458913,0.000458913
50,2297.53,0.99501,0.73322,0.00333,0.77779,0.73855,0.79859,0.53847,0.95903,0.89784,0.00596,0.000438703,0.000438703,0.000438703
51,2343.06,0.98239,0.71927,0.00334,0.79455,0.72507,0.79965,0.54004,0.95976,0.88388,0.00605,0.000418493,0.000418493,0.000418493
52,2388.32,0.98145,0.71411,0.00328,0.80084,0.72126,0.79645,0.53689,0.96118,0.90166,0.00602,0.000398283,0.000398283,0.000398283
53,2433.76,0.97612,0.70229,0.00326,0.7955,0.73144,0.80407,0.54329,0.95323,0.8717,0.00597,0.000378073,0.000378073,0.000378073
54,2479.72,0.9667,0.69133,0.00328,0.79394,0.72784,0.80119,0.54104,0.96178,0.86584,0.00612,0.000357862,0.000357862,0.000357862
55,2524.92,0.96859,0.69864,0.00322,0.80129,0.72849,0.80259,0.5436,0.94994,0.87956,0.00592,0.000337652,0.000337652,0.000337652
56,2570.47,0.96409,0.68699,0.00321,0.80902,0.72294,0.80138,0.54128,0.95702,0.88816,0.00589,0.000317442,0.000317442,0.000317442
57,2615.96,0.94863,0.66767,0.00318,0.79414,0.73187,0.80168,0.5412,0.95369,0.87703,0.00593,0.000297232,0.000297232,0.000297232
58,2661.37,0.95048,0.6704,0.00314,0.80489,0.72121,0.8002,0.54029,0.95099,0.90083,0.00591,0.000277022,0.000277022,0.000277022
59,2706.74,0.94403,0.66081,0.00315,0.79149,0.73078,0.80133,0.54182,0.95663,0.8962,0.00607,0.000256812,0.000256812,0.000256812
60,2752.13,0.94858,0.65307,0.00312,0.79435,0.73227,0.80235,0.54108,0.95125,0.89811,0.00588,0.000236602,0.000236602,0.000236602
61,2798.45,0.89889,0.57529,0.00336,0.79448,0.72484,0.7929,0.53153,0.96858,0.93121,0.00607,0.000216391,0.000216391,0.000216391
62,2843.24,0.88281,0.54974,0.00329,0.79581,0.72594,0.79612,0.53549,0.96055,0.90825,0.00592,0.000196181,0.000196181,0.000196181
63,2888.21,0.87622,0.54247,0.00324,0.80656,0.7191,0.79856,0.53733,0.96652,0.90228,0.00604,0.000175971,0.000175971,0.000175971
64,2933.17,0.8662,0.52982,0.0032,0.79757,0.71891,0.79739,0.53762,0.96123,0.92335,0.006,0.000155761,0.000155761,0.000155761
65,2977.93,0.86266,0.51865,0.00316,0.80443,0.7207,0.79783,0.5374,0.96257,0.91515,0.00596,0.000135551,0.000135551,0.000135551
66,3022.67,0.86071,0.51419,0.00312,0.79691,0.73063,0.79769,0.53875,0.95492,0.93599,0.00581,0.000115341,0.000115341,0.000115341
67,3067.64,0.8569,0.51058,0.00313,0.80087,0.72211,0.79696,0.53802,0.95583,0.91827,0.00587,9.51306e-05,9.51306e-05,9.51306e-05
68,3112.2,0.85026,0.50778,0.00309,0.79704,0.72549,0.7965,0.53709,0.95933,0.91812,0.0059,7.49204e-05,7.49204e-05,7.49204e-05
69,3157.02,0.84988,0.50092,0.0031,0.79706,0.72797,0.79604,0.53793,0.95813,0.91218,0.00589,5.47103e-05,5.47103e-05,5.47103e-05
70,3201.71,0.84992,0.49684,0.00307,0.79579,0.72823,0.79606,0.53723,0.95902,0.91999,0.00589,3.45001e-05,3.45001e-05,3.45001e-05
