epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,69.1941,2.37025,4.64058,0.00936,0.47065,0.43782,0.42555,0.21017,1.59841,3.3907,0.01066,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588
2,136.795,1.68114,2.4215,0.00594,0.42825,0.48799,0.41851,0.21978,1.48316,2.83429,0.00987,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518
3,204.205,1.63289,1.81468,0.00588,0.54581,0.47639,0.49666,0.24941,1.66136,2.84551,0.01149,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018
4,271.86,1.59286,1.6987,0.00569,0.5613,0.51973,0.53131,0.30103,1.49516,1.78984,0.01075,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,339.709,1.53676,1.59677,0.00542,0.60928,0.53243,0.56357,0.32674,1.44353,1.54776,0.00941,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,407.288,1.48521,1.50616,0.00515,0.60855,0.57504,0.61467,0.35897,1.3951,1.51616,0.00925,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,474.846,1.46102,1.44894,0.00498,0.64852,0.58516,0.63658,0.38318,1.35059,1.32363,0.00849,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,542.12,1.42521,1.3971,0.00484,0.64511,0.62287,0.65773,0.40722,1.24836,1.2828,0.00766,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,609.401,1.41562,1.35663,0.00477,0.67107,0.59916,0.66743,0.41347,1.29579,1.26076,0.00818,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,676.844,1.39225,1.31714,0.00466,0.70372,0.62489,0.69431,0.43812,1.26268,1.17939,0.00783,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
