epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0559,1.56297,2.89509,0.00375,0.59396,0.56261,0.58381,0.35292,1.35291,1.58742,0.0075,0.00047208,0.00047208,0.00047208
2,89.76,1.56405,1.46128,0.00379,0.59192,0.51737,0.56151,0.3311,1.43169,1.56298,0.00845,0.000935,0.000935,0.000935
3,134.586,1.60482,1.42752,0.004,0.59249,0.54207,0.56635,0.318,1.55039,1.43514,0.00937,0.00138445,0.00138445,0.00138445
4,179.322,1.62163,1.3925,0.00403,0.613,0.58369,0.61423,0.36515,1.43162,1.4213,0.00916,0.00136837,0.00136837,0.00136837
5,224.265,1.59735,1.33357,0.00391,0.6373,0.58901,0.62305,0.36991,1.44705,1.32142,0.00886,0.00134816,0.00134816,0.00134816
6,269.29,1.59091,1.28237,0.00387,0.6728,0.6039,0.66908,0.40793,1.4074,1.29998,0.009,0.00132795,0.00132795,0.00132795
7,314.251,1.57045,1.25636,0.00381,0.69497,0.59743,0.67246,0.41986,1.39284,1.18332,0.00948,0.00130774,0.00130774,0.00130774
8,359.151,1.55606,1.22655,0.00376,0.68962,0.60782,0.67956,0.40658,1.41198,1.20702,0.0082,0.00128753,0.00128753,0.00128753
9,403.797,1.53852,1.19765,0.00369,0.68266,0.62664,0.68969,0.42502,1.39016,1.14134,0.0085,0.00126732,0.00126732,0.00126732
10,448.779,1.53158,1.18636,0.00363,0.70576,0.60443,0.69688,0.4362,1.33671,1.13638,0.00765,0.00124711,0.00124711,0.00124711
11,493.775,1.50172,1.15303,0.00357,0.71042,0.62235,0.70041,0.44699,1.28804,1.10138,0.00688,0.0012269,0.0012269,0.0012269
12,538.601,1.51235,1.15054,0.00355,0.70146,0.64833,0.70595,0.44041,1.33347,1.09388,0.00785,0.00120669,0.00120669,0.00120669
13,583.148,1.49598,1.12541,0.00356,0.70697,0.63066,0.70986,0.44299,1.29322,1.10944,0.00677,0.00118648,0.00118648,0.00118648
14,627.736,1.48534,1.10409,0.00352,0.72689,0.63991,0.72769,0.46276,1.26972,1.03872,0.00759,0.00116627,0.00116627,0.00116627
15,672.443,1.47195,1.0936,0.0035,0.74099,0.64671,0.73448,0.46635,1.2642,1.0467,0.0067,0.00114606,0.00114606,0.00114606
16,717.367,1.47421,1.07841,0.00346,0.71527,0.64337,0.71371,0.45504,1.26942,1.07955,0.00725,0.00112585,0.00112585,0.00112585
17,761.986,1.45308,1.06126,0.00344,0.73181,0.64423,0.72689,0.46702,1.26772,1.05686,0.00676,0.00110564,0.00110564,0.00110564
18,806.778,1.44691,1.05469,0.00342,0.72751,0.65512,0.73448,0.47377,1.25949,0.9855,0.00684,0.00108543,0.00108543,0.00108543
19,851.667,1.44327,1.04153,0.00338,0.72566,0.65773,0.73484,0.47209,1.24716,1.01405,0.00672,0.00106522,0.00106522,0.00106522
20,896.25,1.44937,1.03473,0.00337,0.76872,0.6602,0.75777,0.49283,1.24886,0.9356,0.00707,0.00104501,0.00104501,0.00104501
21,941.073,1.43744,1.00829,0.00332,0.75191,0.67262,0.75291,0.4873,1.25,1.02459,0.00724,0.0010248,0.0010248,0.0010248
22,985.619,1.43018,1.00587,0.00338,0.75327,0.67215,0.75742,0.49488,1.22641,0.93127,0.00622,0.00100459,0.00100459,0.00100459
23,1030.48,1.41497,0.9874,0.00326,0.74918,0.66616,0.75304,0.4916,1.22807,0.98111,0.00602,0.000984377,0.000984377,0.000984377
24,1075.06,1.42357,0.98541,0.0033,0.76254,0.65955,0.75623,0.49392,1.23238,0.93669,0.00686,0.000964167,0.000964167,0.000964167
25,1119.71,1.41237,0.9695,0.00327,0.75593,0.66831,0.76006,0.49559,1.22157,0.95785,0.0062,0.000943957,0.000943957,0.000943957
26,1164.71,1.40638,0.96112,0.00325,0.76307,0.67324,0.76242,0.498,1.22518,0.95206,0.00616,0.000923746,0.000923746,0.000923746
27,1209.59,1.40032,0.95659,0.00322,0.77222,0.67147,0.76359,0.5015,1.21241,0.92212,0.00611,0.000903536,0.000903536,0.000903536
28,1254.4,1.39367,0.9469,0.00319,0.77226,0.68174,0.77582,0.51975,1.1776,0.90403,0.00585,0.000883326,0.000883326,0.000883326
29,1299.15,1.38084,0.93199,0.00317,0.75741,0.68998,0.77638,0.51156,1.18762,0.91398,0.00578,0.000863116,0.000863116,0.000863116
30,1343.76,1.37841,0.91959,0.00317,0.78021,0.67491,0.77203,0.51166,1.19359,0.91029,0.00617,0.000842906,0.000842906,0.000842906
31,1388.41,1.38559,0.9032,0.00313,0.76739,0.6913,0.77309,0.51245,1.19367,0.89297,0.00593,0.000822696,0.000822696,0.000822696
32,1432.77,1.37364,0.90026,0.0031,0.76432,0.68761,0.77431,0.51328,1.19683,0.94139,0.00591,0.000802486,0.000802486,0.000802486
33,1477.3,1.376,0.89539,0.00309,0.76637,0.69537,0.77532,0.51434,1.19193,0.87824,0.00612,0.000782275,0.000782275,0.000782275
34,1521.93,1.37486,0.88391,0.0031,0.78318,0.69738,0.78433,0.52078,1.18705,0.86395,0.00586,0.000762065,0.000762065,0.000762065
35,1566.87,1.35927,0.87446,0.00309,0.78789,0.69635,0.78567,0.52094,1.19419,0.85918,0.00598,0.000741855,0.000741855,0.000741855
36,1611.62,1.36243,0.86812,0.00306,0.79354,0.68883,0.78122,0.51944,1.17948,0.89667,0.00572,0.000721645,0.000721645,0.000721645
37,1656.45,1.34856,0.8567,0.00304,0.7817,0.69547,0.78454,0.52337,1.17083,0.8816,0.00597,0.000701435,0.000701435,0.000701435
38,1701.25,1.33749,0.83268,0.00303,0.79937,0.69669,0.79298,0.53156,1.17352,0.84983,0.00572,0.000681225,0.000681225,0.000681225
39,1746.34,1.33592,0.83154,0.00301,0.78545,0.71036,0.79364,0.53314,1.15658,0.89916,0.00574,0.000661015,0.000661015,0.000661015
40,1791.03,1.32927,0.82494,0.00296,0.77984,0.72166,0.80126,0.53843,1.15621,0.84595,0.00548,0.000640804,0.000640804,0.000640804
41,1835.85,1.32423,0.81995,0.00298,0.7983,0.6999,0.78862,0.52507,1.16836,0.8872,0.00563,0.000620594,0.000620594,0.000620594
42,1880.3,1.3233,0.80564,0.00296,0.79224,0.71273,0.79692,0.53346,1.16616,0.84945,0.00568,0.000600384,0.000600384,0.000600384
43,1924.76,1.31168,0.79613,0.00295,0.80156,0.70858,0.80158,0.54076,1.15559,0.83835,0.00559,0.000580174,0.000580174,0.000580174
44,1969.42,1.31431,0.79448,0.00295,0.79377,0.71603,0.79796,0.53595,1.1459,0.86884,0.00518,0.000559964,0.000559964,0.000559964
45,2013.96,1.30857,0.79524,0.00291,0.79646,0.71749,0.80243,0.54161,1.1527,0.83252,0.0056,0.000539754,0.000539754,0.000539754
46,2058.67,1.31163,0.78368,0.0029,0.79383,0.71272,0.79878,0.54008,1.14638,0.86673,0.0053,0.000519544,0.000519544,0.000519544
47,2103.31,1.28916,0.76054,0.00284,0.79498,0.72202,0.80292,0.54413,1.14183,0.82864,0.00539,0.000499333,0.000499333,0.000499333
48,2148.13,1.29146,0.76411,0.00284,0.78867,0.72488,0.7963,0.53531,1.1559,0.85985,0.00544,0.000479123,0.000479123,0.000479123
49,2192.8,1.28129,0.75522,0.00283,0.79749,0.71727,0.80263,0.53937,1.14947,0.84527,0.00545,0.000458913,0.000458913,0.000458913
50,2237.61,1.29433,0.75175,0.00283,0.80832,0.71169,0.80329,0.54382,1.14503,0.81687,0.00549,0.000438703,0.000438703,0.000438703
51,2282.28,1.27709,0.73866,0.00282,0.79527,0.72039,0.8042,0.54161,1.14081,0.84203,0.0052,0.000418493,0.000418493,0.000418493
52,2326.92,1.27573,0.73406,0.00278,0.80805,0.71868,0.80409,0.54222,1.14417,0.84956,0.00517,0.000398283,0.000398283,0.000398283
53,2371.6,1.26908,0.72067,0.00276,0.80241,0.71627,0.80177,0.54233,1.1409,0.83647,0.00525,0.000378073,0.000378073,0.000378073
54,2416.44,1.25661,0.70906,0.00278,0.79964,0.71684,0.79923,0.54141,1.1454,0.85021,0.00543,0.000357862,0.000357862,0.000357862
55,2461.08,1.26571,0.71424,0.00273,0.80579,0.71228,0.79888,0.54177,1.14586,0.86677,0.00553,0.000337652,0.000337652,0.000337652
56,2505.92,1.25605,0.70881,0.00272,0.79632,0.71949,0.79867,0.53934,1.14086,0.85969,0.00512,0.000317442,0.000317442,0.000317442
