epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2018,1.60899,2.96411,0.00344,0.57716,0.54597,0.57598,0.3548,1.3611,1.61935,0.00679,0.00047208,0.00047208,0.00047208
2,89.92,1.6189,1.49529,0.00346,0.63231,0.52088,0.58139,0.34574,1.46595,1.53783,0.00735,0.000935,0.000935,0.000935
3,134.759,1.66801,1.46203,0.00367,0.55089,0.52338,0.54849,0.3108,1.59666,1.63573,0.00889,0.00138445,0.00138445,0.00138445
4,179.681,1.67575,1.41939,0.00368,0.59958,0.57514,0.60678,0.345,1.54961,1.53919,0.00914,0.00136837,0.00136837,0.00136837
5,224.611,1.65671,1.36883,0.00359,0.62765,0.56946,0.61626,0.36118,1.51028,1.45189,0.00867,0.00134816,0.00134816,0.00134816
6,269.425,1.6466,1.31782,0.00353,0.6499,0.5963,0.65591,0.40059,1.43268,1.25817,0.00759,0.00132795,0.00132795,0.00132795
7,314.279,1.62218,1.3006,0.00347,0.66712,0.58112,0.65266,0.38849,1.47115,1.29318,0.00766,0.00130774,0.00130774,0.00130774
8,358.905,1.60823,1.26173,0.00343,0.68072,0.60166,0.67201,0.40077,1.43513,1.30041,0.00811,0.00128753,0.00128753,0.00128753
9,403.876,1.59562,1.23684,0.00339,0.69429,0.61576,0.69214,0.43044,1.40419,1.12965,0.00795,0.00126732,0.00126732,0.00126732
10,448.59,1.59058,1.21962,0.00334,0.7143,0.6144,0.69617,0.4224,1.39198,1.16902,0.007,0.00124711,0.00124711,0.00124711
11,493.191,1.57154,1.18348,0.00332,0.6983,0.62239,0.69631,0.43917,1.36183,1.15136,0.00706,0.0012269,0.0012269,0.0012269
12,538.032,1.58153,1.17674,0.00329,0.69553,0.63093,0.71098,0.44858,1.33806,1.10701,0.00689,0.00120669,0.00120669,0.00120669
13,582.951,1.56113,1.15499,0.00329,0.69083,0.62378,0.69773,0.43813,1.32588,1.12883,0.00673,0.00118648,0.00118648,0.00118648
14,627.601,1.5495,1.13883,0.00324,0.71933,0.65427,0.72794,0.46161,1.31608,1.03509,0.00604,0.00116627,0.00116627,0.00116627
15,672.432,1.53974,1.11995,0.00325,0.73789,0.65672,0.74072,0.46933,1.32186,1.03223,0.00647,0.00114606,0.00114606,0.00114606
16,717.333,1.53622,1.11358,0.0032,0.72429,0.63013,0.71262,0.44948,1.34075,1.07798,0.00701,0.00112585,0.00112585,0.00112585
