epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,76.4056,2.3761,4.5499,0.00925,0.42916,0.45801,0.41822,0.20894,1.68229,3.37702,0.01126,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588
2,151.858,1.78961,2.32888,0.00635,0.45002,0.49521,0.43931,0.22446,1.61935,2.47065,0.01114,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518
3,228.475,1.74224,1.7039,0.00634,0.50463,0.47398,0.462,0.19855,2.02686,2.52551,0.01504,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018
4,304.197,1.7169,1.53646,0.00617,0.59844,0.52073,0.55948,0.3082,1.59418,1.94316,0.01057,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,380.6,1.64638,1.44007,0.00583,0.61028,0.53818,0.57467,0.33041,1.50669,1.44478,0.00973,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,456.575,1.58445,1.36146,0.00554,0.64634,0.57086,0.6325,0.36949,1.44057,1.26332,0.00933,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,532.832,1.54603,1.31617,0.00532,0.65331,0.6163,0.66171,0.39483,1.3997,1.21192,0.00881,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,609.235,1.51033,1.27196,0.00516,0.68648,0.60429,0.67265,0.4101,1.3618,1.2268,0.00849,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,684.981,1.48888,1.22821,0.00506,0.67978,0.62181,0.67333,0.40694,1.37883,1.23418,0.00936,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,760.574,1.47619,1.20416,0.00498,0.68134,0.64103,0.69725,0.42975,1.31488,1.09683,0.00819,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,836.708,1.43926,1.15873,0.00485,0.68657,0.63477,0.69107,0.42228,1.31337,1.12194,0.00797,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,912.44,1.43648,1.14697,0.00481,0.68661,0.6399,0.70443,0.44023,1.30147,1.04948,0.00809,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,987.915,1.41739,1.11524,0.00473,0.73046,0.64449,0.72526,0.45856,1.24714,1.09051,0.00765,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,1063.37,1.40295,1.10396,0.00467,0.718,0.63024,0.70876,0.44388,1.26302,1.03515,0.00764,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,1139.03,1.38893,1.08061,0.00463,0.73567,0.6618,0.73103,0.46737,1.21866,0.98688,0.00711,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,1214.61,1.38908,1.06552,0.00457,0.72033,0.66484,0.72981,0.46103,1.24474,1.01818,0.00734,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,1289.99,1.37303,1.04134,0.00452,0.73472,0.67328,0.74804,0.47902,1.2318,0.99285,0.00765,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,1365.19,1.36368,1.03829,0.00453,0.74938,0.65382,0.74757,0.48144,1.22481,0.98379,0.00763,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
19,1441.25,1.35361,1.01242,0.00442,0.73269,0.67301,0.74733,0.47978,1.20606,1.01364,0.00714,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
20,1517.09,1.33496,0.99848,0.00435,0.75413,0.68677,0.769,0.50238,1.18116,0.92049,0.00692,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
21,1592.9,1.33357,0.98022,0.00439,0.77665,0.67994,0.77907,0.509,1.18791,0.89405,0.00714,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
22,1668.36,1.3236,0.97243,0.00428,0.7575,0.67769,0.76956,0.5046,1.16121,0.93491,0.00657,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
23,1744.1,1.30447,0.94991,0.00422,0.76019,0.69084,0.77086,0.50427,1.16865,0.91412,0.00684,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
24,1819.56,1.30672,0.93349,0.00421,0.76589,0.69177,0.77779,0.51173,1.16116,0.90115,0.00652,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714
25,1894.84,1.29714,0.92863,0.00417,0.77233,0.70451,0.78364,0.51489,1.1682,0.87162,0.00687,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
26,1970.19,1.28755,0.91039,0.00417,0.77546,0.70234,0.78692,0.51809,1.16804,0.8708,0.00672,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429
27,2045.77,1.27095,0.89717,0.00408,0.77545,0.68367,0.77827,0.52028,1.12469,0.8931,0.00624,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286
28,2121.51,1.26784,0.8828,0.00405,0.78377,0.71017,0.79419,0.52895,1.14881,0.84903,0.00653,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143
29,2196.8,1.26655,0.86623,0.00404,0.79425,0.70484,0.79075,0.52501,1.1403,0.8535,0.00648,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
30,2272.69,1.25472,0.83961,0.00398,0.78609,0.71507,0.79819,0.53044,1.13296,0.8425,0.00638,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857
31,2348.7,1.25553,0.84354,0.00395,0.79073,0.7012,0.79449,0.52906,1.13281,0.8694,0.00645,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
