epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0065,1.44034,2.94812,0.00454,0.62672,0.55681,0.60776,0.38058,1.21819,1.53736,0.00763,0.00047208,0.00047208,0.00047208
2,91.5804,1.44391,1.48219,0.0047,0.61363,0.54764,0.58813,0.34826,1.36703,1.48896,0.00957,0.000935,0.000935,0.000935
3,137.259,1.4889,1.44548,0.00507,0.60271,0.54198,0.58478,0.34444,1.40842,1.57634,0.01104,0.00138445,0.00138445,0.00138445
4,182.814,1.50118,1.40836,0.00512,0.60549,0.53987,0.58437,0.32072,1.57211,1.42565,0.01285,0.00136837,0.00136837,0.00136837
5,228.519,1.48662,1.36328,0.00498,0.65564,0.57623,0.62749,0.37885,1.37475,1.3534,0.01077,0.00134816,0.00134816,0.00134816
6,274.012,1.46944,1.30908,0.0049,0.63768,0.58387,0.64045,0.39312,1.34669,1.31233,0.00996,0.00132795,0.00132795,0.00132795
7,319.772,1.44529,1.28766,0.0048,0.68388,0.56106,0.64193,0.40544,1.27351,1.29097,0.00848,0.00130774,0.00130774,0.00130774
8,365.611,1.44002,1.24476,0.00475,0.69073,0.61359,0.68506,0.42653,1.28139,1.18727,0.00961,0.00128753,0.00128753,0.00128753
9,411.415,1.42072,1.22483,0.00467,0.67417,0.63162,0.69004,0.4227,1.36133,1.21392,0.01029,0.00126732,0.00126732,0.00126732
10,457.226,1.41273,1.20758,0.00459,0.68791,0.60878,0.6873,0.43097,1.27153,1.16824,0.00856,0.00124711,0.00124711,0.00124711
11,503.01,1.38342,1.17204,0.00446,0.72471,0.63596,0.71941,0.46125,1.22221,1.08804,0.00807,0.0012269,0.0012269,0.0012269
12,548.719,1.39324,1.17,0.00447,0.71527,0.64,0.72015,0.46244,1.20507,1.07995,0.0081,0.00120669,0.00120669,0.00120669
13,594.305,1.372,1.13968,0.00447,0.7178,0.64526,0.7278,0.46769,1.20748,1.05339,0.00834,0.00118648,0.00118648,0.00118648
14,640.209,1.36002,1.12156,0.00442,0.73383,0.65653,0.73568,0.47471,1.20278,1.03782,0.00831,0.00116627,0.00116627,0.00116627
15,686.145,1.34752,1.10935,0.0044,0.72696,0.65179,0.73112,0.46298,1.24176,1.07584,0.00851,0.00114606,0.00114606,0.00114606
16,731.788,1.35152,1.09817,0.00432,0.72904,0.65192,0.73321,0.47169,1.20981,1.05076,0.00814,0.00112585,0.00112585,0.00112585
17,777.432,1.33498,1.08568,0.00429,0.73671,0.64818,0.73545,0.47537,1.19891,1.08017,0.00819,0.00110564,0.00110564,0.00110564
18,823.542,1.32649,1.06923,0.00429,0.74026,0.66921,0.74715,0.48434,1.18529,0.99314,0.00794,0.00108543,0.00108543,0.00108543
19,869.429,1.32166,1.0502,0.00424,0.74641,0.67334,0.75046,0.48369,1.20095,1.01316,0.00799,0.00106522,0.00106522,0.00106522
20,919.377,1.32433,1.05842,0.0042,0.74203,0.67276,0.75171,0.48961,1.16835,0.99794,0.00753,0.00104501,0.00104501,0.00104501
21,965.333,1.31178,1.02657,0.00414,0.7626,0.66598,0.75891,0.49416,1.16806,0.99897,0.00798,0.0010248,0.0010248,0.0010248
22,1011.16,1.30433,1.02613,0.0042,0.74358,0.67188,0.75313,0.49571,1.14234,1.03469,0.00714,0.00100459,0.00100459,0.00100459
23,1057.04,1.29048,1.01112,0.00405,0.75691,0.67122,0.75625,0.5019,1.14978,0.98209,0.00791,0.000984377,0.000984377,0.000984377
24,1102.76,1.29357,1.00083,0.00407,0.76163,0.67533,0.76809,0.50452,1.15475,0.9388,0.00735,0.000964167,0.000964167,0.000964167
25,1148.41,1.28005,0.98533,0.00403,0.75543,0.6914,0.77344,0.50699,1.15231,0.94615,0.00766,0.000943957,0.000943957,0.000943957
26,1194.35,1.27897,0.97237,0.00403,0.76571,0.6818,0.7678,0.50674,1.14887,0.96325,0.00774,0.000923746,0.000923746,0.000923746
27,1240.1,1.27304,0.96713,0.00397,0.7535,0.68494,0.7657,0.50936,1.13893,0.95575,0.00792,0.000903536,0.000903536,0.000903536
28,1285.82,1.26298,0.95932,0.00395,0.77154,0.68806,0.77816,0.51896,1.11971,0.93289,0.00704,0.000883326,0.000883326,0.000883326
29,1331.54,1.25405,0.94822,0.00389,0.76858,0.67993,0.77218,0.51016,1.14047,0.9485,0.00751,0.000863116,0.000863116,0.000863116
30,1377.16,1.24964,0.93443,0.00387,0.77794,0.68049,0.77834,0.52085,1.10776,0.91715,0.00684,0.000842906,0.000842906,0.000842906
31,1422.84,1.25378,0.91903,0.00385,0.77138,0.6828,0.76817,0.50662,1.13569,0.95977,0.0071,0.000822696,0.000822696,0.000822696
32,1468.37,1.23949,0.91731,0.00378,0.77154,0.69423,0.78294,0.52043,1.11548,0.94069,0.00675,0.000802486,0.000802486,0.000802486
33,1513.94,1.24143,0.91421,0.0038,0.79372,0.69878,0.79272,0.53,1.11483,0.90677,0.00697,0.000782275,0.000782275,0.000782275
34,1559.87,1.2412,0.90188,0.0038,0.79244,0.69028,0.78316,0.5149,1.13601,0.91634,0.00674,0.000762065,0.000762065,0.000762065
