epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,44.7406,1.50736,2.81106,0.0046,0.60783,0.55879,0.60262,0.37442,1.28817,1.50566,0.00849,0.00047208,0.00047208,0.00047208
2,89.1284,1.49833,1.48388,0.00478,0.6297,0.52406,0.57018,0.33581,1.49793,1.5257,0.01297,0.000935,0.000935,0.000935
3,133.769,1.54967,1.46779,0.00518,0.58941,0.50849,0.5448,0.31565,1.52021,1.52558,0.01298,0.00138445,0.00138445,0.00138445
4,178.422,1.55916,1.43121,0.00525,0.62507,0.55004,0.60088,0.35484,1.44708,1.50585,0.01187,0.00136837,0.00136837,0.00136837
5,222.962,1.53649,1.38121,0.00508,0.59436,0.57681,0.61058,0.37233,1.36906,1.47612,0.01029,0.00134816,0.00134816,0.00134816
6,267.421,1.52245,1.33071,0.005,0.65939,0.6034,0.66144,0.4085,1.34693,1.21753,0.00944,0.00132795,0.00132795,0.00132795
7,312.629,1.4999,1.30276,0.00489,0.67714,0.60794,0.67071,0.41907,1.32524,1.22851,0.00928,0.00130774,0.00130774,0.00130774
8,357.766,1.48275,1.26821,0.0048,0.6862,0.61592,0.67854,0.42422,1.31423,1.19024,0.00934,0.00128753,0.00128753,0.00128753
9,402.587,1.46876,1.24371,0.00474,0.7139,0.62471,0.70429,0.44129,1.31409,1.13746,0.00936,0.00126732,0.00126732,0.00126732
10,447.489,1.45547,1.22468,0.00465,0.7036,0.61205,0.69273,0.44026,1.29973,1.15025,0.00993,0.00124711,0.00124711,0.00124711
11,491.874,1.43446,1.18649,0.00454,0.71679,0.61809,0.70632,0.45056,1.29279,1.14324,0.00922,0.0012269,0.0012269,0.0012269
12,536.414,1.44383,1.18727,0.00454,0.7324,0.63845,0.72005,0.46395,1.2482,1.05953,0.00882,0.00120669,0.00120669,0.00120669
13,581.217,1.41603,1.16631,0.00451,0.70787,0.63536,0.7154,0.4613,1.22977,1.09391,0.00844,0.00118648,0.00118648,0.00118648
14,625.781,1.4173,1.14517,0.00454,0.73407,0.64743,0.73404,0.47337,1.22439,1.03738,0.00823,0.00116627,0.00116627,0.00116627
15,670.576,1.4012,1.12266,0.00448,0.70675,0.65093,0.72419,0.46106,1.27234,1.09623,0.00955,0.00114606,0.00114606,0.00114606
16,715.29,1.40205,1.11244,0.00442,0.72073,0.64292,0.72011,0.46181,1.27364,1.02787,0.00907,0.00112585,0.00112585,0.00112585
17,759.858,1.38664,1.09938,0.00437,0.72248,0.64042,0.7203,0.46438,1.20923,1.11785,0.00768,0.00110564,0.00110564,0.00110564
18,804.565,1.37634,1.09323,0.00437,0.75002,0.65126,0.7394,0.4791,1.24163,1.03189,0.00889,0.00108543,0.00108543,0.00108543
19,849.299,1.36929,1.07689,0.00431,0.74954,0.66874,0.74625,0.48292,1.2222,0.98718,0.00798,0.00106522,0.00106522,0.00106522
20,893.955,1.37626,1.06452,0.00429,0.75833,0.66052,0.74739,0.48877,1.20337,1.01403,0.00818,0.00104501,0.00104501,0.00104501
21,938.771,1.36581,1.0434,0.00424,0.73171,0.66903,0.74331,0.48444,1.21631,1.02884,0.00892,0.0010248,0.0010248,0.0010248
22,983.315,1.35858,1.04282,0.00431,0.76576,0.6662,0.75824,0.48977,1.20894,0.95833,0.00735,0.00100459,0.00100459,0.00100459
23,1028.18,1.34102,1.01521,0.00413,0.7547,0.67124,0.75486,0.49695,1.22362,0.98485,0.00908,0.000984377,0.000984377,0.000984377
24,1072.81,1.34319,1.01578,0.00417,0.75058,0.66568,0.75034,0.49379,1.17966,0.99072,0.00789,0.000964167,0.000964167,0.000964167
25,1117.36,1.33074,0.99035,0.00412,0.74947,0.67712,0.75887,0.50248,1.17094,0.95919,0.00754,0.000943957,0.000943957,0.000943957
26,1162,1.32915,0.98481,0.00411,0.76268,0.68684,0.76764,0.51248,1.15461,0.9365,0.00724,0.000923746,0.000923746,0.000923746
27,1206.71,1.3246,0.98015,0.00404,0.75513,0.67108,0.75582,0.50305,1.1587,0.94503,0.00705,0.000903536,0.000903536,0.000903536
28,1251.31,1.3126,0.97268,0.00402,0.7714,0.66833,0.76205,0.50479,1.18069,0.96186,0.00829,0.000883326,0.000883326,0.000883326
29,1295.82,1.30371,0.95898,0.00396,0.75392,0.69415,0.77035,0.50774,1.14623,0.98825,0.00668,0.000863116,0.000863116,0.000863116
30,1340.26,1.29604,0.93729,0.00393,0.75885,0.69523,0.77653,0.52054,1.14162,0.92396,0.00714,0.000842906,0.000842906,0.000842906
31,1384.95,1.30268,0.92147,0.00391,0.75855,0.69023,0.77397,0.5174,1.16263,0.91023,0.00735,0.000822696,0.000822696,0.000822696
32,1429.37,1.29161,0.92009,0.00387,0.76015,0.68207,0.76993,0.51477,1.15861,0.93094,0.00764,0.000802486,0.000802486,0.000802486
33,1473.91,1.291,0.91351,0.00387,0.77512,0.70548,0.78628,0.52695,1.14564,0.90586,0.00714,0.000782275,0.000782275,0.000782275
34,1518.83,1.29215,0.90893,0.00388,0.79561,0.68322,0.77922,0.52075,1.13959,0.90899,0.00706,0.000762065,0.000762065,0.000762065
35,1563.41,1.27171,0.88458,0.00383,0.77863,0.68289,0.77385,0.50758,1.173,0.93631,0.00673,0.000741855,0.000741855,0.000741855
36,1607.86,1.27244,0.88292,0.0038,0.76769,0.70616,0.7815,0.52502,1.11895,0.90702,0.00666,0.000721645,0.000721645,0.000721645
37,1652.3,1.26121,0.87359,0.00378,0.78865,0.69888,0.78784,0.53002,1.1555,0.89871,0.00788,0.000701435,0.000701435,0.000701435
38,1697,1.25125,0.8475,0.00374,0.78064,0.70658,0.78688,0.52739,1.13605,0.90436,0.00706,0.000681225,0.000681225,0.000681225
39,1741.48,1.25286,0.84554,0.00375,0.79584,0.6982,0.78833,0.53185,1.11746,0.90721,0.00703,0.000661015,0.000661015,0.000661015
40,1786.36,1.244,0.83946,0.00366,0.78775,0.71989,0.79754,0.53979,1.12331,0.87035,0.0069,0.000640804,0.000640804,0.000640804
41,1831.21,1.24041,0.82663,0.00369,0.79928,0.69699,0.78911,0.53137,1.13191,0.89076,0.0071,0.000620594,0.000620594,0.000620594
42,1875.76,1.23618,0.81656,0.00367,0.77499,0.7122,0.79048,0.53392,1.10379,0.88559,0.00629,0.000600384,0.000600384,0.000600384
43,1920.47,1.22492,0.80634,0.00364,0.81076,0.70222,0.7984,0.54012,1.10222,0.86606,0.00608,0.000580174,0.000580174,0.000580174
44,1965.21,1.22448,0.80006,0.00364,0.79284,0.71519,0.79572,0.53761,1.11771,0.88909,0.0069,0.000559964,0.000559964,0.000559964
45,2009.68,1.22127,0.79779,0.00359,0.80872,0.69923,0.79581,0.53867,1.09182,0.87506,0.00591,0.000539754,0.000539754,0.000539754
46,2054.2,1.22293,0.78636,0.00359,0.79889,0.71665,0.79699,0.53939,1.11037,0.86916,0.00671,0.000519544,0.000519544,0.000519544
