epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9047,1.40847,2.97969,0.00409,0.6219,0.56672,0.61211,0.37546,1.26116,1.55476,0.00803,0.00047208,0.00047208,0.00047208
2,89.4333,1.41493,1.52386,0.00411,0.60347,0.54707,0.58071,0.34975,1.33431,1.50913,0.00893,0.000935,0.000935,0.000935
3,134.036,1.46245,1.49642,0.00436,0.59816,0.51592,0.55593,0.32794,1.40983,1.59053,0.01165,0.00138445,0.00138445,0.00138445
4,178.569,1.4721,1.46524,0.00437,0.613,0.562,0.59379,0.34849,1.39712,1.43767,0.01013,0.00136837,0.00136837,0.00136837
5,223.54,1.45383,1.41809,0.00428,0.58189,0.56824,0.59653,0.35893,1.35547,1.64546,0.01042,0.00134816,0.00134816,0.00134816
6,267.973,1.43388,1.36543,0.00418,0.65667,0.59096,0.65335,0.40084,1.33167,1.29688,0.00931,0.00132795,0.00132795,0.00132795
7,312.825,1.42117,1.34386,0.00417,0.70057,0.59751,0.67739,0.42317,1.27721,1.22996,0.0088,0.00130774,0.00130774,0.00130774
8,357.574,1.4059,1.30864,0.00409,0.67747,0.60512,0.67144,0.41258,1.3205,1.27547,0.00934,0.00128753,0.00128753,0.00128753
9,402.248,1.38423,1.27475,0.00401,0.68612,0.59609,0.67933,0.42454,1.27521,1.26213,0.00884,0.00126732,0.00126732,0.00126732
10,447.094,1.37069,1.25589,0.00394,0.68784,0.61644,0.68434,0.4252,1.27694,1.27917,0.00827,0.00124711,0.00124711,0.00124711
11,492.049,1.3517,1.2205,0.00389,0.70021,0.61501,0.70166,0.44211,1.25334,1.17098,0.00836,0.0012269,0.0012269,0.0012269
12,536.741,1.36028,1.21637,0.00386,0.71581,0.63637,0.71988,0.46551,1.18143,1.12283,0.00745,0.00120669,0.00120669,0.00120669
13,581.43,1.33869,1.19828,0.00386,0.71324,0.62276,0.69958,0.44953,1.1896,1.13653,0.00771,0.00118648,0.00118648,0.00118648
14,626.074,1.33261,1.17658,0.00385,0.72026,0.63328,0.72001,0.46329,1.18226,1.12603,0.0077,0.00116627,0.00116627,0.00116627
15,670.743,1.3194,1.1605,0.00382,0.70973,0.64951,0.72159,0.46192,1.19638,1.12725,0.00818,0.00114606,0.00114606,0.00114606
16,715.435,1.32013,1.14702,0.00377,0.72139,0.64141,0.71886,0.46395,1.20494,1.09882,0.00767,0.00112585,0.00112585,0.00112585
17,760.15,1.30373,1.13173,0.00374,0.71679,0.64364,0.72636,0.46778,1.16541,1.10825,0.0071,0.00110564,0.00110564,0.00110564
18,805.068,1.29693,1.1185,0.00375,0.72908,0.66733,0.74124,0.48534,1.15931,1.04396,0.00725,0.00108543,0.00108543,0.00108543
