epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9468,0.48408,2.67995,0.00146,0.49221,0.39161,0.413,0.26147,0.36173,1.93045,0.00164,0.00047208,0.00047208,0.00047208
2,90.4829,0.46312,1.90355,0.0014,0.5246,0.38767,0.41298,0.25857,0.40934,1.98164,0.00244,0.000935,0.000935,0.000935
3,135.052,0.47027,1.89923,0.00148,0.54568,0.38337,0.39987,0.2416,0.43488,2.05278,0.00223,0.00138445,0.00138445,0.00138445
4,179.742,0.48282,1.87629,0.00153,0.67147,0.397,0.47303,0.29807,0.36248,1.95714,0.00227,0.00136837,0.00136837,0.00136837
5,224.766,0.45587,1.83609,0.00142,0.62629,0.50287,0.53354,0.33408,0.37363,1.92651,0.00202,0.00134816,0.00134816,0.00134816
6,269.754,0.46942,1.79958,0.00145,0.67077,0.49925,0.54363,0.35255,0.34732,1.79624,0.00199,0.00132795,0.00132795,0.00132795
7,314.89,0.44965,1.77734,0.00139,0.68932,0.51563,0.56529,0.36168,0.35938,1.76435,0.00187,0.00130774,0.00130774,0.00130774
8,359.853,0.44673,1.7526,0.00138,0.69986,0.43198,0.51733,0.33239,0.38566,1.7986,0.00238,0.00128753,0.00128753,0.00128753
9,404.74,0.43467,1.73688,0.00134,0.69853,0.54967,0.58979,0.38571,0.32984,1.73641,0.0017,0.00126732,0.00126732,0.00126732
10,449.736,0.42587,1.71895,0.00129,0.67408,0.53086,0.57459,0.37007,0.35597,1.7721,0.00182,0.00124711,0.00124711,0.00124711
11,494.55,0.4159,1.69535,0.00126,0.71714,0.5672,0.62163,0.41416,0.30799,1.68876,0.00154,0.0012269,0.0012269,0.0012269
12,539.644,0.4211,1.69042,0.00126,0.71563,0.56561,0.6136,0.40755,0.31601,1.66776,0.00167,0.00120669,0.00120669,0.00120669
13,584.583,0.4027,1.67916,0.00123,0.73499,0.54992,0.5983,0.40107,0.3016,1.64597,0.0015,0.00118648,0.00118648,0.00118648
14,629.54,0.39035,1.6752,0.00118,0.75545,0.54118,0.59961,0.40588,0.30609,1.65337,0.00159,0.00116627,0.00116627,0.00116627
15,674.286,0.39201,1.65797,0.00119,0.6918,0.59856,0.64516,0.42495,0.31431,1.72127,0.00155,0.00114606,0.00114606,0.00114606
16,719.017,0.3929,1.64235,0.00118,0.72862,0.57064,0.61621,0.41615,0.29795,1.6729,0.00156,0.00112585,0.00112585,0.00112585
17,763.892,0.38442,1.63998,0.00116,0.71413,0.58674,0.63385,0.42362,0.30506,1.63001,0.00183,0.00110564,0.00110564,0.00110564
18,808.595,0.37479,1.62934,0.00113,0.74226,0.60503,0.65464,0.44287,0.28117,1.61134,0.00133,0.00108543,0.00108543,0.00108543
19,853.589,0.3781,1.62035,0.00113,0.7277,0.60036,0.6413,0.43089,0.28848,1.62129,0.0014,0.00106522,0.00106522,0.00106522
20,898.37,0.38615,1.62447,0.00115,0.75005,0.55755,0.60003,0.40549,0.29125,1.66862,0.00148,0.00104501,0.00104501,0.00104501
21,943.038,0.37649,1.60717,0.00112,0.71238,0.60476,0.65105,0.43681,0.28206,1.64191,0.00134,0.0010248,0.0010248,0.0010248
22,987.771,0.36401,1.60468,0.0011,0.73998,0.61508,0.65686,0.44477,0.27191,1.62645,0.00136,0.00100459,0.00100459,0.00100459
23,1032.58,0.3715,1.58734,0.0011,0.74046,0.61519,0.65952,0.45049,0.28731,1.61008,0.00137,0.000984377,0.000984377,0.000984377
24,1077.35,0.36817,1.58373,0.00109,0.74594,0.59209,0.63894,0.43895,0.2733,1.61098,0.00133,0.000964167,0.000964167,0.000964167
25,1122.07,0.3561,1.57644,0.00105,0.75239,0.61743,0.66017,0.44674,0.28361,1.57214,0.00135,0.000943957,0.000943957,0.000943957
26,1166.99,0.35662,1.56913,0.00105,0.74908,0.63014,0.66539,0.45478,0.26302,1.5922,0.00126,0.000923746,0.000923746,0.000923746
27,1211.86,0.35643,1.56588,0.00104,0.7496,0.62689,0.66765,0.45306,0.27648,1.56734,0.00134,0.000903536,0.000903536,0.000903536
28,1256.62,0.35403,1.55062,0.00104,0.7538,0.63853,0.68009,0.46938,0.27742,1.56068,0.00138,0.000883326,0.000883326,0.000883326
29,1301.49,0.35677,1.54176,0.00105,0.75976,0.63597,0.67777,0.4688,0.27661,1.5567,0.00134,0.000863116,0.000863116,0.000863116
30,1346.39,0.34562,1.53216,0.00101,0.76766,0.64141,0.67797,0.46872,0.26803,1.54133,0.00131,0.000842906,0.000842906,0.000842906
31,1391.22,0.3493,1.52855,0.00101,0.76243,0.62835,0.67278,0.4622,0.26818,1.56796,0.00128,0.000822696,0.000822696,0.000822696
32,1436.04,0.3513,1.51389,0.00101,0.75879,0.64801,0.68537,0.47422,0.26837,1.5456,0.0013,0.000802486,0.000802486,0.000802486
33,1481.04,0.35025,1.51661,0.00101,0.75814,0.66216,0.70019,0.47849,0.26689,1.56141,0.00127,0.000782275,0.000782275,0.000782275
34,1525.88,0.3475,1.51156,0.001,0.78765,0.63513,0.68277,0.47345,0.26129,1.54714,0.00128,0.000762065,0.000762065,0.000762065
35,1570.7,0.33927,1.49982,0.00099,0.79157,0.63268,0.67882,0.47266,0.26258,1.57247,0.00123,0.000741855,0.000741855,0.000741855
36,1615.5,0.34271,1.49804,0.00099,0.78292,0.65033,0.6944,0.48033,0.25402,1.57486,0.00123,0.000721645,0.000721645,0.000721645
37,1660.37,0.33462,1.48973,0.00097,0.77202,0.65036,0.68322,0.47334,0.25481,1.56701,0.00125,0.000701435,0.000701435,0.000701435
38,1705.27,0.33421,1.48036,0.00097,0.77148,0.6533,0.69419,0.48148,0.2566,1.55861,0.00123,0.000681225,0.000681225,0.000681225
39,1750.19,0.32823,1.47625,0.00095,0.77571,0.65843,0.70117,0.48568,0.2568,1.56162,0.00124,0.000661015,0.000661015,0.000661015
40,1795.26,0.32601,1.46953,0.00093,0.78395,0.6687,0.70906,0.49042,0.25431,1.54827,0.00123,0.000640804,0.000640804,0.000640804
41,1840.2,0.32238,1.4656,0.00093,0.79622,0.65885,0.70101,0.48736,0.25003,1.54699,0.00115,0.000620594,0.000620594,0.000620594
42,1884.92,0.32234,1.46238,0.00093,0.78814,0.66807,0.70865,0.49245,0.25736,1.53796,0.00123,0.000600384,0.000600384,0.000600384
43,1929.69,0.32366,1.45286,0.00093,0.77799,0.67723,0.70955,0.49412,0.25235,1.55462,0.00116,0.000580174,0.000580174,0.000580174
44,1974.62,0.32388,1.44897,0.00094,0.79985,0.66253,0.70914,0.49387,0.25572,1.5314,0.00119,0.000559964,0.000559964,0.000559964
45,2019.24,0.31983,1.44315,0.00091,0.78319,0.67234,0.71122,0.4947,0.25737,1.54499,0.00118,0.000539754,0.000539754,0.000539754
46,2064.24,0.32011,1.43702,0.00091,0.79684,0.66893,0.71107,0.49127,0.25374,1.55258,0.00118,0.000519544,0.000519544,0.000519544
47,2109.08,0.31576,1.42727,0.00089,0.79051,0.6917,0.72134,0.50003,0.24897,1.53236,0.00115,0.000499333,0.000499333,0.000499333
48,2154.04,0.31269,1.42219,0.00089,0.79313,0.67341,0.70985,0.4957,0.24748,1.54107,0.00115,0.000479123,0.000479123,0.000479123
49,2198.91,0.30809,1.42189,0.00087,0.79932,0.66784,0.71242,0.49484,0.24916,1.56216,0.00117,0.000458913,0.000458913,0.000458913
50,2243.7,0.31019,1.42148,0.00087,0.7961,0.67995,0.71956,0.50058,0.24084,1.55219,0.00114,0.000438703,0.000438703,0.000438703
51,2288.72,0.29911,1.41781,0.00085,0.79882,0.68115,0.72278,0.5018,0.23744,1.54401,0.0011,0.000418493,0.000418493,0.000418493
52,2333.54,0.30272,1.40626,0.00084,0.79863,0.68284,0.71678,0.49888,0.24604,1.55392,0.00113,0.000398283,0.000398283,0.000398283
53,2378.22,0.30049,1.40146,0.00084,0.78479,0.69951,0.72155,0.50402,0.24183,1.53318,0.00111,0.000378073,0.000378073,0.000378073
54,2423.08,0.29118,1.39951,0.00083,0.80782,0.6801,0.71666,0.49818,0.23993,1.55242,0.00109,0.000357862,0.000357862,0.000357862
55,2467.75,0.29885,1.39468,0.00083,0.80691,0.67374,0.71661,0.50278,0.23833,1.55531,0.0011,0.000337652,0.000337652,0.000337652
56,2512.52,0.29806,1.39007,0.00084,0.80493,0.67924,0.71657,0.49841,0.24442,1.5593,0.00114,0.000317442,0.000317442,0.000317442
57,2557.19,0.29369,1.38241,0.00083,0.80789,0.68093,0.7161,0.50099,0.24743,1.55899,0.00115,0.000297232,0.000297232,0.000297232
58,2601.8,0.29711,1.37497,0.00082,0.80864,0.68052,0.72308,0.5055,0.24398,1.56809,0.00114,0.000277022,0.000277022,0.000277022
59,2646.6,0.29509,1.37157,0.00083,0.79808,0.68794,0.72097,0.50396,0.24771,1.56179,0.00115,0.000256812,0.000256812,0.000256812
60,2691.44,0.2962,1.36798,0.00082,0.80279,0.68524,0.72355,0.50547,0.24378,1.57049,0.00113,0.000236602,0.000236602,0.000236602
61,2736.69,0.24858,1.36091,0.00079,0.79138,0.69254,0.71847,0.49954,0.24489,1.57688,0.00115,0.000216391,0.000216391,0.000216391
62,2780.39,0.23987,1.34703,0.00076,0.80524,0.6883,0.71897,0.5022,0.24413,1.58105,0.00114,0.000196181,0.000196181,0.000196181
63,2824.22,0.23975,1.33784,0.00076,0.80341,0.69128,0.72176,0.50481,0.24123,1.57719,0.00113,0.000175971,0.000175971,0.000175971
64,2868.06,0.23455,1.33237,0.00074,0.79721,0.69248,0.71736,0.50247,0.2425,1.58673,0.00114,0.000155761,0.000155761,0.000155761
65,2911.84,0.235,1.32576,0.00074,0.80489,0.68896,0.72189,0.505,0.24291,1.58154,0.00115,0.000135551,0.000135551,0.000135551
66,2955.48,0.23443,1.32064,0.00073,0.80489,0.68799,0.71892,0.50324,0.24209,1.5864,0.00115,0.000115341,0.000115341,0.000115341
67,2999.14,0.23204,1.31712,0.00073,0.80231,0.68355,0.71466,0.50014,0.24304,1.59431,0.00113,9.51306e-05,9.51306e-05,9.51306e-05
68,3043.05,0.2326,1.31367,0.00073,0.80707,0.68524,0.719,0.50209,0.24427,1.58693,0.00115,7.49204e-05,7.49204e-05,7.49204e-05
69,3087.01,0.22874,1.31285,0.00072,0.80272,0.68624,0.71708,0.50165,0.24203,1.59009,0.00113,5.47103e-05,5.47103e-05,5.47103e-05
70,3130.79,0.2298,1.30703,0.00071,0.80358,0.6855,0.71624,0.50122,0.24165,1.59216,0.00113,3.45001e-05,3.45001e-05,3.45001e-05
