epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2793,0.9927,3.20632,0.00241,0.58893,0.53107,0.57097,0.34772,0.87875,1.60113,0.00336,0.000471963,0.000471963,0.000471963
2,94.2889,1.04418,1.52432,0.00255,0.58346,0.58913,0.61718,0.34971,1.1202,1.46929,0.00438,0.000934885,0.000934885,0.000934885
3,139.812,1.11326,1.47867,0.0028,0.61456,0.55009,0.58653,0.34366,1.01423,1.47167,0.00419,0.00138433,0.00138433,0.00138433
4,184.526,1.05848,1.43866,0.00273,0.59382,0.53622,0.58227,0.33664,1.08009,1.45769,0.00436,0.00136837,0.00136837,0.00136837
5,229.326,1.03524,1.38909,0.00265,0.64137,0.57931,0.63045,0.37922,0.97373,1.39567,0.00395,0.00134816,0.00134816,0.00134816
6,274.354,1.0158,1.34107,0.00263,0.61167,0.5778,0.62013,0.37269,0.95944,1.37366,0.0039,0.00132795,0.00132795,0.00132795
7,319.062,1.01673,1.30969,0.00259,0.66964,0.59989,0.66121,0.38852,1.00119,1.28264,0.00411,0.00130774,0.00130774,0.00130774
8,363.767,1.00143,1.26762,0.00258,0.66142,0.59503,0.65822,0.40204,0.9501,1.29746,0.00392,0.00128753,0.00128753,0.00128753
9,408.681,0.98606,1.24005,0.00252,0.69265,0.59071,0.66272,0.40542,0.96609,1.26957,0.00395,0.00126732,0.00126732,0.00126732
10,453.411,1.00122,1.22603,0.00258,0.72718,0.6278,0.70753,0.44682,0.92824,1.14402,0.00375,0.00124711,0.00124711,0.00124711
11,498.218,0.97465,1.20223,0.0025,0.73933,0.62653,0.71344,0.44693,0.93536,1.18085,0.0037,0.0012269,0.0012269,0.0012269
12,542.883,0.99124,1.18542,0.00255,0.7261,0.63967,0.72075,0.45049,0.97146,1.1275,0.00383,0.00120669,0.00120669,0.00120669
13,587.727,0.99799,1.1655,0.00254,0.70561,0.6582,0.72994,0.46173,0.95156,1.13836,0.00375,0.00118648,0.00118648,0.00118648
14,635.705,1.014,1.14219,0.0026,0.74058,0.63921,0.73086,0.46275,0.82887,1.12611,0.00325,0.00116627,0.00116627,0.00116627
