epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7481,0.92288,3.18883,0.00249,0.61899,0.56929,0.6076,0.37571,0.85206,1.5716,0.0058,0.00047208,0.00047208,0.00047208
2,91.6694,0.96151,1.51765,0.00263,0.66332,0.57485,0.62624,0.37411,0.95094,1.41958,0.00676,0.000935,0.000935,0.000935
3,136.811,1.00073,1.46508,0.00285,0.57708,0.52893,0.5605,0.31655,1.14772,1.61087,0.00875,0.00138445,0.00138445,0.00138445
4,182.09,1.04011,1.43189,0.00295,0.64176,0.57377,0.62703,0.37422,0.97782,1.41515,0.00663,0.00136837,0.00136837,0.00136837
5,227.373,1.01801,1.38894,0.00286,0.63103,0.56895,0.60965,0.35399,1.0416,1.43675,0.00748,0.00134816,0.00134816,0.00134816
6,272.495,0.98992,1.34671,0.00279,0.66978,0.58114,0.65547,0.40499,0.98115,1.31535,0.00783,0.00132795,0.00132795,0.00132795
7,317.643,0.97727,1.32081,0.00276,0.68774,0.60594,0.67695,0.41467,0.92457,1.21669,0.00629,0.00130774,0.00130774,0.00130774
8,362.86,0.98097,1.27241,0.00273,0.70138,0.6011,0.68085,0.42111,0.94423,1.21857,0.00705,0.00128753,0.00128753,0.00128753
9,408.06,0.96143,1.25375,0.00268,0.68913,0.63644,0.70003,0.43388,0.92889,1.18626,0.00662,0.00126732,0.00126732,0.00126732
10,453.244,0.95649,1.23615,0.00263,0.64125,0.57472,0.6362,0.39353,0.93083,1.35101,0.00682,0.00124711,0.00124711,0.00124711
11,498.317,0.94492,1.19954,0.00262,0.73166,0.6298,0.71664,0.45858,0.88768,1.11624,0.00544,0.0012269,0.0012269,0.0012269
12,543.569,0.9596,1.19478,0.00262,0.73124,0.62884,0.71823,0.45507,0.88821,1.11502,0.00581,0.00120669,0.00120669,0.00120669
13,588.688,0.94397,1.1654,0.00264,0.72904,0.62947,0.72266,0.46099,0.86393,1.09357,0.0055,0.00118648,0.00118648,0.00118648
14,633.926,0.94012,1.14627,0.00263,0.74,0.64659,0.73699,0.47423,0.83411,1.06205,0.00525,0.00116627,0.00116627,0.00116627
15,679.163,0.95248,1.13126,0.00267,0.73371,0.65013,0.73122,0.46468,0.86017,1.1395,0.00568,0.00114606,0.00114606,0.00114606
16,724.173,0.95483,1.11936,0.00264,0.70341,0.64162,0.70661,0.44413,0.89604,1.14286,0.00591,0.00112585,0.00112585,0.00112585
17,769.295,0.93925,1.10222,0.00262,0.72957,0.66211,0.74005,0.47362,0.86466,1.08548,0.0056,0.00110564,0.00110564,0.00110564
18,814.293,0.92825,1.09559,0.00261,0.75366,0.65982,0.7474,0.48127,0.87239,1.04398,0.00614,0.00108543,0.00108543,0.00108543
19,859.361,0.94111,1.07548,0.00262,0.74218,0.66878,0.74774,0.48214,0.85766,1.03841,0.00549,0.00106522,0.00106522,0.00106522
20,904.586,0.93185,1.07581,0.00258,0.75974,0.66424,0.75163,0.48829,0.8681,1.02183,0.00586,0.00104501,0.00104501,0.00104501
21,949.898,0.93262,1.05377,0.00256,0.75156,0.68269,0.75878,0.49169,0.84423,1.02281,0.0059,0.0010248,0.0010248,0.0010248
22,995.235,0.919,1.04155,0.0026,0.76572,0.67359,0.76689,0.50067,0.83623,0.99851,0.00485,0.00100459,0.00100459,0.00100459
23,1040.52,0.92581,1.02234,0.00255,0.74557,0.66183,0.74904,0.48852,0.82118,1.04436,0.00486,0.000984377,0.000984377,0.000984377
24,1085.39,0.93772,1.01774,0.00259,0.75597,0.67449,0.76339,0.49751,0.85875,0.99473,0.00569,0.000964167,0.000964167,0.000964167
25,1130.53,0.92662,1.00074,0.00257,0.78241,0.68144,0.77216,0.51067,0.82168,0.96937,0.0049,0.000943957,0.000943957,0.000943957
26,1175.64,0.91034,0.98317,0.00254,0.76657,0.68291,0.77035,0.50618,0.81965,0.9749,0.00493,0.000923746,0.000923746,0.000923746
27,1221,0.92694,0.97706,0.00257,0.75607,0.66083,0.74934,0.4895,0.79782,1.01615,0.00509,0.000903536,0.000903536,0.000903536
28,1266.09,0.92431,0.9687,0.00256,0.76975,0.67469,0.76822,0.50435,0.7837,0.99977,0.00458,0.000883326,0.000883326,0.000883326
29,1311.42,0.9151,0.95761,0.00252,0.75541,0.67285,0.76054,0.49704,0.8338,0.99704,0.00493,0.000863116,0.000863116,0.000863116
30,1356.84,0.91374,0.94398,0.00252,0.7666,0.68621,0.77375,0.51268,0.78588,0.98443,0.00433,0.000842906,0.000842906,0.000842906
31,1402.23,0.91397,0.92545,0.0025,0.76408,0.70848,0.77904,0.51655,0.803,0.93006,0.00485,0.000822696,0.000822696,0.000822696
32,1447.49,0.92238,0.92391,0.00252,0.77044,0.69926,0.7798,0.5153,0.80095,0.94044,0.00508,0.000802486,0.000802486,0.000802486
33,1492.81,0.91132,0.91871,0.00249,0.77038,0.70163,0.78075,0.51461,0.81089,0.97432,0.00517,0.000782275,0.000782275,0.000782275
34,1538.24,0.9094,0.90767,0.00251,0.77566,0.70028,0.77726,0.51335,0.82426,0.95983,0.00456,0.000762065,0.000762065,0.000762065
35,1583.4,0.90789,0.88982,0.00252,0.78097,0.69428,0.7806,0.51679,0.79838,0.96482,0.00446,0.000741855,0.000741855,0.000741855
36,1628.79,0.91481,0.88401,0.00251,0.77811,0.71269,0.78867,0.52836,0.76465,0.94654,0.00472,0.000721645,0.000721645,0.000721645
37,1673.98,0.90104,0.87836,0.00249,0.78004,0.70434,0.78377,0.52309,0.80751,0.9675,0.00459,0.000701435,0.000701435,0.000701435
38,1719.03,0.9073,0.84807,0.0025,0.79004,0.70605,0.79019,0.52545,0.79772,0.92868,0.00476,0.000681225,0.000681225,0.000681225
39,1764.01,0.89955,0.84809,0.00249,0.78476,0.71125,0.79485,0.53326,0.76746,0.90671,0.00442,0.000661015,0.000661015,0.000661015
40,1809.14,0.89823,0.83366,0.00245,0.79125,0.71189,0.79518,0.53004,0.76188,0.92676,0.00426,0.000640804,0.000640804,0.000640804
41,1854.17,0.89263,0.83084,0.00247,0.79031,0.71174,0.79335,0.53362,0.7312,0.92364,0.00396,0.000620594,0.000620594,0.000620594
42,1899.33,0.89776,0.81743,0.00247,0.79281,0.71018,0.79642,0.53517,0.77042,0.922,0.00409,0.000600384,0.000600384,0.000600384
43,1944.35,0.89219,0.8079,0.00247,0.7941,0.70466,0.79084,0.53376,0.80288,0.94367,0.0042,0.000580174,0.000580174,0.000580174
44,1989.3,0.88198,0.80476,0.00245,0.78578,0.71704,0.79252,0.53207,0.7423,0.93974,0.00407,0.000559964,0.000559964,0.000559964
45,2034.2,0.88823,0.80063,0.00245,0.80495,0.70523,0.79372,0.53649,0.7436,0.91577,0.00419,0.000539754,0.000539754,0.000539754
46,2079.55,0.8838,0.79208,0.00245,0.8061,0.70637,0.79555,0.54126,0.74308,0.89832,0.00438,0.000519544,0.000519544,0.000519544
47,2124.97,0.87097,0.76754,0.00239,0.80333,0.70774,0.79877,0.53939,0.75065,0.9079,0.00426,0.000499333,0.000499333,0.000499333
48,2170.07,0.88585,0.76821,0.00243,0.78538,0.72452,0.7987,0.53605,0.74004,0.91993,0.0041,0.000479123,0.000479123,0.000479123
