epoch,fg_share_s8,fg_count_s8,fg_share_s16,fg_count_s16,fg_share_s32,fg_count_s32,gate_pass_rate,gate_gts
0,0.574108,296158,0.359907,185661,0.065985,34039,0.23044,60519
1,0.487711,44649,0.423516,38772,0.088773,8127,0.293426,9781
2,0.482738,44158,0.439425,40196,0.077836,7120,0.293426,9781
3,0.551852,50250,0.38991,35504,0.058238,5303,0.293426,9781
4,0.606252,55252,0.325949,29706,0.067799,6179,0.293426,9781
5,0.593577,54117,0.337377,30759,0.069046,6295,0.293426,9781
6,0.563624,51416,0.364005,33206,0.072371,6602,0.293426,9781
7,0.57149,52117,0.357114,32567,0.071396,6511,0.293426,9781
8,0.562879,51361,0.364922,33298,0.0722,6588,0.293426,9781
9,0.560861,51187,0.36669,33466,0.072448,6612,0.293426,9781
10,0.574066,52480,0.34549,31584,0.080444,7354,0.293426,9781
11,0.563259,51416,0.361086,32961,0.075655,6906,0.293426,9781
12,0.552173,50388,0.369419,33711,0.078408,7155,0.293426,9781
13,0.535252,48868,0.381165,34800,0.083583,7631,0.293426,9781
14,0.55542,50711,0.363114,33153,0.081466,7438,0.293426,9781
15,0.578711,52823,0.346067,31588,0.075222,6866,0.293426,9781
16,0.556528,50816,0.366317,33448,0.077156,7045,0.293426,9781
17,0.548858,50153,0.363636,33228,0.087506,7996,0.293426,9781
18,0.535037,48912,0.379061,34653,0.085902,7853,0.293426,9781
19,0.540984,49401,0.367358,33546,0.091659,8370,0.293426,9781
20,0.542494,49502,0.372892,34026,0.084615,7721,0.293426,9781
21,0.550718,50226,0.363878,33186,0.085405,7789,0.293426,9781
22,0.542134,49467,0.374048,34130,0.083818,7648,0.293426,9781
23,0.553357,50496,0.356116,32497,0.090528,8261,0.293426,9781
24,0.555898,50724,0.351606,32083,0.092496,8440,0.293426,9781
25,0.555272,50733,0.351761,32139,0.092967,8494,0.293426,9781
26,0.534675,48811,0.371055,33874,0.09427,8606,0.293426,9781
27,0.539256,49274,0.365892,33433,0.094852,8667,0.293426,9781
28,0.539344,49282,0.374614,34230,0.086042,7862,0.293426,9781
29,0.522845,47776,0.378115,34551,0.09904,9050,0.293426,9781
30,0.540402,49356,0.363892,33235,0.095706,8741,0.293426,9781
31,0.538442,49191,0.361019,32982,0.100539,9185,0.293426,9781
32,0.546674,49913,0.358838,32763,0.094488,8627,0.293426,9781
33,0.548086,50083,0.35757,32674,0.094344,8621,0.293426,9781
34,0.537171,49070,0.372396,34018,0.090433,8261,0.293426,9781
35,0.537427,49123,0.364503,33317,0.09807,8964,0.293426,9781
36,0.537622,49094,0.364872,33319,0.097506,8904,0.293426,9781
37,0.544372,49724,0.355488,32471,0.10014,9147,0.293426,9781
38,0.536661,49032,0.364034,33260,0.099305,9073,0.293426,9781
39,0.53617,48970,0.361611,33027,0.102219,9336,0.293426,9781
40,0.530776,48471,0.373649,34122,0.095575,8728,0.293426,9781
41,0.529748,48393,0.372224,34003,0.098028,8955,0.293426,9781
42,0.534422,48789,0.370861,33857,0.094717,8647,0.293426,9781
43,0.542096,49540,0.3586,32771,0.099304,9075,0.293426,9781
44,0.536789,49055,0.359968,32896,0.103243,9435,0.293426,9781
45,0.535261,48895,0.366937,33519,0.097802,8934,0.293426,9781
46,0.522696,47742,0.373897,34151,0.103407,9445,0.293426,9781
47,0.533747,48769,0.363901,33250,0.102352,9352,0.293426,9781
48,0.52723,48134,0.371473,33914,0.101297,9248,0.293426,9781
49,0.527157,48131,0.369364,33724,0.10348,9448,0.293426,9781
50,0.526664,48086,0.371762,33943,0.101574,9274,0.293426,9781
51,0.526526,48055,0.371346,33892,0.102128,9321,0.293426,9781
52,0.522573,47678,0.374552,34173,0.102875,9386,0.293426,9781
53,0.516915,47183,0.378613,34559,0.104472,9536,0.293426,9781
54,0.524952,47915,0.371044,33867,0.104004,9493,0.293426,9781
55,0.520822,47549,0.374671,34206,0.104506,9541,0.293426,9781
56,0.524647,47884,0.370509,33816,0.104844,9569,0.293426,9781
57,0.524735,47913,0.368496,33647,0.106769,9749,0.293426,9781
58,0.52155,47606,0.373431,34086,0.10502,9586,0.293426,9781
59,0.520199,47476,0.374218,34153,0.105583,9636,0.293426,9781
60,0.527997,48175,0.367149,33499,0.104854,9567,0.293426,9781
61,0.527592,48156,0.366146,33420,0.106261,9699,0.293426,9781
62,0.528984,48292,0.366111,33423,0.104905,9577,0.293426,9781
63,0.526176,48042,0.366413,33455,0.10741,9807,0.293426,9781
64,0.526775,48103,0.365993,33421,0.107232,9792,0.293426,9781
65,0.523603,47805,0.36977,33760,0.106627,9735,0.293426,9781
66,0.520964,47576,0.371735,33948,0.1073,9799,0.293426,9781
67,0.521728,47640,0.372196,33986,0.106076,9686,0.293426,9781
68,0.522203,47674,0.372084,33969,0.105713,9651,0.293426,9781
69,0.523486,47789,0.370698,33841,0.105817,9660,0.293426,9781
