epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.7941,1.3373,1.73378,1.23122,0.64668,0.57669,0.64239,0.38981,1.18122,1.2784,1.10646,0.00331373,0.00331373,0.00331373
2,158.948,1.32645,1.34981,1.16861,0.52289,0.48185,0.48414,0.25149,1.47103,1.84486,1.24651,0.00655305,0.00655305,0.00655305
3,241.719,1.47627,1.52437,1.23603,0.39656,0.36955,0.34213,0.17829,1.60651,5.22459,1.4312,0.00969809,0.00969809,0.00969809
4,322.456,1.54087,1.62263,1.27576,0.46991,0.42685,0.40903,0.21404,1.54763,3.28866,1.35786,0.00957571,0.00957571,0.00957571
5,401.744,1.46799,1.49692,1.23679,0.58873,0.54014,0.57153,0.32739,1.40532,1.51279,1.26417,0.00943429,0.00943429,0.00943429
6,480.883,1.42399,1.41473,1.21282,0.61599,0.5445,0.59344,0.34726,1.34994,1.45494,1.21801,0.00929286,0.00929286,0.00929286
7,558.631,1.39209,1.36574,1.19711,0.64441,0.55846,0.61435,0.36493,1.29846,1.61634,1.19441,0.00915143,0.00915143,0.00915143
8,636.361,1.35967,1.31914,1.17942,0.68527,0.57684,0.65865,0.39923,1.25066,1.19989,1.17443,0.00901,0.00901,0.00901
9,713.946,1.33277,1.27863,1.16701,0.68079,0.60958,0.67634,0.41488,1.21477,1.17188,1.14457,0.00886857,0.00886857,0.00886857
10,790.748,1.31555,1.24247,1.16042,0.68575,0.6031,0.67557,0.40864,1.23346,1.24477,1.15837,0.00872714,0.00872714,0.00872714
11,867.591,1.30762,1.23093,1.15945,0.70676,0.62539,0.69444,0.42544,1.22476,1.1367,1.14981,0.00858571,0.00858571,0.00858571
12,945.064,1.28809,1.1985,1.14854,0.71208,0.63261,0.70643,0.43661,1.20127,1.11313,1.13826,0.00844429,0.00844429,0.00844429
13,1023.53,1.27043,1.17717,1.13774,0.71184,0.64127,0.71196,0.44424,1.19275,1.07558,1.13168,0.00830286,0.00830286,0.00830286
14,1100.93,1.25262,1.15341,1.13228,0.72116,0.64669,0.72266,0.45696,1.19399,1.04355,1.12579,0.00816143,0.00816143,0.00816143
15,1179.33,1.24797,1.15141,1.13242,0.71626,0.64813,0.72138,0.45654,1.1541,1.0531,1.11784,0.00802,0.00802,0.00802
16,1257.81,1.23438,1.12675,1.12626,0.73837,0.65917,0.74369,0.47669,1.1311,1.01408,1.1062,0.00787857,0.00787857,0.00787857
17,1336.46,1.22991,1.11059,1.12019,0.74082,0.65162,0.74096,0.47855,1.12681,0.99794,1.10546,0.00773714,0.00773714,0.00773714
18,1415.12,1.2191,1.08701,1.11863,0.73692,0.6602,0.74422,0.48023,1.1208,1.01886,1.10256,0.00759571,0.00759571,0.00759571
19,1493.42,1.21397,1.08177,1.11672,0.75165,0.65404,0.74939,0.49201,1.11309,0.97787,1.0996,0.00745429,0.00745429,0.00745429
20,1570.72,1.20733,1.06359,1.10917,0.7374,0.67268,0.75258,0.48581,1.10309,0.99747,1.09377,0.00731286,0.00731286,0.00731286
21,1648.83,1.19344,1.05606,1.10547,0.76278,0.6702,0.76546,0.50276,1.0992,0.95059,1.08999,0.00717143,0.00717143,0.00717143
22,1727.33,1.18565,1.0472,1.1016,0.7511,0.67755,0.77011,0.50724,1.08881,0.93851,1.08254,0.00703,0.00703,0.00703
23,1805.98,1.18062,1.0316,1.09927,0.75714,0.69338,0.77152,0.50975,1.08707,0.93677,1.08277,0.00688857,0.00688857,0.00688857
24,1884.35,1.17991,1.01698,1.0971,0.77249,0.6825,0.77466,0.50756,1.08808,0.92323,1.081,0.00674714,0.00674714,0.00674714
25,1962.45,1.16622,1.00481,1.09128,0.76728,0.68709,0.77427,0.51287,1.07657,0.91784,1.08131,0.00660571,0.00660571,0.00660571
26,2039.16,1.16807,1.00341,1.09313,0.76498,0.6925,0.77479,0.51293,1.08414,0.92401,1.08441,0.00646429,0.00646429,0.00646429
27,2116.96,1.14818,0.98092,1.08537,0.77356,0.69315,0.78444,0.51847,1.0674,0.90876,1.07202,0.00632286,0.00632286,0.00632286
28,2194.01,1.14739,0.97519,1.08177,0.76863,0.69604,0.78314,0.52063,1.06415,0.90249,1.07035,0.00618143,0.00618143,0.00618143
29,2272.73,1.14251,0.96534,1.07924,0.77755,0.69531,0.79223,0.53173,1.05767,0.87411,1.07047,0.00604,0.00604,0.00604
30,2351.03,1.14022,0.96022,1.08199,0.77147,0.69844,0.78929,0.53297,1.05119,0.88245,1.06755,0.00589857,0.00589857,0.00589857
31,2428.45,1.13043,0.94645,1.07759,0.77692,0.70781,0.79466,0.53427,1.04597,0.87292,1.06863,0.00575714,0.00575714,0.00575714
32,2506.46,1.12306,0.93035,1.07232,0.77397,0.71549,0.79752,0.53671,1.04296,0.86793,1.06293,0.00561571,0.00561571,0.00561571
33,2583.19,1.12583,0.92945,1.0756,0.78985,0.70361,0.79914,0.53908,1.04128,0.85834,1.06359,0.00547429,0.00547429,0.00547429
34,2660.2,1.11469,0.91977,1.06587,0.78413,0.71981,0.80401,0.54202,1.03224,0.84938,1.06076,0.00533286,0.00533286,0.00533286
35,2738.16,1.11165,0.92028,1.06752,0.786,0.7145,0.80184,0.54129,1.03393,0.85842,1.05672,0.00519143,0.00519143,0.00519143
36,2814.9,1.10354,0.90634,1.06262,0.77947,0.71938,0.80122,0.54093,1.03334,0.86161,1.05968,0.00505,0.00505,0.00505
37,2891.5,1.10009,0.9004,1.06275,0.78586,0.71116,0.80192,0.54248,1.02997,0.84841,1.05964,0.00490857,0.00490857,0.00490857
38,2968.52,1.09757,0.89214,1.06123,0.79396,0.71532,0.80915,0.54795,1.03138,0.84025,1.05719,0.00476714,0.00476714,0.00476714
