epoch,fg_share_s8,fg_count_s8,fg_share_s16,fg_count_s16,fg_share_s32,fg_count_s32
0,0.595083,305631,0.341947,175622,0.06297,32341
1,0.549854,331652,0.357118,215401,0.093028,56111
2,0.578363,351018,0.346511,210303,0.075126,45595
3,0.596693,354480,0.331405,196879,0.071902,42715
4,0.593319,358470,0.337513,203918,0.069168,41790
5,0.593802,358740,0.33059,199723,0.075608,45678
6,0.581613,353068,0.338099,205243,0.080288,48739
7,0.57872,349933,0.340038,205610,0.081241,49124
8,0.583191,356630,0.335029,204875,0.08178,50010
9,0.579153,350904,0.33454,202695,0.086307,52293
10,0.570219,342107,0.340513,204293,0.089268,53557
11,0.581025,355363,0.336889,206046,0.082086,50205
12,0.569295,347635,0.344238,210206,0.086467,52800
13,0.570919,346191,0.338795,205437,0.090286,54747
14,0.563162,343587,0.343335,209470,0.093502,57046
15,0.566354,340664,0.341243,205259,0.092403,55581
16,0.568949,345345,0.337415,204807,0.093636,56836
17,0.564837,341804,0.339819,205637,0.095344,57696
18,0.564806,340803,0.34086,205674,0.094334,56921
19,0.562953,344514,0.343043,209934,0.094004,57528
20,0.55808,339264,0.346744,210790,0.095176,57859
21,0.560095,337222,0.341448,205579,0.098457,59279
22,0.56099,341140,0.341705,207792,0.097306,59172
23,0.562489,344649,0.344188,210891,0.093323,57181
24,0.56666,348180,0.335908,206396,0.097431,59866
25,0.563561,339427,0.338968,204157,0.097471,58706
26,0.561333,341865,0.342734,208733,0.095932,58425
27,0.560428,341780,0.340635,207738,0.098937,60337
28,0.560744,342755,0.340929,208393,0.098326,60102
29,0.555681,335614,0.344024,207780,0.100295,60575
30,0.557361,340272,0.342437,209060,0.100202,61174
31,0.561989,344702,0.339107,207995,0.098904,60664
32,0.556571,337995,0.342563,208032,0.100866,61254
33,0.563754,343329,0.338327,206043,0.097919,59633
34,0.555274,335503,0.342802,207125,0.101924,61584
35,0.560357,345003,0.342096,210623,0.097547,60058
36,0.556244,336690,0.34579,209304,0.097966,59298
37,0.555403,335829,0.346449,209483,0.098148,59346
38,0.557291,338544,0.340273,206710,0.102436,62228
39,0.558655,342067,0.34075,208643,0.100595,61595
40,0.556289,337036,0.340317,206186,0.103394,62643
41,0.550006,332488,0.343856,207867,0.106138,64162
42,0.548328,328278,0.345181,206656,0.106491,63755
43,0.558486,340331,0.340208,207316,0.101306,61734
44,0.554504,336384,0.341257,207020,0.10424,63236
45,0.557082,340174,0.34058,207970,0.102338,62491
46,0.553293,336603,0.341097,207511,0.10561,64249
47,0.555307,335115,0.338071,204018,0.106622,64344
48,0.552392,332266,0.342097,205773,0.105511,63465
49,0.553238,337850,0.339549,207355,0.107212,65472
50,0.550714,331041,0.340103,204440,0.109183,65631
51,0.550888,333188,0.34107,206286,0.108042,65346
52,0.55566,342862,0.337301,208127,0.107039,66047
53,0.556005,341614,0.337128,207134,0.106867,65660
54,0.546114,330291,0.346652,209656,0.107233,64855
55,0.551853,336946,0.341105,208269,0.107042,65357
56,0.547396,331629,0.34286,207715,0.109744,66486
57,0.54957,334441,0.341995,208121,0.108435,65988
58,0.546287,331056,0.343552,208196,0.110161,66759
59,0.550999,335555,0.338821,206340,0.11018,67099
60,0.495931,228324,0.376915,173530,0.127154,58541
61,0.500244,229578,0.369972,169792,0.129784,59562
62,0.49552,228049,0.375558,172840,0.128923,59333
63,0.497248,227792,0.371993,170412,0.130758,59901
64,0.496828,228030,0.371999,170737,0.131174,60205
65,0.496354,227484,0.371672,170341,0.131974,60485
66,0.498161,228532,0.370863,170134,0.130975,60085
67,0.4974,228484,0.37195,170858,0.13065,60015
68,0.495565,227359,0.374198,171677,0.130237,59751
69,0.495514,227046,0.372996,170908,0.13149,60249
