epoch,fg_share_s8,fg_count_s8,fg_share_s16,fg_count_s16,fg_share_s32,fg_count_s32
0,0.599037,309156,0.356028,183742,0.044934,23190
1,0.54878,334322,0.395894,241182,0.055326,33705
2,0.590415,362047,0.363395,222837,0.04619,28324
3,0.649979,390618,0.313358,188319,0.036662,22033
4,0.661315,399125,0.306332,184881,0.032353,19526
5,0.671332,408112,0.297195,180669,0.031473,19133
6,0.668699,405646,0.299533,181703,0.031768,19271
7,0.664582,401385,0.303423,183257,0.031995,19324
8,0.656771,395954,0.312351,188310,0.030878,18616
9,0.660323,400347,0.30879,187216,0.030888,18727
10,0.659958,398921,0.307593,185929,0.032449,19614
11,0.646627,392002,0.317966,192759,0.035408,21465
12,0.655088,402420,0.313948,192858,0.030964,19021
13,0.651603,395587,0.31822,193191,0.030176,18320
14,0.650469,397058,0.318557,194453,0.030974,18907
15,0.645297,389276,0.321611,194012,0.033092,19963
16,0.650541,397108,0.31879,194598,0.030669,18721
17,0.648889,388729,0.317478,190191,0.033634,20149
18,0.641885,386570,0.325304,195912,0.032811,19760
19,0.642705,391441,0.325902,198491,0.031393,19120
20,0.639393,388743,0.327872,199342,0.032736,19903
21,0.64692,389797,0.319054,192244,0.034026,20502
22,0.638222,390761,0.328118,200895,0.03366,20609
23,0.634501,384678,0.331143,200762,0.034356,20829
24,0.63218,384479,0.334523,203450,0.033298,20251
25,0.629507,378002,0.336849,202269,0.033643,20202
26,0.638174,388896,0.327707,199701,0.034119,20792
27,0.627349,383565,0.338546,206989,0.034105,20852
28,0.628671,380961,0.337742,204664,0.033587,20353
29,0.628192,375755,0.338248,202324,0.03356,20074
30,0.632402,384731,0.33522,203936,0.032379,19698
31,0.629614,383866,0.337881,206001,0.032505,19818
32,0.631299,385707,0.336545,205620,0.032157,19647
33,0.628677,384369,0.338226,206789,0.033097,20235
34,0.621628,373910,0.344668,207318,0.033704,20273
35,0.62405,381003,0.341854,208713,0.034096,20817
36,0.61733,374528,0.348353,211342,0.034317,20820
37,0.624404,377083,0.338804,204607,0.036792,22219
38,0.627119,378678,0.338636,204481,0.034246,20679
39,0.623854,381059,0.341783,208766,0.034362,20989
40,0.616915,375140,0.347922,211568,0.035163,21382
41,0.61657,374458,0.348162,211447,0.035268,21419
42,0.620236,372253,0.346903,208204,0.032862,19723
43,0.614461,374326,0.349692,213030,0.035847,21838
44,0.617647,377817,0.347946,212840,0.034407,21047
45,0.61783,377843,0.347199,212335,0.034971,21387
46,0.612272,372559,0.353075,214841,0.034653,21086
47,0.610988,369700,0.354743,214650,0.03427,20736
48,0.607637,366917,0.356772,215434,0.03559,21491
49,0.605001,370261,0.358517,219413,0.036482,22327
50,0.607077,367160,0.356412,215558,0.036511,22082
51,0.605965,362094,0.355601,212489,0.038434,22966
52,0.612955,372660,0.350817,213287,0.036229,22026
53,0.608789,372767,0.354442,217028,0.036769,22514
54,0.601691,363333,0.362997,219197,0.035312,21323
55,0.604265,369415,0.360577,220437,0.035158,21494
56,0.602681,364004,0.359535,217150,0.037785,22821
57,0.596477,361484,0.366928,222370,0.036595,22178
58,0.600529,368232,0.364608,223570,0.034863,21377
59,0.608542,368632,0.355378,215275,0.03608,21856
60,0.570238,261969,0.391088,179667,0.038674,17767
61,0.566405,259598,0.395345,181197,0.03825,17531
62,0.569113,261298,0.394616,181181,0.036271,16653
63,0.567389,259909,0.394923,180906,0.037688,17264
64,0.564063,258345,0.399647,183041,0.03629,16621
65,0.560674,256633,0.401005,183549,0.03832,17540
66,0.563162,257592,0.397857,181981,0.038981,17830
67,0.56112,257614,0.400234,183750,0.038647,17743
68,0.562511,257404,0.398608,182402,0.038881,17792
69,0.564887,259600,0.396152,182056,0.038961,17905
