epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.5778,0.35552,1.65214,0.29026,0.6493,0.57399,0.64191,0.39713,0.29635,1.21711,0.26857,0.00331224,0.00331224,0.00331224
2,158.516,0.34467,1.2871,0.27613,0.56922,0.48872,0.50621,0.26423,0.3815,1.99643,0.3153,0.00655158,0.00655158,0.00655158
3,241.161,0.39307,1.4403,0.29947,0.31017,0.40338,0.31897,0.14861,0.50295,inf,0.41245,0.00969664,0.00969664,0.00969664
4,320.279,0.43054,1.54192,0.32376,0.51307,0.47144,0.474,0.24516,0.44284,2.62623,0.36445,0.00957571,0.00957571,0.00957571
5,397.367,0.42283,1.4342,0.32603,0.57546,0.5256,0.54994,0.30078,0.37625,1.82108,0.32163,0.00943429,0.00943429,0.00943429
6,474.725,0.41739,1.36442,0.32765,0.60817,0.58534,0.6145,0.34734,0.35451,1.79781,0.30603,0.00929286,0.00929286,0.00929286
7,551.835,0.41059,1.30712,0.33019,0.65662,0.58553,0.63611,0.37479,0.34028,1.42399,0.29836,0.00915143,0.00915143,0.00915143
8,630.061,0.41056,1.26693,0.33574,0.64767,0.61402,0.6479,0.38558,0.32682,1.35464,0.29092,0.00901,0.00901,0.00901
9,707.636,0.41575,1.23291,0.34201,0.68319,0.62334,0.68012,0.40499,0.32257,1.26577,0.29003,0.00886857,0.00886857,0.00886857
10,786.583,0.42045,1.19942,0.34798,0.70668,0.61475,0.69332,0.42819,0.31379,1.11572,0.28451,0.00872714,0.00872714,0.00872714
11,865.452,0.42434,1.17526,0.35417,0.70477,0.62998,0.70061,0.43141,0.30848,1.11233,0.28265,0.00858571,0.00858571,0.00858571
12,942.517,0.4229,1.15099,0.35784,0.69863,0.6439,0.71158,0.44346,0.30109,1.18223,0.28062,0.00844429,0.00844429,0.00844429
13,1020.64,0.42923,1.12567,0.36416,0.70109,0.6483,0.71764,0.44249,0.31366,1.05783,0.28774,0.00830286,0.00830286,0.00830286
14,1098.9,0.43395,1.10974,0.37058,0.71279,0.63506,0.72155,0.45094,0.30167,1.03875,0.27691,0.00816143,0.00816143,0.00816143
15,1177.49,0.43798,1.08827,0.37691,0.73461,0.66069,0.74302,0.46892,0.30394,1.01475,0.29071,0.00802,0.00802,0.00802
16,1255.79,0.44353,1.07642,0.3843,0.74591,0.65599,0.75016,0.47701,0.28816,0.97693,0.27017,0.00787857,0.00787857,0.00787857
17,1333.63,0.446,1.0588,0.38844,0.74778,0.67744,0.75581,0.48175,0.28609,0.95985,0.27151,0.00773714,0.00773714,0.00773714
18,1410.58,0.45328,1.04594,0.39834,0.77046,0.67956,0.76712,0.49124,0.28235,0.92052,0.26786,0.00759571,0.00759571,0.00759571
19,1489.41,0.45985,1.03901,0.4059,0.75814,0.6725,0.75956,0.48906,0.28188,0.93755,0.26762,0.00745429,0.00745429,0.00745429
20,1566.74,0.46375,1.01897,0.41014,0.76797,0.66392,0.7642,0.49551,0.27767,0.93207,0.26467,0.00731286,0.00731286,0.00731286
21,1644.85,0.46767,1.00034,0.41818,0.75745,0.68676,0.76641,0.495,0.27952,0.92618,0.26626,0.00717143,0.00717143,0.00717143
22,1722.27,0.47403,0.99515,0.42362,0.76967,0.67503,0.77079,0.49828,0.27865,0.92656,0.26748,0.00703,0.00703,0.00703
23,1800.58,0.4813,0.98353,0.4308,0.76057,0.68697,0.77269,0.50163,0.27285,0.92231,0.26323,0.00688857,0.00688857,0.00688857
24,1878.33,0.48556,0.96613,0.4376,0.78031,0.68844,0.78267,0.51068,0.26989,0.89499,0.26206,0.00674714,0.00674714,0.00674714
25,1956.43,0.48851,0.95321,0.44281,0.78309,0.69281,0.78583,0.51232,0.27023,0.88012,0.26117,0.00660571,0.00660571,0.00660571
26,2033.72,0.49655,0.95157,0.45026,0.77988,0.70481,0.78837,0.51596,0.26738,0.87429,0.26222,0.00646429,0.00646429,0.00646429
27,2111.91,0.49657,0.93,0.45454,0.76968,0.70841,0.7914,0.52376,0.27658,0.84975,0.2669,0.00632286,0.00632286,0.00632286
28,2190.11,0.50411,0.92746,0.46275,0.77782,0.69941,0.78797,0.52159,0.26679,0.8716,0.26111,0.00618143,0.00618143,0.00618143
29,2267.94,0.508,0.91698,0.46718,0.7742,0.71335,0.79232,0.52094,0.26915,0.85616,0.26021,0.00604,0.00604,0.00604
30,2345.93,0.51635,0.91128,0.47679,0.77402,0.70583,0.79307,0.52565,0.26762,0.84598,0.26263,0.00589857,0.00589857,0.00589857
31,2422.87,0.51926,0.89354,0.48086,0.78026,0.71205,0.79337,0.52268,0.26455,0.85324,0.25986,0.00575714,0.00575714,0.00575714
32,2499.22,0.52575,0.88817,0.48837,0.79151,0.71501,0.80221,0.53196,0.27953,0.83954,0.27677,0.00561571,0.00561571,0.00561571
33,2576.52,0.53489,0.88497,0.49523,0.78692,0.71269,0.80174,0.53384,0.28007,0.82815,0.27857,0.00547429,0.00547429,0.00547429
34,2653.86,0.53947,0.86914,0.5005,0.80055,0.70702,0.80227,0.53722,0.26031,0.82448,0.25651,0.00533286,0.00533286,0.00533286
35,2732.38,0.54242,0.8589,0.50865,0.78981,0.71727,0.80734,0.53831,0.25992,0.82365,0.25658,0.00519143,0.00519143,0.00519143
36,2810.14,0.55112,0.85505,0.51603,0.78687,0.71717,0.80325,0.53542,0.26011,0.82299,0.25736,0.00505,0.00505,0.00505
37,2888.18,0.54901,0.84119,0.51968,0.78696,0.72859,0.8054,0.53999,0.26308,0.81733,0.26234,0.00490857,0.00490857,0.00490857
38,2966.56,0.55755,0.84184,0.52925,0.79523,0.71938,0.81106,0.54672,0.25586,0.8107,0.25539,0.00476714,0.00476714,0.00476714
39,3043.86,0.56392,0.8367,0.53411,0.80311,0.72106,0.81601,0.54848,0.25467,0.79823,0.25409,0.00462571,0.00462571,0.00462571
40,3122.29,0.5668,0.81439,0.53927,0.78762,0.73465,0.81338,0.54762,0.25334,0.79182,0.25379,0.00448429,0.00448429,0.00448429
41,3199.37,0.57486,0.81652,0.5467,0.78309,0.7341,0.81095,0.54776,0.25278,0.79032,0.25258,0.00434286,0.00434286,0.00434286
42,3277.51,0.5818,0.80574,0.55347,0.79158,0.73357,0.81531,0.55118,0.25298,0.78825,0.25322,0.00420143,0.00420143,0.00420143
43,3354.87,0.58343,0.80434,0.55742,0.78917,0.73912,0.81505,0.55243,0.25106,0.79255,0.25192,0.00406,0.00406,0.00406
44,3432.44,0.58732,0.78918,0.56563,0.81117,0.73138,0.81946,0.5569,0.2517,0.77651,0.25221,0.00391857,0.00391857,0.00391857
45,3509.02,0.59383,0.78709,0.57154,0.79745,0.7377,0.81479,0.55277,0.25458,0.79136,0.25642,0.00377714,0.00377714,0.00377714
46,3585.36,0.5982,0.77334,0.57684,0.80582,0.73051,0.81821,0.55555,0.26608,0.78839,0.27051,0.00363571,0.00363571,0.00363571
47,3661.9,0.60471,0.77004,0.58476,0.8092,0.7294,0.81721,0.55515,0.25491,0.77679,0.25657,0.00349429,0.00349429,0.00349429
48,3738.29,0.6076,0.75993,0.59017,0.80545,0.73375,0.81803,0.55389,0.26947,0.78245,0.27478,0.00335286,0.00335286,0.00335286
49,3815,0.6125,0.75047,0.59809,0.80073,0.7334,0.81567,0.55319,0.25478,0.78006,0.25724,0.00321143,0.00321143,0.00321143
50,3891.85,0.61795,0.74751,0.60217,0.80531,0.73928,0.82021,0.55844,0.26422,0.76857,0.26942,0.00307,0.00307,0.00307
51,3968.69,0.6224,0.7374,0.60867,0.79253,0.74619,0.81853,0.55692,0.24946,0.76885,0.25151,0.00292857,0.00292857,0.00292857
52,4046.43,0.62307,0.7269,0.61538,0.79625,0.74516,0.81903,0.55662,0.24943,0.76825,0.25169,0.00278714,0.00278714,0.00278714
53,4124.22,0.63078,0.72273,0.62009,0.80582,0.73539,0.82034,0.55945,0.26665,0.76847,0.27326,0.00264571,0.00264571,0.00264571
54,4202.24,0.63452,0.71709,0.62661,0.79856,0.73807,0.82102,0.56096,0.26746,0.77002,0.27387,0.00250429,0.00250429,0.00250429
55,4280.31,0.63332,0.70544,0.63172,0.80979,0.73502,0.82104,0.55822,0.26599,0.76868,0.27205,0.00236286,0.00236286,0.00236286
56,4357.07,0.64107,0.69649,0.63696,0.80883,0.73843,0.823,0.55977,0.25405,0.76656,0.25665,0.00222143,0.00222143,0.00222143
57,4434.67,0.65082,0.69966,0.64656,0.81155,0.74035,0.82135,0.55925,0.26486,0.76599,0.27076,0.00208,0.00208,0.00208
58,4512.3,0.64832,0.68347,0.64902,0.80281,0.74666,0.82164,0.56162,0.25273,0.76412,0.25612,0.00193857,0.00193857,0.00193857
59,4589.56,0.65143,0.68277,0.65224,0.81056,0.73358,0.82334,0.56322,0.26479,0.76078,0.27165,0.00179714,0.00179714,0.00179714
60,4666.59,0.65786,0.67718,0.66013,0.80075,0.74417,0.82224,0.56173,0.26463,0.75962,0.2718,0.00165571,0.00165571,0.00165571
61,4747.61,0.64306,0.60299,0.66833,0.8027,0.74563,0.82145,0.56133,0.26426,0.76221,0.27209,0.00151429,0.00151429,0.00151429
