epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0029,0.63116,2.18525,0.48293,0.3973,0.35923,0.32295,0.15107,0.6793,3.35558,0.61464,0.000472331,0.000472331,0.000472331
2,111.895,0.64005,1.94512,0.48795,0.29153,0.29837,0.24321,0.11211,0.7804,4.20678,0.70763,0.000935247,0.000935247,0.000935247
3,168.096,0.65637,1.9751,0.50489,0.40885,0.37963,0.33784,0.1627,0.67904,3.44867,0.58193,0.00138469,0.00138469,0.00138469
4,223.899,0.65233,1.90988,0.50284,0.4794,0.45641,0.43562,0.21725,0.63835,3.14952,0.54863,0.00136837,0.00136837,0.00136837
5,279.502,0.63158,1.82038,0.49242,0.58351,0.49135,0.52089,0.27621,0.54281,1.89852,0.4819,0.00134816,0.00134816,0.00134816
6,335.041,0.61894,1.7271,0.48856,0.56789,0.49475,0.51249,0.27298,0.53462,1.92512,0.46942,0.00132795,0.00132795,0.00132795
7,390.528,0.61699,1.67113,0.48818,0.61449,0.53706,0.5752,0.31277,0.55359,1.72037,0.50068,0.00130774,0.00130774,0.00130774
8,446.221,0.61322,1.62922,0.48849,0.65178,0.54591,0.59011,0.32935,0.53578,1.57839,0.4821,0.00128753,0.00128753,0.00128753
9,501.68,0.60909,1.58269,0.48794,0.62634,0.53659,0.58889,0.32657,0.53931,1.50013,0.48085,0.00126732,0.00126732,0.00126732
10,557.203,0.60836,1.55398,0.49026,0.66512,0.54838,0.60796,0.34521,0.52178,1.45771,0.47381,0.00124711,0.00124711,0.00124711
11,612.675,0.59833,1.51751,0.48771,0.60257,0.54051,0.57877,0.33502,0.52561,1.49389,0.47606,0.0012269,0.0012269,0.0012269
12,668.021,0.60308,1.49186,0.49222,0.64357,0.58027,0.62676,0.35775,0.51937,1.33216,0.47523,0.00120669,0.00120669,0.00120669
13,723.366,0.60251,1.47787,0.49506,0.66526,0.58911,0.64334,0.37609,0.50117,1.30797,0.46485,0.00118648,0.00118648,0.00118648
14,778.797,0.60633,1.44783,0.49689,0.66691,0.58861,0.64472,0.36916,0.51569,1.36201,0.47072,0.00116627,0.00116627,0.00116627
15,834.15,0.60864,1.41801,0.50059,0.66898,0.59096,0.64906,0.3825,0.49275,1.30769,0.45525,0.00114606,0.00114606,0.00114606
16,889.529,0.61001,1.3979,0.50356,0.69099,0.57859,0.64743,0.38294,0.49265,1.30357,0.45525,0.00112585,0.00112585,0.00112585
17,944.937,0.61317,1.38837,0.50611,0.6593,0.59229,0.65101,0.38599,0.48039,1.28218,0.44786,0.00110564,0.00110564,0.00110564
18,1000.36,0.60913,1.36339,0.50737,0.69942,0.57544,0.65835,0.38921,0.46255,1.28507,0.42949,0.00108543,0.00108543,0.00108543
19,1055.75,0.60934,1.34658,0.5103,0.66369,0.61918,0.67349,0.40471,0.47185,1.22106,0.44348,0.00106522,0.00106522,0.00106522
20,1111.08,0.61723,1.31497,0.5162,0.68384,0.61082,0.67526,0.40505,0.4578,1.25754,0.42845,0.00104501,0.00104501,0.00104501
