epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9009,0.91481,2.28136,0.6041,0.47798,0.41681,0.40864,0.19234,1.11399,2.67922,0.91387,0.000472697,0.000472697,0.000472697
2,135.382,1.10329,2.02819,0.68379,0.3826,0.39633,0.34397,0.14803,1.36119,2.65968,1.00774,0.000935609,0.000935609,0.000935609
3,203.168,1.14743,2.05151,0.71775,0.33646,0.34543,0.28906,0.12197,1.79266,5.9855,1.42266,0.00138505,0.00138505,0.00138505
4,272.069,1.14535,1.96488,0.71693,0.47327,0.40235,0.3997,0.19045,1.15217,2.31796,0.85813,0.00136837,0.00136837,0.00136837
5,337.847,1.1362,1.8755,0.71079,0.50678,0.44469,0.45233,0.19879,1.27554,1.79865,0.98771,0.00134816,0.00134816,0.00134816
6,405.213,1.09876,1.82537,0.70002,0.58416,0.46795,0.51195,0.23706,1.23939,1.94861,0.9525,0.00132795,0.00132795,0.00132795
7,475.678,1.10241,1.75768,0.70017,0.53778,0.4485,0.45398,0.13476,1.52509,1.7104,1.04365,0.00130774,0.00130774,0.00130774
8,544.223,1.11042,1.73149,0.70842,0.62352,0.53162,0.59569,0.30007,0.98796,1.56649,0.75533,0.00128753,0.00128753,0.00128753
9,609.94,1.10483,1.68447,0.7032,0.65582,0.55286,0.61044,0.3175,1.0016,1.50071,0.75024,0.00126732,0.00126732,0.00126732
10,675.595,1.09726,1.65051,0.70241,0.64756,0.54186,0.60473,0.3134,1.00803,1.45527,0.76484,0.00124711,0.00124711,0.00124711
11,741.869,1.06698,1.62357,0.68993,0.67274,0.55354,0.62753,0.33117,1.02044,1.40957,0.74528,0.0012269,0.0012269,0.0012269
12,811.592,1.08253,1.60675,0.70094,0.65957,0.57433,0.63406,0.33118,0.93979,1.39358,0.727,0.00120669,0.00120669,0.00120669
13,877.445,1.0842,1.56722,0.70406,0.64211,0.5716,0.62507,0.32768,0.98303,1.39029,0.74696,0.00118648,0.00118648,0.00118648
14,942.226,1.07931,1.55079,0.70325,0.65028,0.59154,0.63845,0.34619,0.92233,1.35016,0.71545,0.00116627,0.00116627,0.00116627
15,1007.97,1.05808,1.52119,0.69761,0.63386,0.58126,0.63517,0.34332,0.95145,1.38963,0.73096,0.00114606,0.00114606,0.00114606
16,1070.61,1.07163,1.52234,0.70633,0.67044,0.60254,0.65891,0.36082,0.95539,1.3834,0.73,0.00112585,0.00112585,0.00112585
17,1133.29,1.0708,1.49699,0.70754,0.67066,0.59982,0.66303,0.36669,0.96504,1.33533,0.74127,0.00110564,0.00110564,0.00110564
18,1194.4,1.06449,1.48904,0.70694,0.65065,0.60144,0.6545,0.34884,0.93536,1.33003,0.72338,0.00108543,0.00108543,0.00108543
19,1254.48,1.08219,1.46669,0.72008,0.63885,0.60879,0.66367,0.36709,0.89834,1.29261,0.70871,0.00106522,0.00106522,0.00106522
20,1314.92,1.0887,1.45173,0.72476,0.65392,0.61285,0.67256,0.38219,0.93092,1.29437,0.73376,0.00104501,0.00104501,0.00104501
21,1377.94,1.06473,1.44217,0.71599,0.68976,0.58321,0.66034,0.37364,0.95798,1.31276,0.74755,0.0010248,0.0010248,0.0010248
22,1440.36,1.08275,1.42336,0.72627,0.66628,0.61984,0.67925,0.38528,0.89308,1.28455,0.70597,0.00100459,0.00100459,0.00100459
