epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0649,0.70435,0.60402,0.52725,0.32156,0.40747,0.30911,0.15113,0.74834,2.04713,0.74737,0.000472697,0.000472697,0.000472697
2,158.493,0.68383,0.52902,0.52769,0.32336,0.35146,0.28855,0.13425,0.94504,3.32383,0.9294,0.000935609,0.000935609,0.000935609
3,234.975,0.7013,0.54138,0.54183,0.32853,0.33429,0.27016,0.12441,0.73371,6.90559,0.66004,0.00138505,0.00138505,0.00138505
4,312.485,0.69191,0.53154,0.53969,0.33509,0.36932,0.26665,0.13679,0.72,1.81641,0.6784,0.00136837,0.00136837,0.00136837
5,390.976,0.68177,0.52692,0.53169,0.35065,0.39102,0.32949,0.18368,0.66958,1.02631,0.6235,0.00134816,0.00134816,0.00134816
6,463.936,0.6699,0.51915,0.52974,0.37825,0.43233,0.34695,0.18484,0.6141,0.99748,0.5641,0.00132795,0.00132795,0.00132795
7,531.963,0.67263,0.5147,0.53231,0.40041,0.47016,0.38717,0.2238,0.59766,0.62837,0.57711,0.00130774,0.00130774,0.00130774
8,607.845,0.67725,0.51005,0.53686,0.49536,0.4611,0.4579,0.2652,0.60692,0.66243,0.55541,0.00128753,0.00128753,0.00128753
9,680.242,0.67685,0.50448,0.53574,0.4704,0.49122,0.45669,0.26129,0.60256,0.6752,0.54015,0.00126732,0.00126732,0.00126732
10,748.539,0.67633,0.50234,0.54052,0.46399,0.4652,0.44168,0.26389,0.62303,0.62471,0.60078,0.00124711,0.00124711,0.00124711
11,816.712,0.67299,0.50193,0.5409,0.44147,0.45759,0.43526,0.25979,0.55972,0.59188,0.52769,0.0012269,0.0012269,0.0012269
12,883.249,0.68681,0.4994,0.55205,0.46968,0.4729,0.44927,0.26457,0.5885,0.53203,0.55989,0.00120669,0.00120669,0.00120669
13,953.786,0.6871,0.49667,0.55151,0.45302,0.50039,0.45687,0.27352,0.58247,0.61958,0.53607,0.00118648,0.00118648,0.00118648
14,1022.81,0.69149,0.49357,0.5558,0.52506,0.4745,0.51053,0.30659,0.57175,0.50653,0.54876,0.00116627,0.00116627,0.00116627
15,1091.37,0.68729,0.49169,0.56,0.49555,0.48687,0.49266,0.29863,0.54328,0.55902,0.5173,0.00114606,0.00114606,0.00114606
16,1158.33,0.69477,0.48927,0.56455,0.49672,0.53145,0.49033,0.29446,0.54252,0.56973,0.52471,0.00112585,0.00112585,0.00112585
17,1226.12,0.69925,0.48347,0.56876,0.50543,0.49802,0.50446,0.31047,0.54352,0.5576,0.5144,0.00110564,0.00110564,0.00110564
18,1293.34,0.7037,0.486,0.5715,0.44525,0.51453,0.46206,0.28717,0.5455,0.52256,0.51485,0.00108543,0.00108543,0.00108543
19,1360.96,0.70895,0.4842,0.58145,0.46553,0.52986,0.48879,0.30451,0.53629,0.50819,0.51323,0.00106522,0.00106522,0.00106522
20,1426.54,0.71418,0.48074,0.58238,0.49878,0.54269,0.52386,0.33231,0.51936,0.48206,0.50422,0.00104501,0.00104501,0.00104501
21,1491.54,0.71109,0.48177,0.58266,0.50364,0.53732,0.51838,0.32144,0.54582,0.48443,0.54495,0.0010248,0.0010248,0.0010248
22,1556.45,0.72272,0.47814,0.59169,0.48665,0.50928,0.48987,0.31172,0.53236,0.45501,0.50101,0.00100459,0.00100459,0.00100459
23,1622.12,0.72381,0.47782,0.59243,0.54168,0.50718,0.52653,0.33427,0.52441,0.46965,0.49817,0.000984377,0.000984377,0.000984377
24,1687.07,0.72834,0.47983,0.59937,0.4986,0.57348,0.5314,0.32975,0.53939,0.46733,0.51342,0.000964167,0.000964167,0.000964167
25,1753.43,0.73062,0.47363,0.60409,0.4961,0.5364,0.52711,0.3332,0.52412,0.47531,0.50816,0.000943957,0.000943957,0.000943957
26,1819.24,0.74087,0.47366,0.60928,0.52187,0.55554,0.5471,0.35186,0.53502,0.48124,0.50757,0.000923746,0.000923746,0.000923746
27,1886.96,0.74333,0.47171,0.61045,0.51426,0.56434,0.53523,0.33878,0.53886,0.46658,0.51315,0.000903536,0.000903536,0.000903536
28,1954.04,0.75106,0.46755,0.61594,0.53381,0.52686,0.53803,0.34442,0.50653,0.47014,0.49485,0.000883326,0.000883326,0.000883326
29,2018.96,0.76144,0.47066,0.62438,0.50231,0.56099,0.53589,0.33931,0.52194,0.48374,0.50518,0.000863116,0.000863116,0.000863116
30,2084.21,0.75381,0.46988,0.61958,0.51452,0.57194,0.55912,0.35953,0.50212,0.46728,0.49745,0.000842906,0.000842906,0.000842906
31,2149.69,0.75861,0.47239,0.63284,0.52718,0.53323,0.55626,0.36039,0.52058,0.4707,0.50006,0.000822696,0.000822696,0.000822696
32,2215.59,0.75883,0.46512,0.6321,0.4997,0.56665,0.54713,0.35481,0.52445,0.46456,0.50721,0.000802486,0.000802486,0.000802486
33,2280.33,0.76944,0.46459,0.63677,0.50931,0.56387,0.53617,0.34818,0.50983,0.45396,0.49614,0.000782275,0.000782275,0.000782275
