epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1361,3.0288,3.2531,3.2632,0.59518,0.25141,0.3359,0.13509,2.22108,2.57884,2.5011,0.000472697,0.000472697,0.000472697
2,116.384,2.17922,2.30714,2.07256,0.39419,0.36193,0.30994,0.12743,2.17637,4.87096,2.31652,0.000937286,0.000937286,0.000937286
3,172.967,2.07087,2.17939,1.90451,0.42742,0.36217,0.33076,0.13546,2.14661,2.94382,2.20946,0.00139009,0.00139009,0.00139009
4,233.097,1.95712,2.05417,1.79561,0.43086,0.38542,0.3562,0.15597,2.01257,2.9026,2.15167,0.00137595,0.00137595,0.00137595
5,289.958,1.88075,1.9431,1.72302,0.50844,0.46852,0.46905,0.23385,1.7426,1.97891,1.87997,0.00135826,0.00135826,0.00135826
6,348.333,1.82354,1.87904,1.68562,0.55603,0.45788,0.4816,0.22713,1.82615,2.09332,1.88315,0.00134058,0.00134058,0.00134058
7,405.295,1.7785,1.79943,1.63846,0.56776,0.48839,0.52011,0.24529,1.75704,1.95617,1.81435,0.0013229,0.0013229,0.0013229
8,463.972,1.74618,1.75018,1.61607,0.55112,0.49682,0.53514,0.29316,1.61469,1.77904,1.77864,0.00130521,0.00130521,0.00130521
9,522.752,1.71962,1.7017,1.59163,0.6373,0.49477,0.55572,0.31808,1.49283,1.81786,1.6804,0.00128753,0.00128753,0.00128753
10,581.009,1.69712,1.66586,1.57261,0.59583,0.47498,0.52759,0.29775,1.49985,1.67786,1.6782,0.00126985,0.00126985,0.00126985
11,639.561,1.66158,1.63221,1.55526,0.62467,0.50996,0.57081,0.33037,1.48655,1.70543,1.67311,0.00125216,0.00125216,0.00125216
12,698.205,1.64812,1.59857,1.54414,0.6297,0.51847,0.58327,0.33497,1.50257,1.62294,1.66827,0.00123448,0.00123448,0.00123448
13,757.329,1.62667,1.57229,1.52623,0.59486,0.53425,0.60163,0.33424,1.54132,1.64808,1.65812,0.00121679,0.00121679,0.00121679
14,815.094,1.60807,1.54337,1.51468,0.63583,0.53278,0.59343,0.35017,1.42269,1.53051,1.62654,0.00119911,0.00119911,0.00119911
15,874.609,1.58845,1.51719,1.50142,0.59323,0.58019,0.60534,0.36294,1.37342,1.48741,1.59393,0.00118143,0.00118143,0.00118143
16,933.37,1.58106,1.49786,1.49967,0.62651,0.56856,0.613,0.36142,1.41522,1.55767,1.6075,0.00116374,0.00116374,0.00116374
17,990.597,1.56615,1.48218,1.48786,0.66484,0.57045,0.64583,0.38221,1.34501,1.40462,1.57022,0.00114606,0.00114606,0.00114606
18,1048.85,1.5572,1.45893,1.4795,0.6447,0.56003,0.623,0.36906,1.39683,1.4994,1.61641,0.00112837,0.00112837,0.00112837
19,1105.27,1.55056,1.43795,1.48265,0.61802,0.57955,0.6287,0.38214,1.34407,1.39478,1.55241,0.00111069,0.00111069,0.00111069
20,1162.95,1.53088,1.41871,1.46086,0.69564,0.56341,0.64861,0.39603,1.3093,1.36662,1.53567,0.00109301,0.00109301,0.00109301
21,1219.45,1.51737,1.40136,1.45598,0.68582,0.58909,0.6673,0.4095,1.33222,1.32402,1.55269,0.00107532,0.00107532,0.00107532
22,1277.11,1.5171,1.38994,1.45201,0.65711,0.58545,0.65223,0.39085,1.30494,1.3553,1.52294,0.00105764,0.00105764,0.00105764
23,1335.64,1.496,1.37453,1.43756,0.69295,0.59848,0.67457,0.41806,1.29935,1.3039,1.51999,0.00103995,0.00103995,0.00103995
24,1394.34,1.48961,1.36126,1.43558,0.66937,0.60929,0.67055,0.4141,1.28119,1.31667,1.5158,0.00102227,0.00102227,0.00102227
25,1452.14,1.4813,1.34325,1.43237,0.69321,0.60009,0.67376,0.41564,1.2598,1.28606,1.49327,0.00100459,0.00100459,0.00100459
26,1510.84,1.47497,1.3307,1.4258,0.67899,0.59106,0.66289,0.413,1.25922,1.30941,1.48449,0.000986903,0.000986903,0.000986903
27,1568.22,1.46396,1.31683,1.41728,0.68932,0.60306,0.67901,0.42409,1.2705,1.25886,1.50975,0.000969219,0.000969219,0.000969219
28,1626.7,1.45652,1.29894,1.41279,0.71942,0.60329,0.69582,0.43632,1.24395,1.24776,1.4764,0.000951535,0.000951535,0.000951535
29,1685.19,1.45161,1.27947,1.40429,0.71309,0.58832,0.67413,0.41977,1.25667,1.32243,1.50219,0.000933851,0.000933851,0.000933851
30,1743.95,1.44691,1.27703,1.40013,0.73593,0.60294,0.69347,0.42966,1.26925,1.23723,1.5096,0.000916168,0.000916168,0.000916168
31,1801.68,1.43384,1.2787,1.39747,0.70387,0.60916,0.68621,0.42782,1.23876,1.28931,1.47813,0.000898484,0.000898484,0.000898484
32,1860.45,1.42553,1.24824,1.38954,0.66391,0.62495,0.68554,0.43358,1.2516,1.23215,1.48021,0.0008808,0.0008808,0.0008808
33,1918.72,1.41892,1.24101,1.38304,0.70797,0.62785,0.70223,0.4403,1.21137,1.17843,1.46147,0.000863116,0.000863116,0.000863116
34,1975.16,1.41205,1.2263,1.37929,0.72563,0.61365,0.69805,0.44263,1.22652,1.21274,1.48054,0.000845432,0.000845432,0.000845432
35,2031.58,1.39832,1.21399,1.37337,0.71697,0.61891,0.70214,0.44425,1.20882,1.22759,1.45585,0.000827748,0.000827748,0.000827748
36,2088,1.39877,1.21388,1.37054,0.72996,0.62756,0.70721,0.44798,1.21112,1.17121,1.46021,0.000810064,0.000810064,0.000810064
37,2144.54,1.38608,1.19251,1.36285,0.73922,0.61294,0.70912,0.45081,1.19784,1.19178,1.44784,0.00079238,0.00079238,0.00079238
38,2203.2,1.38659,1.18051,1.36232,0.73215,0.63147,0.71182,0.45296,1.19793,1.15127,1.45594,0.000774697,0.000774697,0.000774697
39,2261.43,1.38386,1.17781,1.35807,0.73274,0.63802,0.71712,0.45551,1.20151,1.17069,1.45246,0.000757013,0.000757013,0.000757013
