epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.6837,3.2868,3.77692,3.32878,0.22227,0.25238,0.16023,0.05597,2.37119,3.03429,2.53417,0.000472697,0.000472697,0.000472697
2,104.926,2.22881,2.49045,2.09244,0.38511,0.34561,0.29517,0.12658,2.02617,3.29585,2.19908,0.000937286,0.000937286,0.000937286
3,156.868,2.08046,2.26382,1.89927,0.32434,0.25095,0.19148,0.07955,2.16161,5.65513,2.27656,0.00139009,0.00139009,0.00139009
4,208.614,1.98363,2.14146,1.79874,0.47079,0.40245,0.40291,0.18884,1.83728,2.49088,1.93495,0.00137595,0.00137595,0.00137595
5,260.41,1.90308,2.03301,1.72063,0.54261,0.45192,0.47452,0.23586,1.75883,2.01987,1.82921,0.00135826,0.00135826,0.00135826
6,312.567,1.84063,1.95038,1.68045,0.46183,0.40858,0.41275,0.20073,1.78916,2.19645,1.85741,0.00134058,0.00134058,0.00134058
7,364.545,1.79702,1.87759,1.63639,0.50844,0.44748,0.45432,0.19231,1.91307,1.94703,1.86825,0.0013229,0.0013229,0.0013229
8,416.211,1.76548,1.83728,1.61536,0.56971,0.50236,0.52727,0.29575,1.55757,1.81418,1.71076,0.00130521,0.00130521,0.00130521
9,468.128,1.73054,1.78422,1.58653,0.57593,0.47741,0.52024,0.28974,1.53498,1.80794,1.65915,0.00128753,0.00128753,0.00128753
10,520.141,1.7111,1.74221,1.56967,0.56059,0.50226,0.53747,0.30909,1.45727,1.69589,1.60399,0.00126985,0.00126985,0.00126985
11,574.64,1.68116,1.7132,1.55498,0.61321,0.4902,0.56004,0.32046,1.51139,1.65578,1.64512,0.00125216,0.00125216,0.00125216
12,627.176,1.67023,1.6763,1.54246,0.58977,0.49645,0.54398,0.30571,1.52187,1.79652,1.63584,0.00123448,0.00123448,0.00123448
13,679.551,1.64568,1.64569,1.5267,0.57801,0.52704,0.58262,0.34101,1.41812,1.63906,1.57527,0.00121679,0.00121679,0.00121679
14,732.027,1.62809,1.6177,1.5163,0.60871,0.53944,0.59522,0.35346,1.39339,1.54737,1.56288,0.00119911,0.00119911,0.00119911
15,784.057,1.607,1.59374,1.50419,0.59581,0.55601,0.5979,0.35565,1.38983,1.5193,1.56326,0.00118143,0.00118143,0.00118143
16,836.411,1.59711,1.56792,1.50058,0.62351,0.52219,0.58709,0.34055,1.45099,1.59471,1.60011,0.00116374,0.00116374,0.00116374
