epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3515,2.56474,3.39009,2.05467,0.26753,0.27872,0.23882,0.10275,1.98224,2.67853,2.03095,0.000472697,0.000472697,0.000472697
2,144.439,2.0213,2.35843,1.66095,0.41959,0.31071,0.28935,0.12989,2.0274,3.1556,1.9878,0.000937286,0.000937286,0.000937286
3,219.795,1.95363,2.22891,1.61627,0.36472,0.34613,0.29344,0.1347,1.96396,6.80444,1.87166,0.00139009,0.00139009,0.00139009
4,297.853,1.8715,2.10847,1.56657,0.46179,0.41494,0.40291,0.20542,1.7253,2.77509,1.71718,0.00137595,0.00137595,0.00137595
5,385.953,1.81001,2.00147,1.52471,0.51172,0.45135,0.45658,0.2414,1.64149,1.96169,1.63798,0.00135826,0.00135826,0.00135826
6,467.865,1.75518,1.92447,1.48798,0.51156,0.45675,0.47282,0.25177,1.51747,2.03052,1.55207,0.00134058,0.00134058,0.00134058
7,542.933,1.7156,1.84617,1.45935,0.6704,0.44389,0.53807,0.29848,1.47615,1.76734,1.50904,0.0013229,0.0013229,0.0013229
8,615.199,1.69468,1.81174,1.44789,0.5651,0.49816,0.55086,0.31447,1.45223,1.76034,1.4988,0.00130521,0.00130521,0.00130521
9,687.473,1.66833,1.76526,1.42295,0.62526,0.5198,0.5765,0.32998,1.43905,1.85019,1.49286,0.00128753,0.00128753,0.00128753
10,759.833,1.63649,1.71315,1.40289,0.65197,0.47106,0.55554,0.31262,1.42144,1.7281,1.47214,0.00126985,0.00126985,0.00126985
11,832.432,1.61622,1.68888,1.39658,0.61841,0.50067,0.56255,0.32993,1.45054,1.66068,1.49841,0.00125216,0.00125216,0.00125216
12,904.59,1.59959,1.64966,1.38069,0.60548,0.54248,0.59516,0.34624,1.39871,1.60338,1.46709,0.00123448,0.00123448,0.00123448
13,977.004,1.58119,1.61565,1.3704,0.59538,0.54827,0.59302,0.35043,1.40819,1.57448,1.45761,0.00121679,0.00121679,0.00121679
14,1049.69,1.56228,1.58729,1.36035,0.6314,0.56553,0.61173,0.36868,1.30784,1.52019,1.41463,0.00119911,0.00119911,0.00119911
15,1129.79,1.54701,1.5594,1.34885,0.62564,0.56036,0.62778,0.37148,1.39735,1.52444,1.48171,0.00118143,0.00118143,0.00118143
16,1202.43,1.53647,1.54293,1.34246,0.65706,0.54889,0.6271,0.38115,1.31952,1.48221,1.39598,0.00116374,0.00116374,0.00116374
17,1274.99,1.52437,1.52703,1.3379,0.63905,0.58331,0.64199,0.39003,1.29686,1.44611,1.40854,0.00114606,0.00114606,0.00114606
18,1347.62,1.52205,1.5025,1.33105,0.69515,0.52973,0.62771,0.38218,1.29983,1.47289,1.41627,0.00112837,0.00112837,0.00112837
19,1422.73,1.51132,1.47701,1.32964,0.6605,0.56684,0.63839,0.39095,1.29779,1.41737,1.4081,0.00111069,0.00111069,0.00111069
20,1490.22,1.49027,1.45066,1.31544,0.7001,0.56868,0.66692,0.40545,1.28426,1.36646,1.36878,0.00109301,0.00109301,0.00109301
21,1558.49,1.48172,1.43968,1.31014,0.66497,0.57331,0.64742,0.39657,1.29994,1.40078,1.41446,0.00107532,0.00107532,0.00107532
22,1629.33,1.48086,1.43289,1.30822,0.67468,0.59166,0.66731,0.40961,1.25902,1.31556,1.34978,0.00105764,0.00105764,0.00105764
23,1700.01,1.46234,1.40608,1.29553,0.7113,0.55891,0.65752,0.41213,1.26048,1.35373,1.36324,0.00103995,0.00103995,0.00103995
24,1770.45,1.45281,1.39531,1.29364,0.71568,0.59659,0.68664,0.42581,1.25257,1.26916,1.36188,0.00102227,0.00102227,0.00102227
25,1840.48,1.45023,1.37674,1.29051,0.71682,0.5806,0.67229,0.41959,1.23978,1.31329,1.34899,0.00100459,0.00100459,0.00100459
26,1908.37,1.44559,1.36912,1.28823,0.67814,0.62209,0.68423,0.43207,1.22582,1.2901,1.34014,0.000986903,0.000986903,0.000986903
27,1975.89,1.42713,1.34969,1.27667,0.70284,0.5973,0.68382,0.42466,1.2219,1.29396,1.34291,0.000969219,0.000969219,0.000969219
28,2043.17,1.42245,1.32665,1.26905,0.69585,0.60862,0.68896,0.4307,1.24797,1.31084,1.37762,0.000951535,0.000951535,0.000951535
29,2111.88,1.42498,1.31785,1.26914,0.70796,0.62379,0.68714,0.42688,1.23765,1.29937,1.36361,0.000933851,0.000933851,0.000933851
30,2181.69,1.41759,1.31488,1.26221,0.70174,0.61565,0.68602,0.42879,1.20983,1.28523,1.33707,0.000916168,0.000916168,0.000916168
31,2251.22,1.40435,1.31443,1.26402,0.73238,0.60401,0.69794,0.4436,1.24122,1.2841,1.37467,0.000898484,0.000898484,0.000898484
32,2319.3,1.39061,1.28542,1.24934,0.6944,0.61454,0.6879,0.43097,1.25213,1.26379,1.36653,0.0008808,0.0008808,0.0008808
33,2386.38,1.38846,1.27686,1.24577,0.7215,0.61806,0.70608,0.45143,1.20102,1.22348,1.34047,0.000863116,0.000863116,0.000863116
34,2453.78,1.38795,1.26165,1.24798,0.70775,0.63537,0.71033,0.44782,1.20544,1.25204,1.33209,0.000845432,0.000845432,0.000845432
35,2523.9,1.36908,1.24289,1.23848,0.71622,0.62947,0.70546,0.45148,1.21362,1.21803,1.33727,0.000827748,0.000827748,0.000827748
36,2592.39,1.37217,1.2455,1.23796,0.69411,0.62508,0.70462,0.45218,1.19996,1.18097,1.32829,0.000810064,0.000810064,0.000810064
37,2659.74,1.36271,1.2228,1.23073,0.70561,0.63307,0.70918,0.4544,1.22058,1.19012,1.34279,0.00079238,0.00079238,0.00079238
38,2728.33,1.3585,1.21592,1.23023,0.72983,0.61614,0.71945,0.45803,1.19748,1.19015,1.3304,0.000774697,0.000774697,0.000774697
39,2795.48,1.35576,1.21479,1.22555,0.71867,0.63744,0.72006,0.4548,1.22019,1.17436,1.3428,0.000757013,0.000757013,0.000757013
40,2863.13,1.3415,1.19117,1.21924,0.72735,0.6311,0.72074,0.4574,1.19153,1.18642,1.33004,0.000739329,0.000739329,0.000739329
41,2933.06,1.34248,1.19356,1.22276,0.71754,0.66067,0.72988,0.46661,1.20256,1.14331,1.3423,0.000721645,0.000721645,0.000721645
42,3000.95,1.33332,1.17738,1.21432,0.72333,0.64262,0.72266,0.46495,1.18764,1.18362,1.32179,0.000703961,0.000703961,0.000703961
43,3068.85,1.32887,1.16739,1.20979,0.75024,0.61686,0.72276,0.46818,1.1653,1.17621,1.30447,0.000686277,0.000686277,0.000686277
44,3136.76,1.32521,1.16586,1.20932,0.71666,0.64546,0.72193,0.46566,1.1772,1.17995,1.31548,0.000668593,0.000668593,0.000668593
45,3206.52,1.31925,1.14618,1.20026,0.7512,0.61775,0.71993,0.46441,1.1811,1.16268,1.32607,0.000650909,0.000650909,0.000650909
46,3274.49,1.30956,1.1359,1.19411,0.74945,0.63546,0.72921,0.46995,1.17714,1.14548,1.30848,0.000633226,0.000633226,0.000633226
47,3344.54,1.3067,1.13294,1.19678,0.72549,0.65501,0.72776,0.46973,1.19295,1.16303,1.34328,0.000615542,0.000615542,0.000615542
48,3413.41,1.29655,1.11777,1.19,0.71972,0.66951,0.73508,0.47533,1.18161,1.12545,1.32069,0.000597858,0.000597858,0.000597858
49,3481.45,1.29186,1.10718,1.18787,0.72718,0.63935,0.72813,0.47381,1.18798,1.12649,1.33388,0.000580174,0.000580174,0.000580174
50,3551.64,1.28335,1.09968,1.18015,0.72463,0.65403,0.73124,0.4736,1.1839,1.11199,1.32007,0.00056249,0.00056249,0.00056249
51,3619.8,1.28575,1.09097,1.18536,0.75874,0.64275,0.73402,0.47394,1.18309,1.09989,1.32704,0.000544806,0.000544806,0.000544806
52,3686.92,1.27062,1.07665,1.17513,0.76005,0.62394,0.73033,0.47389,1.17434,1.10809,1.31907,0.000527122,0.000527122,0.000527122
53,3754.08,1.27237,1.06407,1.17751,0.72668,0.65415,0.73564,0.47762,1.17622,1.10424,1.32663,0.000509438,0.000509438,0.000509438
54,3821.27,1.26285,1.05881,1.1722,0.74353,0.64459,0.73764,0.47894,1.18129,1.10024,1.31617,0.000491755,0.000491755,0.000491755
55,3888.62,1.26474,1.06011,1.17034,0.74523,0.64047,0.7356,0.48202,1.16914,1.09897,1.31584,0.000474071,0.000474071,0.000474071
56,3955.9,1.2502,1.04276,1.16264,0.73483,0.65902,0.74003,0.48192,1.1683,1.10083,1.31869,0.000456387,0.000456387,0.000456387
57,4023.3,1.24355,1.03319,1.16019,0.76529,0.63646,0.73542,0.47758,1.18607,1.11372,1.33023,0.000438703,0.000438703,0.000438703
58,4090.32,1.2385,1.02327,1.15686,0.73595,0.65926,0.73926,0.48,1.17726,1.10287,1.31642,0.000421019,0.000421019,0.000421019
59,4157.59,1.23214,1.01961,1.15373,0.74539,0.64431,0.73551,0.48,1.18478,1.08303,1.32128,0.000403335,0.000403335,0.000403335
60,4224.77,1.22813,1.01223,1.14865,0.72696,0.66426,0.73952,0.47926,1.18592,1.1085,1.3212,0.000385651,0.000385651,0.000385651
61,4292.19,1.22147,1.00104,1.14761,0.74942,0.65353,0.73767,0.48031,1.17634,1.1093,1.31764,0.000367967,0.000367967,0.000367967
62,4360.44,1.21942,0.99902,1.14441,0.74299,0.65543,0.73384,0.48073,1.17716,1.08543,1.31357,0.000350284,0.000350284,0.000350284
63,4428.49,1.21298,0.98807,1.13661,0.7444,0.64782,0.73475,0.47606,1.18209,1.07375,1.32422,0.0003326,0.0003326,0.0003326
64,4500.27,1.21799,0.98432,1.13764,0.73696,0.6583,0.73412,0.47677,1.17935,1.08825,1.31913,0.000314916,0.000314916,0.000314916
65,4571.85,1.19999,0.97443,1.13265,0.7324,0.67056,0.7357,0.48082,1.17622,1.08747,1.31302,0.000297232,0.000297232,0.000297232
66,4641.84,1.19659,0.96588,1.13457,0.73733,0.6659,0.7422,0.48167,1.17219,1.0853,1.30823,0.000279548,0.000279548,0.000279548
67,4709.48,1.19094,0.95188,1.12996,0.73836,0.6628,0.74088,0.48075,1.1769,1.0894,1.32377,0.000261864,0.000261864,0.000261864
68,4778.47,1.18882,0.95108,1.12276,0.74841,0.65159,0.74169,0.48157,1.16248,1.07836,1.31372,0.00024418,0.00024418,0.00024418
69,4846.39,1.18409,0.94288,1.12522,0.74933,0.65163,0.74062,0.48023,1.15651,1.07049,1.30501,0.000226497,0.000226497,0.000226497
70,4916.62,1.17451,0.93117,1.11804,0.74273,0.65267,0.73571,0.47929,1.16073,1.0859,1.30529,0.000208813,0.000208813,0.000208813
71,4989.04,1.13862,0.85964,1.11987,0.74338,0.64779,0.73375,0.47574,1.17025,1.09511,1.31308,0.000191129,0.000191129,0.000191129
72,5059.64,1.118,0.83515,1.11222,0.75885,0.63694,0.73216,0.47509,1.17732,1.1102,1.31829,0.000173445,0.000173445,0.000173445
73,5129.64,1.11362,0.83368,1.11279,0.7741,0.63573,0.7322,0.47361,1.17442,1.10857,1.31905,0.000155761,0.000155761,0.000155761
74,5200.58,1.10296,0.81677,1.10496,0.76396,0.6351,0.73041,0.47315,1.17844,1.12079,1.32763,0.000138077,0.000138077,0.000138077
75,5269.32,1.09645,0.8071,1.10233,0.74143,0.65285,0.72851,0.47216,1.17788,1.11826,1.33144,0.000120393,0.000120393,0.000120393
76,5336.73,1.09032,0.80043,1.09925,0.74425,0.6455,0.72727,0.47226,1.18093,1.12417,1.3296,0.000102709,0.000102709,0.000102709
