epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.0219,2.5421,3.28736,2.0536,0.2331,0.22239,0.15883,0.06319,2.03342,3.87925,2.01419,0.000472955,0.000472955,0.000472955
2,127.89,2.04107,2.44249,1.69657,0.20647,0.3096,0.14621,0.06326,1.99445,4.49065,1.96767,0.000937541,0.000937541,0.000937541
3,190.351,1.97065,2.32078,1.65253,0.45941,0.28443,0.28912,0.13523,1.92099,2.88742,1.78421,0.00139034,0.00139034,0.00139034
4,252.24,1.90409,2.2006,1.61756,0.47163,0.34178,0.35244,0.17487,1.61249,2.7827,1.61541,0.00137595,0.00137595,0.00137595
5,316.7,1.82755,2.07977,1.56238,0.46725,0.42375,0.41998,0.21824,1.6378,2.23356,1.58888,0.00135826,0.00135826,0.00135826
6,380.663,1.77477,1.99553,1.52565,0.46863,0.44553,0.43891,0.23153,1.51064,1.90901,1.51415,0.00134058,0.00134058,0.00134058
7,444.435,1.72859,1.92874,1.50461,0.51049,0.44522,0.46496,0.2537,1.51836,1.84288,1.53685,0.0013229,0.0013229,0.0013229
8,508.05,1.69978,1.86196,1.47518,0.5578,0.45739,0.49946,0.28297,1.42388,1.75651,1.43975,0.00130521,0.00130521,0.00130521
9,572.231,1.66981,1.81415,1.45583,0.53234,0.44691,0.48397,0.26459,1.56139,1.78457,1.55827,0.00128753,0.00128753,0.00128753
10,633.685,1.64879,1.76274,1.43779,0.57099,0.50115,0.52111,0.29916,1.39892,1.632,1.44271,0.00126985,0.00126985,0.00126985
11,696.042,1.63538,1.7438,1.43609,0.57603,0.49578,0.55007,0.30421,1.45756,1.63376,1.45074,0.00125216,0.00125216,0.00125216
12,758.554,1.61352,1.70563,1.41747,0.58614,0.52261,0.55859,0.3155,1.38209,1.55458,1.40895,0.00123448,0.00123448,0.00123448
13,821.377,1.59441,1.67976,1.41276,0.58647,0.55364,0.58771,0.34134,1.33966,1.54652,1.39151,0.00121679,0.00121679,0.00121679
14,884.08,1.56651,1.63935,1.39419,0.62585,0.55511,0.60382,0.35256,1.29991,1.46368,1.38626,0.00119911,0.00119911,0.00119911
15,949.002,1.5647,1.61972,1.38577,0.59011,0.58538,0.60697,0.35646,1.35645,1.44127,1.39354,0.00118143,0.00118143,0.00118143
16,1012.5,1.55056,1.59227,1.38079,0.59649,0.54283,0.5766,0.33956,1.35011,1.53361,1.40627,0.00116374,0.00116374,0.00116374
17,1074.64,1.53673,1.57579,1.3697,0.62928,0.55613,0.60762,0.36268,1.31107,1.41908,1.38454,0.00114606,0.00114606,0.00114606
18,1136.91,1.52542,1.53976,1.36178,0.65822,0.56602,0.62534,0.37259,1.31671,1.40813,1.38318,0.00112837,0.00112837,0.00112837
19,1197.66,1.51013,1.52616,1.35789,0.60288,0.59105,0.63323,0.3854,1.2487,1.32689,1.35983,0.00111069,0.00111069,0.00111069
20,1258.6,1.50993,1.51415,1.35191,0.65341,0.56213,0.62862,0.38261,1.26793,1.37071,1.35562,0.00109301,0.00109301,0.00109301
21,1319.47,1.49705,1.49369,1.34412,0.66447,0.55759,0.63313,0.38556,1.26232,1.3428,1.34537,0.00107532,0.00107532,0.00107532
22,1380.22,1.49075,1.48133,1.34391,0.66058,0.5842,0.64381,0.38827,1.2865,1.33052,1.35343,0.00105764,0.00105764,0.00105764
23,1440.95,1.48454,1.46286,1.33416,0.64721,0.59215,0.64968,0.39578,1.26479,1.30189,1.3414,0.00103995,0.00103995,0.00103995
24,1501.6,1.46644,1.43588,1.3267,0.63183,0.60474,0.64609,0.39444,1.26675,1.28891,1.34529,0.00102227,0.00102227,0.00102227
25,1565.84,1.45102,1.42477,1.3185,0.68966,0.60606,0.66999,0.4099,1.27879,1.25536,1.35526,0.00100459,0.00100459,0.00100459
