epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.4744,2.35579,3.52058,1.85525,0.27206,0.2726,0.23771,0.10812,1.89696,5.12297,1.91459,0.000472697,0.000472697,0.000472697
2,101.405,1.91965,2.30371,1.56977,0.28973,0.28301,0.22245,0.10388,1.82707,8.42283,1.88752,0.000937286,0.000937286,0.000937286
3,152.265,1.87979,2.23579,1.58081,0.29344,0.36617,0.24854,0.11155,1.99767,12.5331,2.38059,0.00139009,0.00139009,0.00139009
4,202.558,1.83551,2.15145,1.56403,0.43309,0.34937,0.35263,0.18378,1.69955,3.6545,1.70039,0.00137595,0.00137595,0.00137595
5,252.594,1.7596,2.02001,1.50895,0.45111,0.36885,0.37067,0.19128,1.58405,2.33062,1.587,0.00135826,0.00135826,0.00135826
6,302.644,1.72403,1.9569,1.48965,0.50221,0.41836,0.44272,0.23327,1.6116,2.20932,1.62097,0.00134058,0.00134058,0.00134058
7,352.607,1.69003,1.87485,1.46368,0.50629,0.42686,0.44834,0.24104,1.54666,1.82517,1.55254,0.0013229,0.0013229,0.0013229
8,402.652,1.65052,1.80819,1.44743,0.52638,0.47728,0.49807,0.27561,1.50571,1.82233,1.55084,0.00130521,0.00130521,0.00130521
9,453.165,1.62882,1.77121,1.42831,0.55509,0.49176,0.51995,0.29029,1.46882,1.76218,1.49721,0.00128753,0.00128753,0.00128753
10,503.16,1.61351,1.72905,1.42119,0.54538,0.52828,0.56002,0.32497,1.38905,1.60816,1.4635,0.00126985,0.00126985,0.00126985
11,553.168,1.58559,1.69088,1.40157,0.61539,0.51196,0.5728,0.34173,1.36892,1.56397,1.44844,0.00125216,0.00125216,0.00125216
12,603.505,1.5845,1.67116,1.40385,0.59121,0.54913,0.57719,0.33707,1.39155,1.50486,1.46972,0.00123448,0.00123448,0.00123448
13,653.973,1.55321,1.63319,1.3834,0.6069,0.53252,0.58331,0.34408,1.30711,1.48674,1.41955,0.00121679,0.00121679,0.00121679
14,704.057,1.5342,1.59756,1.37988,0.61833,0.55904,0.60171,0.35109,1.34566,1.47581,1.43395,0.00119911,0.00119911,0.00119911
15,754.139,1.5384,1.58686,1.37554,0.61846,0.53348,0.59216,0.35876,1.30342,1.46406,1.42199,0.00118143,0.00118143,0.00118143
16,804.14,1.53087,1.56613,1.37577,0.5983,0.55076,0.59262,0.34997,1.35434,1.45948,1.43649,0.00116374,0.00116374,0.00116374
17,854.087,1.50633,1.53614,1.35963,0.64775,0.56001,0.61312,0.37605,1.26329,1.39468,1.38699,0.00114606,0.00114606,0.00114606
18,904.051,1.49768,1.51489,1.35246,0.67084,0.56604,0.64251,0.38337,1.33119,1.3905,1.44069,0.00112837,0.00112837,0.00112837
19,954.276,1.47345,1.48992,1.35246,0.61631,0.58309,0.62237,0.37655,1.26387,1.358,1.41439,0.00111069,0.00111069,0.00111069
20,1004.37,1.48597,1.48416,1.34561,0.67266,0.56673,0.63929,0.39217,1.24383,1.34743,1.38486,0.00109301,0.00109301,0.00109301
21,1054.32,1.47515,1.46803,1.34756,0.66067,0.57392,0.64633,0.39691,1.24597,1.3236,1.38961,0.00107532,0.00107532,0.00107532
22,1104.32,1.45302,1.44668,1.3372,0.68797,0.56965,0.65207,0.40717,1.25857,1.25291,1.3895,0.00105764,0.00105764,0.00105764
23,1154.35,1.45596,1.43532,1.33254,0.65481,0.58184,0.6477,0.40792,1.1968,1.26027,1.36681,0.00103995,0.00103995,0.00103995
24,1204.35,1.45332,1.42149,1.33679,0.66984,0.59724,0.66251,0.41968,1.22967,1.2525,1.40318,0.00102227,0.00102227,0.00102227
25,1254.35,1.43763,1.40942,1.32643,0.64082,0.57814,0.62694,0.38929,1.23145,1.3136,1.39031,0.00100459,0.00100459,0.00100459
26,1304.45,1.43338,1.39803,1.32084,0.65814,0.59638,0.66071,0.41396,1.22308,1.2325,1.3775,0.000986903,0.000986903,0.000986903
27,1354.37,1.42282,1.37868,1.31711,0.65551,0.61514,0.66401,0.41742,1.20682,1.23379,1.36522,0.000969219,0.000969219,0.000969219
28,1404.6,1.41795,1.36441,1.30845,0.72115,0.57783,0.67416,0.42968,1.19204,1.20092,1.3444,0.000951535,0.000951535,0.000951535
29,1454.91,1.41042,1.35174,1.30572,0.70684,0.58468,0.67594,0.4404,1.14434,1.17725,1.33347,0.000933851,0.000933851,0.000933851
30,1505.02,1.40863,1.34297,1.30397,0.68286,0.6104,0.67915,0.42735,1.18687,1.19277,1.33656,0.000916168,0.000916168,0.000916168
31,1555.06,1.4006,1.3321,1.3036,0.71727,0.57936,0.67618,0.42688,1.18583,1.21787,1.33029,0.000898484,0.000898484,0.000898484
32,1605.21,1.39031,1.31776,1.29566,0.68417,0.59112,0.67087,0.43094,1.18335,1.19241,1.36815,0.0008808,0.0008808,0.0008808
33,1655.33,1.39126,1.3082,1.29196,0.67627,0.62597,0.68798,0.44075,1.19837,1.16672,1.37799,0.000863116,0.000863116,0.000863116
34,1705.46,1.378,1.29064,1.29089,0.68551,0.62713,0.68282,0.43791,1.1755,1.17172,1.34039,0.000845432,0.000845432,0.000845432
35,1755.5,1.37346,1.28348,1.28623,0.72978,0.58627,0.69229,0.44456,1.14466,1.15072,1.31998,0.000827748,0.000827748,0.000827748
36,1805.49,1.36896,1.26919,1.27939,0.70356,0.61275,0.6918,0.44581,1.16526,1.13821,1.33058,0.000810064,0.000810064,0.000810064
37,1855.42,1.35919,1.2678,1.27802,0.67389,0.65023,0.69971,0.45286,1.14416,1.12036,1.31962,0.00079238,0.00079238,0.00079238
38,1905.64,1.35315,1.24061,1.26701,0.71601,0.61752,0.69723,0.45228,1.16759,1.12919,1.33283,0.000774697,0.000774697,0.000774697
39,1955.53,1.34822,1.24074,1.2678,0.70135,0.64152,0.7077,0.45905,1.15663,1.08771,1.33067,0.000757013,0.000757013,0.000757013
