epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2994,3.03841,3.35745,3.32728,0.00807,0.02868,0.00632,0.00196,3.17799,3.58208,3.07315,0.000472831,0.000472831,0.000472831
2,129.539,2.18596,2.37399,2.12499,0.30924,0.31266,0.21959,0.09138,2.17976,3.40594,2.3274,0.000937418,0.000937418,0.000937418
3,195.886,2.05105,2.23629,1.92938,0.37052,0.30365,0.27035,0.11969,1.9371,3.21085,2.04221,0.00139022,0.00139022,0.00139022
4,261.156,1.95587,2.12788,1.82959,0.51782,0.31624,0.35454,0.16269,1.87852,2.34827,1.9621,0.00137595,0.00137595,0.00137595
5,325.904,1.84522,1.96443,1.72677,0.45762,0.37847,0.39069,0.19749,1.70419,2.07988,1.83962,0.00135826,0.00135826,0.00135826
6,390.059,1.80166,1.91496,1.69611,0.53642,0.43155,0.47924,0.24437,1.66921,2.05629,1.80361,0.00134058,0.00134058,0.00134058
7,457.733,1.75862,1.83958,1.65587,0.52604,0.48223,0.51321,0.27438,1.55716,1.94032,1.7091,0.0013229,0.0013229,0.0013229
8,524.285,1.72079,1.76828,1.63194,0.56422,0.5138,0.52755,0.28349,1.55583,1.88457,1.70339,0.00130521,0.00130521,0.00130521
9,590.083,1.68684,1.72397,1.603,0.60947,0.49081,0.54221,0.29608,1.51308,1.72731,1.67358,0.00128753,0.00128753,0.00128753
10,656.047,1.66354,1.68506,1.59354,0.56283,0.48144,0.53845,0.30535,1.48672,1.70005,1.67813,0.00126985,0.00126985,0.00126985
11,719.792,1.64841,1.65256,1.58048,0.62858,0.51579,0.57183,0.33735,1.4414,1.53004,1.63438,0.00125216,0.00125216,0.00125216
12,783.663,1.62646,1.61625,1.56056,0.62429,0.50694,0.56866,0.32658,1.4268,1.50037,1.61672,0.00123448,0.00123448,0.00123448
13,846.77,1.6078,1.60496,1.55425,0.61397,0.52818,0.57727,0.32861,1.44116,1.50501,1.6034,0.00121679,0.00121679,0.00121679
14,911.265,1.5917,1.56516,1.53857,0.62065,0.57723,0.62217,0.3663,1.38245,1.37576,1.59792,0.00119911,0.00119911,0.00119911
15,978.57,1.58055,1.54084,1.53289,0.60193,0.54915,0.60736,0.35565,1.36849,1.40832,1.56849,0.00118143,0.00118143,0.00118143
16,1042.92,1.56491,1.52002,1.52724,0.66526,0.55837,0.6216,0.36866,1.36785,1.38927,1.57289,0.00116374,0.00116374,0.00116374
17,1106.67,1.54925,1.50253,1.50657,0.61901,0.58917,0.6183,0.37471,1.33938,1.39763,1.56368,0.00114606,0.00114606,0.00114606
18,1170.67,1.53542,1.47713,1.49958,0.65136,0.56671,0.63691,0.38381,1.3243,1.37554,1.54292,0.00112837,0.00112837,0.00112837
19,1238.9,1.51271,1.45521,1.49619,0.65852,0.57912,0.63893,0.38268,1.3116,1.33539,1.5148,0.00111069,0.00111069,0.00111069
20,1304.33,1.52284,1.45348,1.49038,0.66943,0.57263,0.63794,0.39021,1.30133,1.31448,1.52768,0.00109301,0.00109301,0.00109301
21,1368.1,1.50612,1.41442,1.4791,0.63274,0.58849,0.62779,0.38433,1.26875,1.30474,1.49704,0.00107532,0.00107532,0.00107532
22,1431.48,1.49411,1.39642,1.4776,0.71249,0.57793,0.6613,0.41024,1.24863,1.23376,1.48278,0.00105764,0.00105764,0.00105764
23,1497.84,1.48502,1.39332,1.46757,0.66636,0.61503,0.66304,0.41152,1.24168,1.2491,1.47032,0.00103995,0.00103995,0.00103995
24,1563.33,1.46751,1.36913,1.45184,0.67458,0.59578,0.65681,0.39963,1.28708,1.25878,1.51788,0.00102227,0.00102227,0.00102227
25,1626.74,1.46431,1.36025,1.45989,0.70408,0.61599,0.68645,0.42589,1.23905,1.19701,1.48446,0.00100459,0.00100459,0.00100459
26,1693.14,1.45279,1.34042,1.44495,0.71651,0.58978,0.67803,0.4172,1.28459,1.22605,1.51054,0.000986903,0.000986903,0.000986903
27,1756.84,1.44393,1.33065,1.44361,0.67325,0.61908,0.68785,0.42677,1.25275,1.19506,1.48912,0.000969219,0.000969219,0.000969219
28,1823.22,1.43395,1.30474,1.43618,0.66685,0.6295,0.67902,0.42039,1.22637,1.21362,1.47681,0.000951535,0.000951535,0.000951535
29,1888.11,1.42261,1.30488,1.43079,0.68135,0.6212,0.68396,0.42805,1.22303,1.19228,1.47006,0.000933851,0.000933851,0.000933851
30,1953.4,1.42684,1.28813,1.42465,0.72554,0.59046,0.68559,0.42779,1.2379,1.19664,1.48457,0.000916168,0.000916168,0.000916168
31,2018.2,1.41398,1.27194,1.41798,0.70059,0.62547,0.69001,0.43187,1.21739,1.17698,1.4723,0.000898484,0.000898484,0.000898484
32,2083.27,1.41235,1.26783,1.41743,0.72375,0.61145,0.70095,0.43953,1.20783,1.14155,1.45351,0.0008808,0.0008808,0.0008808
33,2146.84,1.4003,1.24309,1.40603,0.69085,0.63229,0.69639,0.43484,1.19701,1.16048,1.44568,0.000863116,0.000863116,0.000863116
34,2210.32,1.38639,1.22743,1.39682,0.71924,0.61766,0.70251,0.43848,1.21815,1.13163,1.45385,0.000845432,0.000845432,0.000845432
35,2273.74,1.37538,1.22244,1.39836,0.7094,0.64526,0.70099,0.44712,1.20658,1.12472,1.47253,0.000827748,0.000827748,0.000827748
36,2341.53,1.3757,1.21283,1.39308,0.68323,0.66204,0.69848,0.44433,1.20041,1.11246,1.45114,0.000810064,0.000810064,0.000810064
37,2408.48,1.36112,1.20563,1.38548,0.70606,0.64365,0.71088,0.44954,1.19566,1.11469,1.44598,0.00079238,0.00079238,0.00079238
38,2474.05,1.35693,1.19775,1.38195,0.70647,0.63555,0.71199,0.45321,1.18365,1.09977,1.43998,0.000774697,0.000774697,0.000774697
39,2539.11,1.34827,1.17675,1.37607,0.67882,0.65531,0.70898,0.44596,1.19142,1.10291,1.4556,0.000757013,0.000757013,0.000757013
40,2604.91,1.34958,1.17166,1.37584,0.72878,0.62456,0.70836,0.44758,1.19153,1.07795,1.46299,0.000739329,0.000739329,0.000739329
41,2670.33,1.33567,1.1524,1.36094,0.71918,0.64163,0.71464,0.45323,1.18979,1.08424,1.44004,0.000721645,0.000721645,0.000721645
42,2734.61,1.33316,1.15237,1.36235,0.72076,0.63915,0.71031,0.45008,1.19653,1.08511,1.4615,0.000703961,0.000703961,0.000703961
43,2797.75,1.32291,1.13411,1.35127,0.73291,0.63268,0.71727,0.45751,1.18538,1.06932,1.45918,0.000686277,0.000686277,0.000686277
44,2861.86,1.3121,1.11902,1.35309,0.72745,0.64316,0.70991,0.45734,1.17529,1.0656,1.4545,0.000668593,0.000668593,0.000668593
45,2925.71,1.31668,1.11488,1.34897,0.73091,0.64159,0.71815,0.45498,1.18157,1.05847,1.45291,0.000650909,0.000650909,0.000650909
46,2989.94,1.30386,1.10404,1.3429,0.76401,0.61024,0.71764,0.45596,1.18695,1.05441,1.44522,0.000633226,0.000633226,0.000633226
47,3054.53,1.28777,1.08545,1.33354,0.73204,0.63581,0.7202,0.46179,1.18043,1.0449,1.45534,0.000615542,0.000615542,0.000615542
48,3119.36,1.2965,1.0853,1.33465,0.7161,0.64338,0.71207,0.45764,1.17863,1.06159,1.44228,0.000597858,0.000597858,0.000597858
49,3185,1.28717,1.07528,1.33892,0.72207,0.65644,0.72111,0.4631,1.17919,1.06604,1.45637,0.000580174,0.000580174,0.000580174
50,3251.84,1.28603,1.07428,1.32998,0.72059,0.64135,0.7133,0.46124,1.15601,1.0585,1.42227,0.00056249,0.00056249,0.00056249
51,3318.71,1.26966,1.04878,1.32571,0.74216,0.64108,0.71476,0.4642,1.16279,1.05946,1.44413,0.000544806,0.000544806,0.000544806
52,3385.09,1.26645,1.04491,1.31582,0.73632,0.64271,0.71576,0.4618,1.15535,1.04816,1.43588,0.000527122,0.000527122,0.000527122
