epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.8777,2.75096,3.05005,3.13709,0.23311,0.21985,0.10621,0.03962,2.5938,4.73045,2.57772,0.0004732,0.0004732,0.0004732
2,149.514,2.04892,2.21658,1.9949,0.39749,0.32856,0.28722,0.1343,1.90397,3.34051,1.98316,0.000937782,0.000937782,0.000937782
3,222.113,1.97583,2.14765,1.85803,0.40529,0.34239,0.3083,0.14838,1.80598,3.35846,1.83557,0.00139058,0.00139058,0.00139058
4,291.749,1.90156,2.08121,1.78227,0.47236,0.3741,0.38342,0.18954,1.65057,3.02563,1.71489,0.00137595,0.00137595,0.00137595
5,361.051,1.82434,1.95063,1.70989,0.53389,0.45463,0.47276,0.25719,1.527,1.86591,1.60714,0.00135826,0.00135826,0.00135826
6,430.127,1.76531,1.85659,1.66225,0.54456,0.46578,0.50582,0.24899,1.67793,1.6931,1.64305,0.00134058,0.00134058,0.00134058
7,499.429,1.72884,1.7984,1.63527,0.57869,0.46946,0.51443,0.28068,1.48047,1.64836,1.5438,0.0013229,0.0013229,0.0013229
8,573.525,1.68911,1.73378,1.60363,0.6,0.4863,0.54648,0.30389,1.45371,1.54955,1.51529,0.00130521,0.00130521,0.00130521
9,647.289,1.66281,1.68888,1.57915,0.57297,0.53004,0.56841,0.32818,1.38411,1.51522,1.45546,0.00128753,0.00128753,0.00128753
10,721.69,1.64875,1.65916,1.57205,0.59299,0.52047,0.56435,0.32473,1.38159,1.49461,1.45828,0.00126985,0.00126985,0.00126985
11,792.672,1.6122,1.61696,1.54707,0.59868,0.48096,0.53786,0.30376,1.45036,1.5253,1.50299,0.00125216,0.00125216,0.00125216
12,867.377,1.59733,1.57954,1.53545,0.62069,0.56708,0.61342,0.36674,1.31846,1.3252,1.40736,0.00123448,0.00123448,0.00123448
13,938.983,1.58641,1.55689,1.53523,0.63981,0.55094,0.60214,0.34941,1.37964,1.36228,1.4499,0.00121679,0.00121679,0.00121679
14,1008.38,1.56615,1.52983,1.51985,0.66182,0.54074,0.62528,0.36795,1.31731,1.32462,1.41597,0.00119911,0.00119911,0.00119911
15,1079.82,1.54951,1.50791,1.50042,0.63296,0.5738,0.63759,0.38682,1.27268,1.25685,1.39505,0.00118143,0.00118143,0.00118143
16,1146.7,1.54483,1.48552,1.49511,0.67101,0.55285,0.61478,0.35996,1.31636,1.30045,1.41884,0.00116374,0.00116374,0.00116374
17,1215.11,1.53525,1.47669,1.4937,0.66184,0.56124,0.63345,0.38625,1.25236,1.26902,1.38008,0.00114606,0.00114606,0.00114606
18,1284.1,1.52721,1.4567,1.48112,0.64831,0.57139,0.64778,0.39291,1.24597,1.24657,1.37057,0.00112837,0.00112837,0.00112837
19,1352.73,1.50315,1.42046,1.4797,0.67995,0.58161,0.66034,0.39923,1.25923,1.23655,1.38774,0.00111069,0.00111069,0.00111069
20,1423.12,1.49328,1.40734,1.46479,0.65094,0.56936,0.63757,0.39203,1.24603,1.23846,1.38725,0.00109301,0.00109301,0.00109301
21,1493.25,1.49567,1.40068,1.46576,0.65113,0.59181,0.65148,0.40923,1.2044,1.20817,1.33837,0.00107532,0.00107532,0.00107532
22,1562.53,1.47307,1.3904,1.45594,0.68258,0.57385,0.65789,0.41152,1.21273,1.19008,1.34974,0.00105764,0.00105764,0.00105764
23,1629.83,1.46193,1.36599,1.4516,0.69452,0.58384,0.67011,0.41755,1.21001,1.17249,1.35444,0.00103995,0.00103995,0.00103995
24,1699.49,1.44832,1.34331,1.43739,0.66704,0.59119,0.66145,0.41479,1.19228,1.19509,1.33911,0.00102227,0.00102227,0.00102227
25,1768.11,1.43761,1.32293,1.4357,0.70038,0.59862,0.68643,0.43681,1.17671,1.13958,1.33058,0.00100459,0.00100459,0.00100459
26,1836.72,1.4424,1.32713,1.43367,0.67383,0.59833,0.67337,0.41861,1.1937,1.17446,1.35131,0.000986903,0.000986903,0.000986903
27,1905.15,1.42944,1.31075,1.42566,0.68424,0.61796,0.67498,0.42803,1.1847,1.1382,1.3341,0.000969219,0.000969219,0.000969219
28,1973.18,1.42351,1.29761,1.41648,0.69987,0.61383,0.684,0.43563,1.16047,1.13467,1.32009,0.000951535,0.000951535,0.000951535
29,2041.55,1.4133,1.28554,1.41377,0.71344,0.60047,0.68188,0.43715,1.16877,1.1244,1.32765,0.000933851,0.000933851,0.000933851
30,2111.25,1.40469,1.26693,1.40614,0.70236,0.61393,0.68924,0.43246,1.17646,1.10169,1.33008,0.000916168,0.000916168,0.000916168
31,2181.43,1.39581,1.25892,1.41039,0.70518,0.63053,0.70081,0.44724,1.15505,1.10137,1.32031,0.000898484,0.000898484,0.000898484
32,2252.67,1.38986,1.23745,1.39805,0.70845,0.62152,0.69239,0.44028,1.16167,1.11572,1.3353,0.0008808,0.0008808,0.0008808
33,2324.68,1.38764,1.23119,1.39394,0.6823,0.61793,0.69073,0.44208,1.16076,1.09851,1.31262,0.000863116,0.000863116,0.000863116
34,2394.27,1.37752,1.21335,1.38842,0.70433,0.62804,0.70199,0.44658,1.16446,1.07671,1.32267,0.000845432,0.000845432,0.000845432
35,2463.52,1.36385,1.19687,1.38072,0.71994,0.61263,0.69514,0.44792,1.14568,1.08431,1.31879,0.000827748,0.000827748,0.000827748
36,2535.47,1.3645,1.18772,1.38286,0.69676,0.62349,0.7038,0.45157,1.14884,1.08099,1.31254,0.000810064,0.000810064,0.000810064
