epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1964,3460.48,2.57284,0.61759,0.18981,0.21261,0.15908,0.07563,5872.2,5.81794,1.61689,0.000472697,0.000472697,0.000472697
2,108.514,4096.78,2.43325,0.72283,0.06383,0.22914,0.03645,0.01489,8027.66,10.3359,2.18379,0.000937286,0.000937286,0.000937286
3,162.665,4270.77,2.4409,0.75102,0.17197,0.15529,0.11316,0.04496,7068.93,15.2987,1.95785,0.00139009,0.00139009,0.00139009
4,216.224,4261.16,2.36994,0.76698,0.20123,0.20429,0.15243,0.06837,6982.16,4.54675,1.63109,0.00137595,0.00137595,0.00137595
5,269.8,4215.2,2.25131,0.75276,0.23284,0.29683,0.20957,0.09022,6950.83,2.70266,1.63331,0.00135826,0.00135826,0.00135826
6,323.678,4248.99,2.2207,0.76584,0.31512,0.33044,0.25563,0.11617,6725.08,2.67406,1.56665,0.00134058,0.00134058,0.00134058
7,377.133,4199.7,2.16947,0.76017,0.28063,0.32361,0.25754,0.12233,6103.75,2.16433,1.29798,0.0013229,0.0013229,0.0013229
8,430.583,4086.93,2.11733,0.75303,0.41182,0.40235,0.36866,0.18947,5385.66,1.97644,1.18377,0.00130521,0.00130521,0.00130521
9,484.076,4062.44,2.07831,0.75543,0.37206,0.38594,0.33972,0.17756,5513.79,1.94186,1.20297,0.00128753,0.00128753,0.00128753
10,537.661,4111.82,2.05065,0.75726,0.43005,0.39422,0.36538,0.19281,5359.03,1.94193,1.14648,0.00126985,0.00126985,0.00126985
11,591.147,4109.34,2.00257,0.76168,0.44775,0.43759,0.4061,0.21945,5388.35,1.81926,1.20677,0.00125216,0.00125216,0.00125216
12,644.687,4068.31,2.01537,0.76251,0.43627,0.42777,0.41321,0.22161,5113.18,1.89132,1.08051,0.00123448,0.00123448,0.00123448
13,698.689,4088.82,2.00487,0.78116,0.4246,0.43259,0.41592,0.22753,5298.54,1.76502,1.2332,0.00121679,0.00121679,0.00121679
14,753.043,4128.09,1.97688,0.77578,0.48392,0.43698,0.43472,0.23038,5531.31,1.79289,1.27227,0.00119911,0.00119911,0.00119911
15,806.941,4056.11,1.95385,0.77069,0.5114,0.47393,0.47147,0.25149,5185.34,1.61921,1.10589,0.00118143,0.00118143,0.00118143
16,861.923,4043.4,1.94124,0.76867,0.51283,0.41764,0.42754,0.22777,5331.63,1.72342,1.15065,0.00116374,0.00116374,0.00116374
17,916.175,4051.6,1.92458,0.78316,0.50793,0.45542,0.47723,0.26026,4861.32,1.68222,1.05261,0.00114606,0.00114606,0.00114606
18,970.619,4061.19,1.91806,0.77995,0.51154,0.45123,0.46536,0.25591,5070.2,1.78097,1.24734,0.00112837,0.00112837,0.00112837
19,1025.48,3916.39,1.90329,0.78791,0.49248,0.44387,0.44949,0.25101,5108.56,1.72107,1.11588,0.00111069,0.00111069,0.00111069
20,1079,4090.47,1.88652,0.78499,0.52603,0.52151,0.51533,0.28105,4936.12,1.55043,1.14362,0.00109301,0.00109301,0.00109301
21,1133.49,4123.63,1.88183,0.80658,0.51526,0.47018,0.48918,0.27483,4708.92,1.61159,1.09113,0.00107532,0.00107532,0.00107532
